# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)
0	0.6594037	0.363529	-7.557343e-33	-2.3616508e-17	-2.6037702e-17	0	0	0.9913332	0.0023796489	3.1295103e-35	0.9874546	0.08860262	-9.569744e-35	-0.0005765019	0.9996047	-2.2611458e-32	0.66	100	1e-09
0	0.39305285	0.6281796	0	-2.358302e-17	-2.6037642e-17	0	1.5707964	0.9874601	-0.08830238	0	0.19197764	0.97323895	0	-0.000279048	0.9996024	0	0.66	100	1e-09
0	0.0036708885	0.37942624	0	-2.3454792e-17	-2.6037637e-17	0	3.1415927	0.9913473	-0.0069613517	0	-0.98108065	0.14563796	0	0.00074596744	0.99960214	0	0.66	100	1e-09
0	0.41099155	0.04982608	0	-2.35056e-17	-2.6037735e-17	0	4.712389	0.98522043	0.11077918	0	0.24755184	-0.9609068	0	0.00020236196	0.9996059	0	0.66	100	1e-09
0	0.39994535	0.6583288	0	-2.3549308e-17	-2.6037722e-17	1.5707964	0	0.20974013	0.9695766	0	0.99114215	0.0058041364	0	-0.001046168	0.9996054	0	0.66	100	1e-09
0	-0.023020733	0.99352545	0	-2.3554339e-17	-2.603766e-17	1.5707964	1.5707964	-0.039068528	0.9903422	0	-0.029298557	0.99063134	0	-0.00069511466	0.99960303	0	0.66	100	1e-09
0	-0.42440385	0.65323067	0	-2.35697e-17	-2.6037684e-17	1.5707964	3.1415927	-0.28221172	0.95158404	0	-0.9912432	0.008504184	0	0.00024332768	0.99960387	0	0.66	100	1e-09
0	-0.023532005	0.33321542	0	-2.3543388e-17	-2.6037755e-17	1.5707964	4.712389	-0.036173187	0.9909766	0	-0.034345157	-0.9909369	0	-7.766404e-05	0.99960655	0	0.66	100	1e-09
0	-0.0043513626	0.38285288	0	-2.3461607e-17	-2.6037713e-17	3.1415927	0	-0.9914027	-0.0080047175	0	0.97917956	0.15695843	0	-0.00083102327	0.999605	0	0.66	100	1e-09
0	-0.40938023	0.6267362	0	-2.3608082e-17	-2.6037646e-17	3.1415927	1.5707964	-0.9880406	-0.0821901	0	-0.23988076	0.96279645	0	-0.00021926264	0.99960244	0	0.66	100	1e-09
0	-0.659514	0.3627375	0	-2.3652955e-17	-2.6037665e-17	3.1415927	3.1415927	-0.9913954	0.0016855556	0	-0.98767084	0.08692388	0	0.00052417896	0.9996031	0	0.66	100	1e-09
0	-0.44182634	0.0557937	0	-2.3532079e-17	-2.603773e-17	3.1415927	4.712389	-0.9863545	0.10060429	0	-0.33949465	-0.9328288	0	0.00037009202	0.99960566	0	0.66	100	1e-09
0	0.3909554	0.079465546	0	-2.3548793e-17	-2.6037689e-17	4.712389	0	0.2036193	-0.97087383	0	0.969544	0.20966637	0	-0.00029708302	0.99960417	0	0.66	100	1e-09
0	-0.019570835	0.33329958	0	-2.3615151e-17	-2.6037624e-17	4.712389	1.5707964	-0.033273365	-0.99106294	0	-0.025552271	0.99135995	0	0.00011313345	0.9996016	0	0.66	100	1e-09
0	-0.41603377	0.08107476	0	-2.3568745e-17	-2.6037624e-17	4.712389	3.1415927	-0.27672407	-0.9531842	0	-0.9723378	0.19680683	0	0.00096055545	0.9996017	0	0.66	100	1e-09
0	-0.027956473	-0.32689205	0	-2.3465554e-17	-2.6037703e-17	4.712389	4.712389	-0.043943133	-0.99005336	0	-0.04066476	-0.9902276	0	0.0007384698	0.9996048	0	0.66	100	1e-09
