# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	a5 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	m.region5x ()	m.region5y ()	m.region5z ()	roundness ()	size (m)	Cell_size (m)
0	0.7848802	0.26790679	6.4516964e-26	-2.1719144e-17	-2.5847778e-17	0	0	1.5707964	0	0	0.99234724	-0.008416333	-1.175227e-28	0.9714769	0.20650795	1.3523223e-27	-0.00069611904	0.9996819	3.2137888e-25	0.99021715	-0.06827615	2.0509346e-28	0.9710558	0.2100366	-2.3469539e-28	0.66	100	2e-09
0	0.6228386	0.39883804	0	-2.1732192e-17	-2.5847784e-17	0	0	1.5707964	0	1.5707964	0.9921158	-0.02302324	0	0.98557246	0.12022035	0	-0.00047637656	0.9996823	0	0.9889728	-0.08475314	0	0.14800869	0.98206383	0	0.66	100	2e-09
0	0.40280148	0.22444038	0	-2.1625582e-17	-2.5847794e-17	0	0	1.5707964	0	3.1415927	0.99231005	-0.01012093	0	0.9900753	-0.07001669	0	-0.0003999123	0.9996827	0	0.9908541	-0.057421874	0	-0.95883226	0.26007867	0	0.66	100	2e-09
0	0.6383792	0.008967368	0	-2.1598584e-17	-2.5847784e-17	0	0	1.5707964	0	4.712389	0.9922719	0.014200973	0	0.99202335	0.033234686	0	-0.0007440578	0.9996822	0	0.99194455	-0.03311512	0	0.21640047	-0.96916574	0	0.66	100	2e-09
0	0.5618229	0.5382685	0	-2.1735595e-17	-2.5847775e-17	0	0	1.5707964	1.5707964	0	0.96876645	0.21987824	0	0.9555515	0.27211133	0	-0.0008748386	0.9996819	0	-0.085214764	0.9890765	0	0.97088605	0.21059453	0	0.66	100	2e-09
0	0.38684702	0.6695655	0	-2.1757633e-17	-2.5847784e-17	0	0	1.5707964	1.5707964	1.5707964	0.9710128	0.20941135	0	0.9789038	0.16686621	0	-0.00065297465	0.9996824	0	-0.12498725	0.9849647	0	0.10995854	0.98690283	0	0.66	100	2e-09
0	0.16930982	0.48257917	0	-2.1668011e-17	-2.5847801e-17	0	0	1.5707964	1.5707964	3.1415927	0.96775246	0.22437419	0	0.9919813	-0.027957508	0	-0.0005863259	0.9996828	0	-0.1474867	0.9819516	0	-0.96511173	0.23484482	0	0.66	100	2e-09
0	0.40237167	0.26569664	0	-2.1627875e-17	-2.5847783e-17	0	0	1.5707964	1.5707964	4.712389	0.9633955	0.24295658	0	0.9894192	0.07832544	0	-0.0009174866	0.9996822	0	-0.09147145	0.9885476	0	0.1514327	-0.9810285	0	0.66	100	2e-09
0	0.38089344	0.297654	0	-2.1768092e-17	-2.5847773e-17	0	0	1.5707964	3.1415927	0	0.9927188	-0.019699773	0	0.9423093	0.315911	0	-0.00064330077	0.9996818	0	-0.9912217	-0.059049096	0	0.96130407	0.25142625	0	0.66	100	2e-09
0	0.21254334	0.41878644	0	-2.1803573e-17	-2.5847783e-17	0	0	1.5707964	3.1415927	1.5707964	0.99247986	-0.028840303	0	0.97262603	0.20132275	0	-0.0004294007	0.9996823	0	-0.9907286	-0.067202725	0	0.088768914	0.9889704	0	0.66	100	2e-09
