# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.61768	0.091661215	0	-2.2629334e-17	-2.5847765e-17	0.7853982	0	0.7853982	0.67282945	0.72679734	0	0.99131995	0.050068837	0	0.80466735	0.57835305	0	-0.00049403415	-0.99968153	0	0.66	1e-07	2e-09
0	0.27748847	0.15004836	0	-2.2493392e-17	-2.5847765e-17	0.7853982	0	2.3561945	0.6689744	0.7303104	0	0.9919546	0.031106545	0	-0.54616016	0.82602006	0	-0.00053605397	-0.9996815	0	0.66	1e-07	2e-09
0	0.27410558	-0.21429218	0	-2.2508435e-17	-2.5847784e-17	0.7853982	0	3.9269907	0.66320676	0.7355532	0	0.9638277	0.24272172	0	-0.5264708	-0.83898073	0	-6.744116e-05	-0.99968237	0	0.66	1e-07	2e-09
0	0.6093323	-0.17637384	0	-2.2638512e-17	-2.5847783e-17	0.7853982	0	5.497787	0.66658735	0.7325255	0	0.9806238	0.15765236	0	0.78794813	-0.60078794	0	-0.00016521256	-0.9996821	0	0.66	1e-07	2e-09
0	0.6177497	0.0917578	0	-2.2629334e-17	-2.5847766e-17	0.7853982	1.5707964	0.7853982	0.6730016	0.72663766	0	0.99128187	0.05081687	0	0.80480987	0.5781565	0	-0.0004939922	-0.9996816	0	0.66	1e-07	2e-09
0	0.007496265	0.33162692	0	-2.2499677e-17	-2.584778e-17	0.7853982	1.5707964	2.3561945	0.74498844	0.6526211	0	0.010089824	0.9922369	0	-0.72497153	0.6747563	0	-0.00017148479	-0.9996821	0	0.66	1e-07	2e-09
0	0.03253132	-0.025634103	0	-2.2556062e-17	-2.5847794e-17	0.7853982	1.5707964	3.9269907	0.73196816	0.66713953	0	0.030000078	0.9926311	0	-0.63240314	-0.762191	0	0.00021849546	-0.9996826	0	0.66	1e-07	2e-09
0	0.45035255	-0.020248793	0	-2.2597527e-17	-2.5847793e-17	0.7853982	1.5707964	5.497787	0.72073895	0.6792943	0	0.36269665	0.92695874	0	0.7126442	-0.68788165	0	5.626291e-05	-0.9996825	0	0.66	1e-07	2e-09
0	0.10071293	0.12109204	0	-2.239968e-17	-2.584777e-17	0.7853982	3.1415927	0.7853982	0.76768106	0.62576455	0	-0.9893458	0.06921379	0	0.61273676	0.7775747	0	0.000106527	-0.99968165	0	0.66	1e-07	2e-09
0	-0.24936502	0.082460776	0	-2.2487615e-17	-2.5847773e-17	0.7853982	3.1415927	2.3561945	0.762912	0.6315052	0	-0.9893131	0.071405165	0	-0.7760471	0.61589694	0	0.00018038557	-0.9996818	0	0.66	1e-07	2e-09
0	-0.24069105	-0.19073114	0	-2.2498509e-17	-2.5847783e-17	0.7853982	3.1415927	3.9269907	0.7533334	0.642852	0	-0.96580297	0.23086117	0	-0.7555585	-0.64075345	0	0.00051961024	-0.9996821	0	0.66	1e-07	2e-09
0	0.45034945	-0.020248383	0	-2.2597525e-17	-2.5847793e-17	0.7853982	3.1415927	5.497787	0.7207398	0.6792934	0	0.36268517	0.92696315	0	0.7126426	-0.68788344	0	5.626721e-05	-0.9996825	0	0.66	1e-07	2e-09
0	0.6176736	0.091671415	0	-2.2629334e-17	-2.5847766e-17	0.7853982	4.712389	0.7853982	0.6728257	0.7268008	0	0.99131954	0.050076514	0	0.804646	0.57838255	0	-0.0004940413	-0.99968153	0	0.66	1e-07	2e-09
0	0.013191439	-0.1180766	0	-2.2471974e-17	-2.5847756e-17	0.7853982	4.712389	2.3561945	0.6516874	0.74569815	0	0.041595243	-0.99113244	0	-0.6401779	0.7556065	0	-0.00019168343	-0.9996812	0	0.66	1e-07	2e-09
0	-0.013708209	-0.4761007	0	-2.2426446e-17	-2.5847773e-17	0.7853982	4.712389	3.9269907	0.6311256	0.7632048	0	0.028207477	-0.9915782	0	-0.7138328	-0.6865347	0	0.00021422673	-0.9996818	0	0.66	1e-07	2e-09
