# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)
0	0.6614227	0.31944925	0	-2.3600274e-17	-2.6037366e-17	0	0	1.5707964	0.99135375	-0.004635783	0	0.99071777	-0.036608253	0	0.002196561	0.9995917	0	0.66	100	1e-09
0	0.38258517	0.62280124	0	-2.3534367e-17	-2.6037647e-17	0	1.5707964	1.5707964	0.98542356	-0.10926339	0	0.16283962	0.97806466	0	-0.000507588	0.99960244	0	0.66	100	1e-09
0	-9.7756834e-05	0.31493756	0	-2.3484392e-17	-2.6037882e-17	0	3.1415927	1.5707964	0.9913877	-0.0052445955	0	-0.99016035	-0.049554333	0	-0.0015206978	0.9996117	0	0.66	100	1e-09
0	0.3791111	0.036678087	0	-2.3563965e-17	-2.603761e-17	0	4.712389	1.5707964	0.9872472	0.090839684	0	0.14846084	-0.9804065	0	0.0016253751	0.9996012	0	0.66	100	1e-09
0	0.40590996	0.6045959	0	-2.3524239e-17	-2.6037376e-17	1.5707964	0	1.5707964	0.23535365	0.9638836	0	0.9803647	-0.14968808	0	0.0020114568	0.9995921	0	0.66	100	1e-09
0	-0.04471962	0.9920269	0	-2.3492452e-17	-2.6037675e-17	1.5707964	1.5707964	1.5707964	-0.030622395	0.99056953	0	-0.102142505	0.98590726	0	-0.001393987	0.99960375	0	0.66	100	1e-09
0	-0.41217282	0.6111648	0	-2.3586526e-17	-2.603787e-17	1.5707964	3.1415927	1.5707964	-0.25119397	0.9599925	0	-0.983465	-0.12610923	0	-0.0018594746	0.9996111	0	0.66	100	1e-09
0	-0.031877976	0.33404842	0	-2.3592114e-17	-2.603769e-17	1.5707964	4.712389	1.5707964	-0.020718463	0.9913959	0	-0.07577895	-0.9888549	0	0.0008634741	0.9996041	0	0.66	100	1e-09
0	-9.033426e-05	0.31103525	0	-2.3427002e-17	-2.6037407e-17	3.1415927	0	1.5707964	-0.99140257	-0.0030372154	0	0.9894722	-0.063450366	0	0.0016593457	0.9995933	0	0.66	100	1e-09
0	-0.4614598	0.604954	0	-2.3553607e-17	-2.6037718e-17	3.1415927	1.5707964	1.5707964	-0.9867205	-0.096757144	0	-0.39564046	0.91201353	0	-0.0020185297	0.99960536	0	0.66	100	1e-09
0	-0.66144645	0.32128337	0	-2.3666278e-17	-2.6037866e-17	3.1415927	3.1415927	1.5707964	-0.9913563	-0.0049738204	0	-0.99087846	-0.030787027	0	-0.0021045525	0.99961084	0	0.66	100	1e-09
0	-0.43875954	0.04823933	0	-2.3581498e-17	-2.6037763e-17	3.1415927	4.712389	1.5707964	-0.9879693	0.08262265	0	-0.32846415	-0.9375117	0	0.00015474312	0.99960697	0	0.66	100	1e-09
0	0.40892392	0.031901397	0	-2.3527642e-17	-2.603739e-17	4.712389	0	1.5707964	0.23528588	-0.9638917	0	0.98953474	0.060003176	0	0.0019512097	0.9995928	0	0.66	100	1e-09
0	-0.03484011	0.33216673	0	-2.3568303e-17	-2.6037689e-17	4.712389	1.5707964	1.5707964	-0.021513566	-0.9913903	0	-0.0818315	0.98828626	0	-0.0011752802	0.9996042	0	0.66	100	1e-09
0	-0.41387653	0.030567825	0	-2.3590409e-17	-2.6037877e-17	4.712389	3.1415927	1.5707964	-0.24984269	-0.9603283	0	-0.98988193	0.05242042	0	-0.0019049362	0.9996113	0	0.66	100	1e-09
0	-0.039508093	-0.32598057	0	-2.352981e-17	-2.6037702e-17	4.712389	4.712389	1.5707964	-0.027479177	-0.9906947	0	-0.09205104	-0.9868514	0	0.0010059219	0.9996045	0	0.66	100	1e-09
