# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.61562794	0.053243216	0	-2.2635324e-17	-2.5847703e-17	0.7853982	0	0.7853982	0.66680855	0.7323148	0	0.98710036	-0.10569586	0	0.8076891	0.574152	0	-0.0014946815	-0.9996792	0	0.66	1e-07	2e-09
0	0.27944022	0.10474321	0	-2.2486796e-17	-2.5847619e-17	0.7853982	0	2.3561945	0.6605521	0.7379277	0	0.97647226	-0.1800983	0	-0.51316255	0.8471991	0	-0.0020266322	-0.9996758	0	0.66	1e-07	2e-09
0	0.28380597	-0.26950786	0	-2.248994e-17	-2.5847778e-17	0.7853982	0	3.9269907	0.6523253	0.74522173	0	0.9924769	0.024583297	0	-0.50458413	-0.8524298	0	-0.00083704246	-0.999682	0	0.66	1e-07	2e-09
0	0.61416054	-0.20962021	0	-2.2638527e-17	-2.5847801e-17	0.7853982	0	5.497787	0.65978396	0.738654	0	0.99269253	-0.0018542024	0	0.80252975	-0.5813065	0	-0.00068101886	-0.9996829	0	0.66	1e-07	2e-09
0	0.6155917	0.0531576	0	-2.2635323e-17	-2.5847703e-17	0.7853982	1.5707964	0.7853982	0.6666455	0.7324638	0	0.9870586	-0.106105864	0	0.8077492	0.5740683	0	-0.0014945192	-0.9996792	0	0.66	1e-07	2e-09
0	0.011432306	0.3349763	0	-2.2416853e-17	-2.5847918e-17	0.7853982	1.5707964	2.3561945	0.7464629	0.6509199	0	0.0104168095	0.9922659	0	-0.7106598	0.68976575	0	-0.0006187778	-0.9996875	0	0.66	1e-07	2e-09
0	0.039860636	-0.029594539	0	-2.2475425e-17	-2.5847981e-17	0.7853982	1.5707964	3.9269907	0.7326014	0.66642797	0	0.04019981	0.9923799	0	-0.614151	-0.77698743	0	0.00040896374	-0.99969	0	0.66	1e-07	2e-09
0	0.61417526	-0.20965843	0	-2.2638527e-17	-2.5847801e-17	0.7853982	1.5707964	5.497787	0.6596466	0.73877716	0	0.9926921	-0.0024038283	0	0.80272627	-0.5810377	0	-0.0006811447	-0.9996829	0	0.66	1e-07	2e-09
0	0.61557966	0.05318204	0	-2.2635324e-17	-2.5847705e-17	0.7853982	3.1415927	0.7853982	0.66662484	0.7324826	0	0.9870622	-0.106070206	0	0.80771834	0.5741114	0	-0.0014945539	-0.9996792	0	0.66	1e-07	2e-09
0	-0.24354094	0.0356872	0	-2.2476016e-17	-2.5847682e-17	0.7853982	3.1415927	2.3561945	0.75728995	0.6381927	0	-0.9807852	-0.14757778	0	-0.7563122	0.6398649	0	0.0008113172	-0.99967825	0	0.66	1e-07	2e-09
