# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	a4 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.44373915	0.109345414	0	-2.2813774e-17	-2.6100076e-17	0	0.7853982	0.7853982	3.9269907	0.98287773	-0.1423335	0	0.78758234	0.6003332	0	0.71657264	0.683692	0	-0.70679027	-0.70677745	0	0.66	100	2e-09
0	0.14002363	0.10309117	0	-2.2735954e-17	-2.610004e-17	0	0.7853982	2.3561945	3.9269907	0.9745608	-0.19209144	0	0.860562	0.4918591	0	-0.560441	0.81686336	0	-0.7064056	-0.7071602	0	0.66	100	2e-09
0	0.10568081	-0.24876872	0	-2.2659885e-17	-2.6100002e-17	0	0.7853982	3.9269907	3.9269907	0.98737013	-0.10542272	0	0.8331877	0.5362364	0	-0.6823983	-0.7177116	0	-0.70679206	-0.7067716	0	0.66	100	2e-09
0	0.45794553	-0.17082368	0	-2.275664e-17	-2.6100036e-17	0	0.7853982	5.497787	3.9269907	0.99026805	-0.07229783	0	0.73871136	0.6592322	0	0.81517786	-0.5628537	0	-0.70715624	-0.7064094	0	0.66	100	2e-09
0	0.11261002	0.21707161	0	-2.2702534e-17	-2.6100073e-17	0	2.3561945	0.7853982	3.9269907	0.97416085	0.19103098	0	-0.5999608	0.7880882	0	0.7914214	0.595745	0	-0.70673466	-0.70683306	0	0.66	100	2e-09
0	-0.32374883	0.199953	0	-2.2659925e-17	-2.6100027e-17	0	2.3561945	2.3561945	3.9269907	0.9589292	0.25837317	0	-0.78510785	0.60310924	0	-0.74996126	0.6461874	0	-0.70628005	-0.70728505	0	0.66	100	2e-09
0	-0.33013454	-0.17590468	0	-2.2754963e-17	-2.6100002e-17	0	2.3561945	3.9269907	3.9269907	0.91682154	0.38554764	0	-0.9073302	0.40262517	0	-0.6110869	-0.7794409	0	-0.7067176	-0.70684606	0	0.66	100	2e-09
0	0.030857867	-0.13291658	0	-2.2768474e-17	-2.6100032e-17	0	2.3561945	5.497787	3.9269907	0.94896567	0.29403526	0	-0.7706208	0.62280184	0	0.66115195	-0.73781645	0	-0.70706433	-0.7065012	0	0.66	100	2e-09
0	0.10606721	-0.20627382	0	-2.2690817e-17	-2.6100081e-17	0	3.9269907	0.7853982	3.9269907	0.9926089	0.014206841	0	-0.57898927	-0.8039542	0	0.7261287	0.67359346	0	-0.70678794	-0.70677984	0	0.66	100	2e-09
0	-0.28158152	-0.25529912	0	-2.2796505e-17	-2.6100027e-17	0	3.9269907	2.3561945	3.9269907	0.99257594	0.014850904	0	-0.54490006	-0.8276625	0	-0.8551169	0.50143564	0	-0.70639324	-0.70717186	0	0.66	100	2e-09
0	-0.2604956	-0.52751666	0	-2.2901003e-17	-2.6100002e-17	0	3.9269907	3.9269907	3.9269907	0.9890891	0.085617706	0	-0.63242954	-0.76256126	0	-0.67961794	-0.7203212	0	-0.70677304	-0.7067907	0	0.66	100	2e-09
0	0.025226213	-0.5469961	0	-2.2823349e-17	-2.610003e-17	0	3.9269907	5.497787	3.9269907	0.9882965	0.09463989	0	-0.6805437	-0.71978325	0	0.5097323	-0.8501239	0	-0.70713854	-0.70642674	0	0.66	100	2e-09
0	0.42693377	-0.19518816	0	-2.2816864e-17	-2.6100073e-17	0	5.497787	0.7853982	3.9269907	0.97143406	-0.20774727	0	0.78592044	-0.6025805	0	0.66254485	0.7361937	0	-0.7068261	-0.70674163	0	0.66	100	2e-09
0	0.047287464	-0.24609162	0	-2.28452e-17	-2.6100035e-17	0	5.497787	2.3561945	3.9269907	0.97035265	-0.2123215	0	0.6606495	-0.7381811	0	-0.7263495	0.6735797	0	-0.70645297	-0.7071125	0	0.66	100	2e-09
0	0.010736828	-0.59154487	0	-2.2852224e-17	-2.6100003e-17	0	5.497787	3.9269907	3.9269907	0.9838746	-0.13479626	0	0.5064538	-0.85206515	0	-0.7310198	-0.6680968	0	-0.70682067	-0.70674306	0	0.66	100	2e-09
0	0.39649048	-0.58221	0	-2.2806372e-17	-2.6100032e-17	0	5.497787	5.497787	3.9269907	0.9835197	-0.1380861	0	0.64778847	-0.7488661	0	0.66764414	-0.7312033	0	-0.707235	-0.70633024	0	0.66	100	2e-09
0	0.1388789	0.43620738	0	-2.2787949e-17	-2.6100076e-17	1.5707964	0.7853982	0.7853982	3.9269907	-0.06249461	0.99088955	0	0.6044615	0.7844681	0	0.718299	0.6817531	0	-0.7067244	-0.7068432	0	0.66	100	2e-09
0	-0.21428783	0.4461324	0	-2.2733322e-17	-2.6100035e-17	1.5707964	0.7853982	2.3561945	3.9269907	-0.18161355	0.9765048	0	0.6496752	0.7470293	0	-0.6185631	0.77343124	0	-0.7063294	-0.7072362	0	0.66	100	2e-09
