# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	m.region4x ()	m.region4y ()	m.region4z ()	roundness ()	size (m)	Cell_size (m)
0	0.7053009	-0.12565187	0	-2.2503205e-17	-2.5847801e-17	0	0.7853982	0	0.97961205	0.16413124	0	0.861342	0.48832756	0	0.9800635	-0.16146249	0	-0.0013587131	-0.9996828	0	0.66	1e-07	2e-09
0	0.41675648	0.21049626	0	-2.2447395e-17	-2.5847839e-17	0	0.7853982	1.5707964	0.9868307	0.111133315	0	0.6651113	0.732666	0	0.013911374	0.9927	0	-0.0012864604	-0.9996843	0	0.66	1e-07	2e-09
0	0.16969563	-0.05501117	0	-2.247926e-17	-2.5847854e-17	0	0.7853982	3.1415927	0.97911125	0.1663076	0	0.6820922	0.7169811	0	-0.9865588	-0.11129203	0	-0.0009353062	-0.99968493	0	0.66	1e-07	2e-09
0	0.46902466	-0.3141154	0	-2.2529745e-17	-2.5847818e-17	0	0.7853982	4.712389	0.97180635	0.20575458	0	0.84214395	0.5202432	0	0.059489004	-0.9910368	0	-0.0010349371	-0.99968374	0	0.66	1e-07	2e-09
0	0.29164365	-0.075722106	0	-2.2428787e-17	-2.5847834e-17	0	2.3561945	0	0.9852188	-0.122800946	0	-0.7805919	0.6091987	0	0.971722	0.20361659	0	0.0008417749	-0.9996841	0	0.66	1e-07	2e-09
0	0.0339302	0.11867693	0	-2.2500982e-17	-2.584784e-17	0	2.3561945	1.5707964	0.98036927	-0.15781036	0	-0.75766134	0.63735616	0	-0.07989156	0.989711	0	0.00074200175	-0.9996844	0	0.66	1e-07	2e-09
0	-0.16969454	-0.05501002	0	-2.2479257e-17	-2.5847854e-17	0	2.3561945	3.1415927	0.98656046	-0.111277096	0	-0.682087	0.7169861	0	-0.97911364	0.16629235	0	0.00093530584	-0.99968493	0	0.66	1e-07	2e-09
0	0.054688707	-0.31777003	0	-2.2401004e-17	-2.5847857e-17	0	2.3561945	4.712389	0.9914678	-0.049115974	0	-0.6430088	0.7517027	0	-0.12385781	-0.98457074	0	0.0010615903	-0.999685	0	0.66	1e-07	2e-09
0	0.3455691	-0.5138992	0	-2.2548358e-17	-2.5847649e-17	0	3.9269907	0	0.95946735	-0.25636673	0	-0.561317	-0.8170779	0	0.9925571	0.02052661	0	0.00054812315	-0.9996771	0	0.66	1e-07	2e-09
0	-0.20637557	-0.418363	0	-2.2640325e-17	-2.584767e-17	0	3.9269907	1.5707964	-0.17399405	-0.97785574	0	-0.7171775	-0.6835945	0	0.070120506	0.99030197	0	0.00060621626	-0.9996779	0	0.66	1e-07	2e-09
0	-0.49369988	-0.63081706	0	-2.2588403e-17	-2.584767e-17	0	3.9269907	3.1415927	-0.25979996	-0.9591485	0	-0.7266238	-0.6725267	0	-0.98701704	0.10849815	0	0.00094733713	-0.99967784	0	0.66	1e-07	2e-09
0	0.17436588	-0.75682974	0	-2.2482187e-17	-2.5847649e-17	0	3.9269907	4.712389	0.96927327	-0.21493882	0	-0.51149607	-0.8489462	0	0.24569058	-0.9628449	0	0.00078627415	-0.999677	0	0.66	1e-07	2e-09
0	0.65849626	-0.46577784	0	-2.260432e-17	-2.5847649e-17	0	5.497787	0	0.9914252	0.052691832	0	0.66699064	-0.73197	0	0.976613	-0.18152061	0	-0.0011278464	-0.99967706	0	0.66	1e-07	2e-09
0	0.6584937	-0.46582204	0	-2.260432e-17	-2.5847649e-17	0	5.497787	1.5707964	0.99142575	0.05268213	0	0.66701365	-0.7319488	0	0.97657895	-0.18170953	0	-0.0011278356	-0.99967706	0	0.66	1e-07	2e-09
0	0.49370012	-0.6308066	0	-2.2588403e-17	-2.5847672e-17	0	5.497787	3.1415927	0.98701316	0.10853428	0	0.7266289	-0.6725211	0	0.25979963	-0.95914865	0	-0.0009473359	-0.9996779	0	0.66	1e-07	2e-09
0	0.49369127	-0.6309995	0	-2.2588407e-17	-2.584767e-17	0	5.497787	4.712389	0.9870843	0.10786494	0	0.72653574	-0.672621	0	0.2597869	-0.959152	0	-0.00094736274	-0.9996779	0	0.66	1e-07	2e-09
