# t (s)	mx ()	my ()	mz ()	Jx (A/m2)	Jy (A/m2)	Jz (A/m2)	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
4.00027070008271e-10	4.9717928e-05	-1.887139e-05	-0.9660444	-4e+11	0	0	-2.4473877e-08	-9.619732e-10	0
4.100307563770689e-10	5.2401796e-05	-1.9137748e-05	-0.9660489	-4e+11	0	0	-2.4351433e-08	-9.712067e-10	0
4.200344470400571e-10	5.519547e-05	-1.938641e-05	-0.96605355	-4e+11	0	0	-2.4228706e-08	-9.802418e-10	0
4.3000138294288534e-10	5.8080797e-05	-1.9619241e-05	-0.96605855	-4e+11	0	0	-2.4106544e-08	-9.890327e-10	0
4.400050994166234e-10	6.109175e-05	-1.9841827e-05	-0.9660639	-4e+11	0	0	-2.3983405e-08	-9.976482e-10	0
4.5000882320599054e-10	6.422337e-05	-2.0042062e-05	-0.96606964	-4e+11	0	0	-2.3860153e-08	-1.0059529e-09	0
4.600125635673023e-10	6.747065e-05	-2.0233914e-05	-0.9660756	-4e+11	0	0	-2.3736558e-08	-1.0139942e-09	0
4.700163071729564e-10	7.0851915e-05	-2.0398758e-05	-0.9660821	-4e+11	0	0	-2.3612861e-08	-1.0217285e-09	0
4.800200798177681e-10	7.435693e-05	-2.0544045e-05	-0.96608895	-4e+11	0	0	-2.348886e-08	-1.0291176e-09	0
4.900238472424e-10	7.8005665e-05	-2.0672567e-05	-0.96609634	-4e+11	0	0	-2.336477e-08	-1.036129e-09	0
5.000276225077387e-10	8.178799e-05	-2.0778738e-05	-0.9661042	-4e+11	0	0	-2.3240318e-08	-1.0429249e-09	0
5.100314095468719e-10	8.572346e-05	-2.0856038e-05	-0.96611255	-4e+11	0	0	-2.311548e-08	-1.0492477e-09	0
5.200351904372709e-10	8.980695e-05	-2.0914711e-05	-0.9661215	-4e+11	0	0	-2.2990838e-08	-1.055109e-09	0
5.300022034972586e-10	9.403089e-05	-2.0939857e-05	-0.966131	-4e+11	0	0	-2.2866349e-08	-1.0605126e-09	0
5.400059903127166e-10	9.843317e-05	-2.094172e-05	-0.9661411	-4e+11	0	0	-2.2741478e-08	-1.0655002e-09	0
5.500097953952461e-10	0.000102996906	-2.0908192e-05	-0.9661519	-4e+11	0	0	-2.261634e-08	-1.069952e-09	0
5.600136096298148e-10	0.00010773678	-2.0849518e-05	-0.96616334	-4e+11	0	0	-2.2490601e-08	-1.0738945e-09	0
5.70017421596837e-10	0.00011264744	-2.0747073e-05	-0.9661757	-4e+11	0	0	-2.2364922e-08	-1.077135e-09	0
5.800212485604233e-10	0.00011773985	-2.0619482e-05	-0.9661888	-4e+11	0	0	-2.2239579e-08	-1.0798397e-09	0
5.90025071550205e-10	0.00012302052	-2.0448118e-05	-0.9662026	-4e+11	0	0	-2.2113632e-08	-1.0819168e-09	0
6.000289092775386e-10	0.00012848296	-2.0233914e-05	-0.96621734	-4e+11	0	0	-2.1987496e-08	-1.0831757e-09	0
6.100327426084998e-10	0.0001341395	-1.9987114e-05	-0.96623296	-4e+11	0	0	-2.1861588e-08	-1.0837784e-09	0
6.200365793944992e-10	0.00013999379	-1.968816e-05	-0.9662497	-4e+11	0	0	-2.1735115e-08	-1.0835972e-09	0
6.300036614984954e-10	0.00014601591	-1.9344501e-05	-0.9662672	-4e+11	0	0	-2.1609925e-08	-1.0825691e-09	0
6.400075150238388e-10	0.00015226362	-1.8954277e-05	-0.96628594	-4e+11	0	0	-2.148378e-08	-1.0804939e-09	0
6.500113754449601e-10	0.00015871065	-1.8510036e-05	-0.9663056	-4e+11	0	0	-2.135759e-08	-1.0775452e-09	0
6.600152584398966e-10	0.00016535782	-1.8013641e-05	-0.9663267	-4e+11	0	0	-2.1231484e-08	-1.073534e-09	0
6.700191352426561e-10	0.00017220754	-1.7464161e-05	-0.96634877	-4e+11	0	0	-2.1105363e-08	-1.0685501e-09	0
6.800230281995589e-10	0.000179249	-1.6855076e-05	-0.96637213	-4e+11	0	0	-2.097911e-08	-1.0624065e-09	0
6.900269177079641e-10	0.0001864947	-1.6184524e-05	-0.9663967	-4e+11	0	0	-2.0853387e-08	-1.0550003e-09	0
7.000308213653009e-10	0.00019392837	-1.545623e-05	-0.9664225	-4e+11	0	0	-2.0727699e-08	-1.0463066e-09	0
7.100347393294815e-10	0.00020154798	-1.466088e-05	-0.9664498	-4e+11	0	0	-2.0602272e-08	-1.036293e-09	0
7.200018765251926e-10	0.00020932355	-1.38077885e-05	-0.9664782	-4e+11	0	0	-2.0477112e-08	-1.0249062e-09	0
7.300057971948646e-10	0.00021729912	-1.2882985e-05	-0.96650803	-4e+11	0	0	-2.035237e-08	-1.012165e-09	0
7.400097347946104e-10	0.00022543836	-1.1885539e-05	-0.9665394	-4e+11	0	0	-2.0227546e-08	-9.977283e-10	0
7.500136696513445e-10	0.00023373333	-1.0826625e-05	-0.966572	-4e+11	0	0	-2.010305e-08	-9.816513e-10	0
