# t (s)	mx ()	my ()	mz ()	Jx (A/m2)	Jy (A/m2)	Jz (A/m2)	ext_bubbleposx (m)	ext_bubbleposy (m)	ext_bubbleposz (m)
0	1.9008214e-05	9.313226e-10	-0.9659947	-6e+11	0	0	-2.9138542e-08	-4.9922944e-10	0
1.0009199829357651e-11	-4.7362442e-05	-1.6171485e-05	-0.9659914	-6e+11	0	0	-2.8966834e-08	-5.1861193e-10	0
2.002330178299191e-11	9.491214e-06	2.7697533e-06	-0.96598566	-6e+11	0	0	-2.8805816e-08	-5.3634264e-10	0
3.0032712181245225e-11	-3.4355035e-05	-1.0158867e-05	-0.9659823	-6e+11	0	0	-2.8637077e-08	-5.5594823e-10	0
4.000460484201023e-11	-3.789919e-07	-5.5134296e-06	-0.9659833	-6e+11	0	0	-2.847139e-08	-5.7527544e-10	0
5.001274645880305e-11	-2.1533337e-05	-8.331612e-06	-0.96598685	-6e+11	0	0	-2.8301361e-08	-5.9375954e-10	0
6.00201846301725e-11	-5.3006092e-06	-7.933006e-06	-0.9659903	-6e+11	0	0	-2.8132057e-08	-6.12772e-10	0
7.002582108310367e-11	-1.4173459e-05	-9.2172995e-06	-0.96599156	-6e+11	0	0	-2.7962303e-08	-6.315746e-10	0
8.002987155018096e-11	-5.778439e-06	-9.698793e-06	-0.9659911	-6e+11	0	0	-2.7793655e-08	-6.5038874e-10	0
9.003369368496631e-11	-9.020964e-06	-1.0289252e-05	-0.9659903	-6e+11	0	0	-2.7623603e-08	-6.688843e-10	0
1.0000076487606783e-10	-4.4031285e-06	-1.1049211e-05	-0.9659906	-6e+11	0	0	-2.745417e-08	-6.875019e-10	0
1.1000456678784514e-10	-4.8189304e-06	-1.1683442e-05	-0.9659922	-6e+11	0	0	-2.7282844e-08	-7.0596884e-10	0
1.200082776607088e-10	-1.7646089e-06	-1.2296252e-05	-0.96599454	-6e+11	0	0	-2.7111009e-08	-7.24329e-10	0
1.3001189003370168e-10	-9.204359e-07	-1.2983568e-05	-0.9659968	-6e+11	0	0	-2.6938865e-08	-7.4259376e-10	0
1.4001543869368427e-10	1.6035542e-06	-1.35768205e-05	-0.9659985	-6e+11	0	0	-2.6766442e-08	-7.607403e-10	0
1.5001898685381095e-10	3.1313102e-06	-1.4237128e-05	-0.9659999	-6e+11	0	0	-2.6593918e-08	-7.7888296e-10	0
1.6002257770786047e-10	5.5232335e-06	-1.4825724e-05	-0.9660015	-6e+11	0	0	-2.642064e-08	-7.966881e-10	0
1.700262144100353e-10	7.484774e-06	-1.545716e-05	-0.96600366	-6e+11	0	0	-2.6246804e-08	-8.14579e-10	0
1.800298901016731e-10	9.954228e-06	-1.6046688e-05	-0.9660064	-6e+11	0	0	-2.6072472e-08	-8.3233453e-10	0
1.9003357776105828e-10	1.2264704e-05	-1.6633421e-05	-0.96600944	-6e+11	0	0	-2.5897728e-08	-8.499565e-10	0
2.0000051140202412e-10	1.4897505e-05	-1.721736e-05	-0.9660128	-6e+11	0	0	-2.5723281e-08	-8.6717794e-10	0
2.1000421397713103e-10	1.7547784e-05	-1.7777085e-05	-0.9660162	-6e+11	0	0	-2.5547447e-08	-8.8441465e-10	0
2.200079078665948e-10	2.0432075e-05	-1.8332154e-05	-0.9660197	-6e+11	0	0	-2.5371696e-08	-9.014816e-10	0
2.300115850863564e-10	2.341834e-05	-1.8867664e-05	-0.9660237	-6e+11	0	0	-2.5195275e-08	-9.1841507e-10	0
2.400152556273316e-10	2.6607846e-05	-1.9388273e-05	-0.9660282	-6e+11	0	0	-2.5018204e-08	-9.349861e-10	0
2.5001891669106975e-10	2.9951147e-05	-1.9889325e-05	-0.9660331	-6e+11	0	0	-2.4840851e-08	-9.51456e-10	0
2.6002256991190885e-10	3.3497457e-05	-2.0372681e-05	-0.9660387	-6e+11	0	0	-2.466279e-08	-9.675636e-10	0
2.700262125748385e-10	3.72359e-05	-2.0835549e-05	-0.9660447	-6e+11	0	0	-2.4484626e-08	-9.834918e-10	0
2.8002985854811864e-10	4.1190666e-05	-2.127327e-05	-0.9660512	-6e+11	0	0	-2.4305779e-08	-9.990139e-10	0
2.900335157020567e-10	4.537154e-05	-2.1684915e-05	-0.9660584	-6e+11	0	0	-2.412677e-08	-1.0142631e-09	0
3.000003819853825e-10	4.9769835e-05	-2.2069551e-05	-0.9660662	-6e+11	0	0	-2.3947853e-08	-1.0291595e-09	0
3.1000404614299537e-10	5.4442615e-05	-2.2426248e-05	-0.9660748	-6e+11	0	0	-2.3767349e-08	-1.0435677e-09	0
3.200077227172774e-10	5.937472e-05	-2.2743829e-05	-0.9660845	-6e+11	0	0	-2.358705e-08	-1.0576573e-09	0
3.3001140456177934e-10	6.459563e-05	-2.3030676e-05	-0.966095	-6e+11	0	0	-2.340586e-08	-1.0711575e-09	0
3.4001509610029135e-10	7.010914e-05	-2.3270026e-05	-0.9661064	-6e+11	0	0	-2.3224548e-08	-1.0842552e-09	0
3.5001881424757945e-10	7.5938384e-05	-2.3473054e-05	-0.9661191	-6e+11	0	0	-2.3042503e-08	-1.0966053e-09	0
3.6002253684823663e-10	8.2098486e-05	-2.3621134e-05	-0.966133	-6e+11	0	0	-2.2860336e-08	-1.1084328e-09	0
3.700262937162697e-10	8.860593e-05	-2.3724511e-05	-0.96614826	-6e+11	0	0	-2.2677703e-08	-1.1194821e-09	0
3.8003006223488344e-10	9.5475756e-05	-2.3761764e-05	-0.9661649	-6e+11	0	0	-2.2494774e-08	-1.1297913e-09	0
3.900338521800942e-10	0.00010272453	-2.3745e-05	-0.96618325	-6e+11	0	0	-2.2310745e-08	-1.1390915e-09	0
4.0000085741714676e-10	0.000110340785	-2.3663044e-05	-0.96620333	-6e+11	0	0	-2.2127708e-08	-1.147543e-09	0
4.1000467202626406e-10	0.000118393276	-2.3503788e-05	-0.9662252	-6e+11	0	0	-2.1943405e-08	-1.154932e-09	0
4.200085049549602e-10	0.0001268711	-2.3270026e-05	-0.96624917	-6e+11	0	0	-2.1758659e-08	-1.1612663e-09	0
4.300123332228675e-10	0.00013578661	-2.2950582e-05	-0.96627545	-6e+11	0	0	-2.1573547e-08	-1.1662045e-09	0
4.4001618405776126e-10	0.00014514457	-2.2544526e-05	-0.96630394	-6e+11	0	0	-2.1388306e-08	-1.1698303e-09	0
4.5002006284504033e-10	0.00015496103	-2.2045337e-05	-0.96633494	-6e+11	0	0	-2.1202919e-08	-1.17198e-09	0
4.6002392605764294e-10	0.0001652318	-2.1445565e-05	-0.9663687	-6e+11	0	0	-2.1016525e-08	-1.1724834e-09	0
4.700278087092347e-10	0.00017596474	-2.0742416e-05	-0.9664052	-6e+11	0	0	-2.0830445e-08	-1.1710377e-09	0
4.800317199873632e-10	0.00018714905	-1.9924715e-05	-0.96644455	-6e+11	0	0	-2.0644265e-08	-1.1678924e-09	0
4.90035647607783e-10	0.00019877769	-1.8997118e-05	-0.96648705	-6e+11	0	0	-2.0457314e-08	-1.1625271e-09	0
