# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)
0	0.9923755	-1.4020304e-08	0	1.2571141e-18	-5.157177e-20	0	1	128
0	0.6987832	0.6987691	0	1.2187504e-18	-5.135575e-20	0.7853982	1	128
0	0.9923755	-1.4020304e-08	0	1.2571141e-18	-5.157177e-20	0	0.99	128
0	0.6987834	0.698769	0	1.2187504e-18	-5.1355754e-20	0.7853982	0.99	128
0	0.9923279	-2.2722418e-08	0	1.2504106e-18	-5.106123e-20	0	0.98	128
0	0.6992514	0.69923425	0	1.2198627e-18	-5.088374e-20	0.7853982	0.98	128
0	0.9923279	-2.2722418e-08	0	1.2504106e-18	-5.106123e-20	0	0.97	128
0	0.69925153	0.69923395	0	1.2198627e-18	-5.088374e-20	0.7853982	0.97	128
0	0.99217707	-3.2048728e-08	0	1.2423913e-18	-5.054547e-20	0	0.96	128
0	0.69933236	0.6993169	0	1.2148814e-18	-5.038333e-20	0.7853982	0.96	128
0	0.99214953	-2.734401e-08	0	1.2350159e-18	-5.003609e-20	0	0.95	128
0	0.69996494	0.6999439	0	1.2173597e-18	-4.992188e-20	0.7853982	0.95	128
0	0.99114347	-2.8312206e-08	0	1.215269e-18	-4.947789e-20	0	0.94	128
0	0.7006863	0.70066655	0	1.2160523e-18	-4.9466024e-20	0.7853982	0.94	128
0	0.99114317	-2.7853709e-08	0	1.215269e-18	-4.947787e-20	0	0.93	128
0	0.70068717	0.7006656	0	1.2160522e-18	-4.946603e-20	0.7853982	0.93	128
0	0.99114347	-2.8465038e-08	0	1.215269e-18	-4.947789e-20	0	0.92	128
0	0.7006864	0.70066625	0	1.2160523e-18	-4.9466024e-20	0.7853982	0.92	128
0	0.99114347	-2.8465038e-08	0	1.215269e-18	-4.947789e-20	0	0.91	128
0	0.7006864	0.70066625	0	1.2160522e-18	-4.946603e-20	0.7853982	0.91	128
0	0.99114347	-2.8312206e-08	0	1.215269e-18	-4.947789e-20	0	0.9	128
0	0.7006859	0.70066684	0	1.2160523e-18	-4.946603e-20	0.7853982	0.9	128
0	0.99114347	-3.2591515e-08	0	1.2152691e-18	-4.947789e-20	0	0.89	128
0	0.7006863	0.70066655	0	1.2160523e-18	-4.946603e-20	0.7853982	0.89	128
0	0.99153954	-2.6270053e-08	0	1.2130269e-18	-4.8989985e-20	0	0.88	128
0	0.70062554	0.7006082	0	1.2090721e-18	-4.895453e-20	0.7853982	0.88	128
0	0.9915086	-1.9114054e-08	0	1.2067517e-18	-4.848081e-20	0	0.87	128
0	0.7010442	0.701021	0	1.2089412e-18	-4.8475976e-20	0.7853982	0.87	128
0	0.99236757	-3.054738e-08	0	1.2150268e-18	-4.826876e-20	0	0.86	128
0	0.7014745	0.7014597	0	1.2143642e-18	-4.825206e-20	0.7853982	0.86	128
0	0.990577	-2.030884e-08	0	1.1788893e-18	-4.716732e-20	0	0.85	128
0	0.70276815	0.7027535	0	1.2090074e-18	-4.7323345e-20	0.7853982	0.85	128
0	0.9905771	-1.2497748e-08	0	1.1788892e-18	-4.716732e-20	0	0.84	128
0	0.7027721	0.7027503	0	1.2090074e-18	-4.732337e-20	0.7853982	0.84	128
0	0.990577	-2.030884e-08	0	1.1788893e-18	-4.716732e-20	0	0.83	128
0	0.70276845	0.7027537	0	1.2090074e-18	-4.7323365e-20	0.7853982	0.83	128
0	0.990577	-2.030884e-08	0	1.1788893e-18	-4.716732e-20	0	0.82	128
0	0.70277125	0.7027509	0	1.2090074e-18	-4.7323365e-20	0.7853982	0.82	128
0	0.9904614	-1.7958328e-08	0	1.1701068e-18	-4.66547e-20	0	0.81	128
0	0.7027597	0.7027364	0	1.2027472e-18	-4.6813644e-20	0.7853982	0.81	128
0	0.9904614	-1.4030577e-08	0	1.1701068e-18	-4.66547e-20	0	0.8	128
0	0.7027631	0.70273376	0	1.2027473e-18	-4.6813666e-20	0.7853982	0.8	128
0	0.9904614	-1.2957531e-08	0	1.1701069e-18	-4.66547e-20	0	0.79	128
0	0.7027631	0.70273376	0	1.2027472e-18	-4.6813666e-20	0.7853982	0.79	128
0	0.99136853	-1.2178834e-08	0	1.1785664e-18	-4.618985e-20	0	0.78	128
0	0.70360374	0.70359063	0	1.2082226e-18	-4.636075e-20	0.7853982	0.78	128
0	0.99136853	-1.2178834e-08	0	1.1785664e-18	-4.618985e-20	0	0.77	128
0	0.70360357	0.7035908	0	1.2082225e-18	-4.636075e-20	0.7853982	0.77	128
0	0.9913131	-4.967054e-09	0	1.1724246e-18	-4.567971e-20	0	0.76	128
0	0.7042862	0.7042728	0	1.2085634e-18	-4.5895754e-20	0.7853982	0.76	128
0	0.9896034	-1.4477833e-08	0	1.1352083e-18	-4.458757e-20	0	0.75	128
0	0.70506424	0.7050569	0	1.1976323e-18	-4.492562e-20	0.7853982	0.75	128
0	0.9896034	-1.24035235e-08	0	1.1352083e-18	-4.4587575e-20	0	0.74	128
0	0.7050642	0.7050569	0	1.1976323e-18	-4.492562e-20	0.7853982	0.74	128
0	0.9903773	-1.4305114e-08	0	1.1452399e-18	-4.4368905e-20	0	0.73	128
0	0.70542943	0.7054194	0	1.2007913e-18	-4.469341e-20	0.7853982	0.73	128
0	0.9903773	-1.4305114e-08	0	1.1452399e-18	-4.4368905e-20	0	0.72	128
0	0.70543015	0.7054187	0	1.2007913e-18	-4.469341e-20	0.7853982	0.72	128
0	0.9903773	-1.4305114e-08	0	1.1452399e-18	-4.4368905e-20	0	0.71	128
0	0.70543116	0.70541745	0	1.2007913e-18	-4.4693405e-20	0.7853982	0.71	128
0	0.990403	-2.1447336e-08	0	1.1422376e-18	-4.386297e-20	0	0.7	128
0	0.70597416	0.70596725	0	1.1991415e-18	-4.4216846e-20	0.7853982	0.7	128
0	0.990403	-2.1447336e-08	0	1.1422376e-18	-4.386297e-20	0	0.69	128
0	0.7059739	0.70596737	0	1.1991415e-18	-4.4216846e-20	0.7853982	0.69	128
0	0.990403	-2.1447336e-08	0	1.1422376e-18	-4.386297e-20	0	0.68	128
0	0.70597416	0.7059672	0	1.1991416e-18	-4.421684e-20	0.7853982	0.68	128
0	0.990337	-4.313494e-09	0	1.1365763e-18	-4.335299e-20	0	0.67	128
0	0.7063665	0.70636415	0	1.1967498e-18	-4.3730095e-20	0.7853982	0.67	128
0	0.99138963	-1.677496e-08	0	1.1416702e-18	-4.238389e-20	0	0.66	128
0	0.7067055	0.7067039	0	1.1922604e-18	-4.272769e-20	0.7853982	0.66	128
0	0.9911521	-1.9326354e-08	0	1.1311496e-18	-4.186627e-20	0	0.65	128
0	0.70683306	0.70683277	0	1.1881994e-18	-4.222364e-20	0.7853982	0.65	128
0	0.9899967	-7.770544e-09	0	1.1057071e-18	-4.1310586e-20	0	0.64	128
0	0.7069071	0.70690787	0	1.1767389e-18	-4.1716237e-20	0.7853982	0.64	128
0	0.9899967	-7.770544e-09	0	1.1057071e-18	-4.1310586e-20	0	0.63	128
0	0.7069071	0.70690775	0	1.176739e-18	-4.171624e-20	0.7853982	0.63	128
0	0.99099964	-1.9569564e-08	0	1.1049637e-18	-4.008395e-20	0	0.62	128
0	0.7065146	0.7065116	0	1.1610703e-18	-4.041404e-20	0.7853982	0.62	128
0	0.99099964	-1.9569564e-08	0	1.1049637e-18	-4.008395e-20	0	0.61	128
0	0.7065146	0.70651156	0	1.1610703e-18	-4.0414038e-20	0.7853982	0.61	128
0	0.99099964	-1.9569564e-08	0	1.1049637e-18	-4.008395e-20	0	0.6	128
0	0.7065142	0.7065118	0	1.1610704e-18	-4.0414038e-20	0.7853982	0.6	128
0	0.99099964	-2.3106232e-08	0	1.1049637e-18	-4.008395e-20	0	0.59	128
0	0.7065151	0.7065112	0	1.1610704e-18	-4.041404e-20	0.7853982	0.59	128
0	0.99101406	-1.465926e-08	0	1.0970862e-18	-3.906974e-20	0	0.58	128
0	0.7050279	0.70501095	0	1.1458658e-18	-3.9307623e-20	0.7853982	0.58	128
0	0.99101394	-7.2086785e-09	0	1.0970861e-18	-3.906974e-20	0	0.57	128
0	0.70502824	0.70501083	0	1.1458658e-18	-3.9307626e-20	0.7853982	0.57	128
0	0.99101406	-1.732018e-08	0	1.0970862e-18	-3.906974e-20	0	0.56	128
0	0.7050278	0.70501125	0	1.1458658e-18	-3.9307626e-20	0.7853982	0.56	128
0	0.9920421	-1.6341607e-08	0	1.1054585e-18	-3.809442e-20	0	0.55	128
0	0.7020093	0.7019826	0	1.1310566e-18	-3.8122454e-20	0.7853982	0.55	128
0	0.9920421	-1.5546878e-08	0	1.1054585e-18	-3.809442e-20	0	0.54	128
0	0.7020093	0.7019826	0	1.1310565e-18	-3.8122454e-20	0.7853982	0.54	128
0	0.99269676	-1.70299e-08	0	1.1122091e-18	-3.7357166e-20	0	0.53	128
0	0.6980295	0.69799685	0	1.1129762e-18	-3.714804e-20	0.7853982	0.53	128
0	0.9925901	-2.1992058e-08	0	1.1011333e-18	-3.684495e-20	0	0.52	128
0	0.69687814	0.6968486	0	1.1045296e-18	-3.6582266e-20	0.7853982	0.52	128
0	0.9920379	-1.6307915e-08	0	1.0791642e-18	-3.6316525e-20	0	0.51	128
0	0.69615316	0.6961254	0	1.0894467e-18	-3.6040195e-20	0.7853982	0.51	128
0	0.99215484	-2.2034696e-08	0	1.0764557e-18	-3.5812823e-20	0	0.5	128
0	0.6936457	0.6936046	0	1.0767496e-18	-3.54078e-20	0.7853982	0.5	128
0	0.99186563	-1.3239521e-08	0	1.0651131e-18	-3.5294546e-20	0	0.49	128
0	0.6913909	0.69133824	0	1.0612318e-18	-3.47918e-20	0.7853982	0.49	128
0	0.99186563	-1.3239521e-08	0	1.0651131e-18	-3.5294546e-20	0	0.48	128
0	0.6913915	0.6913373	0	1.0612319e-18	-3.479179e-20	0.7853982	0.48	128
