# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.99223804	-1.2571047e-08	0	7.8382487e-19	-2.4544e-20	0	60
0	0.70669365	0.70668256	0	8.3266865e-19	-2.472135e-20	0.7853982	60
0	-5.142154e-09	0.99223787	0	7.838226e-19	-2.4543993e-20	1.5707964	60
0	-0.70669204	0.70668423	0	8.3266865e-19	-2.4721356e-20	2.3561945	60
0	-0.9922379	1.0701173e-08	0	7.8382487e-19	-2.4543998e-20	3.1415927	60
0	-0.7066937	-0.70668256	0	8.3266865e-19	-2.4721356e-20	3.9269907	60
0	7.614435e-09	-0.99223787	0	7.8382265e-19	-2.4543993e-20	4.712389	60
0	0.7066937	-0.7066825	0	8.326687e-19	-2.472135e-20	5.497787	60
0	0.99223775	-7.1758826e-09	0	7.8382477e-19	-2.4543995e-20	6.2831855	60
0	0.99272674	-1.4891024e-08	0	7.732226e-19	-2.3348935e-20	0	55
0	0.7044376	0.70441294	0	8.10574e-19	-2.3430805e-20	0.7853982	55
0	-9.196652e-09	0.9927263	0	7.7321886e-19	-2.3348922e-20	1.5707964	55
0	-0.70443845	0.704412	0	8.105739e-19	-2.3430807e-20	2.3561945	55
0	-0.99272674	1.4860614e-08	0	7.7322254e-19	-2.3348935e-20	3.1415927	55
0	-0.7044382	-0.70441216	0	8.105741e-19	-2.3430807e-20	3.9269907	55
0	1.0187528e-08	-0.9927262	0	7.7321886e-19	-2.334892e-20	4.712389	55
0	0.70443803	-0.7044124	0	8.10574e-19	-2.3430805e-20	5.497787	55
0	0.99272674	-1.13253895e-08	0	7.732225e-19	-2.3348935e-20	6.2831855	55
0	0.9936206	-9.3965475e-09	0	7.649214e-19	-2.203453e-20	0	50
0	0.6989219	0.6988848	0	7.774732e-19	-2.1918727e-20	0.7853982	50
0	-9.904542e-09	0.9936195	0	7.649163e-19	-2.203451e-20	1.5707964	50
0	-0.6989223	0.6988845	0	7.774731e-19	-2.191873e-20	2.3561945	50
0	-0.99362046	1.3640583e-08	0	7.649215e-19	-2.203453e-20	3.1415927	50
0	-0.6989233	-0.69888365	0	7.774731e-19	-2.191873e-20	3.9269907	50
0	9.896478e-09	-0.99361956	0	7.649161e-19	-2.2034508e-20	4.712389	50
0	0.69892144	-0.6988854	0	7.7747305e-19	-2.1918727e-20	5.497787	50
0	0.99362046	-1.0890965e-08	0	7.6492157e-19	-2.2034528e-20	6.2831855	50
0	0.99467385	-1.0104886e-08	0	7.5471194e-19	-2.0482323e-20	0	45
0	0.6893616	0.6893363	0	7.287539e-19	-2.0074866e-20	0.7853982	45
0	-1.26463044e-08	0.9946727	0	7.5470506e-19	-2.04823e-20	1.5707964	45
0	-0.6893299	0.6893062	0	7.28754e-19	-2.0073966e-20	2.3561945	45
0	-0.9946733	1.0782212e-08	0	7.54712e-19	-2.0482315e-20	3.1415927	45
0	-0.68937224	-0.68932575	0	7.2875393e-19	-2.0074866e-20	3.9269907	45
0	8.5360385e-09	-0.99467266	0	7.5470506e-19	-2.04823e-20	4.712389	45
0	0.689363	-0.6893351	0	7.2875393e-19	-2.0074867e-20	5.497787	45
0	0.99467367	-9.413088e-09	0	7.5471184e-19	-2.0482323e-20	6.2831855	45
0	0.99597	-1.2543482e-08	0	7.4966464e-19	-1.8947334e-20	0	40
0	0.6761288	0.67610806	0	6.703913e-19	-1.819029e-20	0.7853982	40
0	-1.2394658e-08	0.9959687	0	7.4965745e-19	-1.8947312e-20	1.5707964	40
0	-0.6761288	0.6761079	0	6.703913e-19	-1.8190288e-20	2.3561945	40
0	-0.99596995	1.5045286e-08	0	7.496646e-19	-1.8947334e-20	3.1415927	40
0	-0.6761422	-0.6761219	0	6.703912e-19	-1.8190656e-20	3.9269907	40
