# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.9921758	3.5278096e-09	0	8.806215e-19	-3.0844767e-20	0	0.969	100	1e-09
0	0.70145977	0.701443	0	8.803493e-19	-3.0839358e-20	0.7853982	0.969	100	1e-09
0	0.99215096	6.6560055e-09	0	8.79823e-19	-3.081224e-20	0	0.968	100	1e-09
0	0.70148313	0.7014773	0	8.801723e-19	-3.0808885e-20	0.7853982	0.968	100	1e-09
0	0.99215096	1.086303e-09	0	8.798229e-19	-3.081224e-20	0	0.967	100	1e-09
0	0.7014905	0.7014803	0	8.801723e-19	-3.0809114e-20	0.7853982	0.967	100	1e-09
0	0.99215096	3.731048e-09	0	8.79823e-19	-3.081224e-20	0	0.966	100	1e-09
0	0.70147526	0.7014696	0	8.801723e-19	-3.0808542e-20	0.7853982	0.966	100	1e-09
0	0.992151	2.491204e-09	0	8.79823e-19	-3.0812245e-20	0	0.965	100	1e-09
0	0.7014857	0.7014752	0	8.801724e-19	-3.080889e-20	0.7853982	0.965	100	1e-09
0	0.992151	5.9689094e-09	0	8.79823e-19	-3.0812245e-20	0	0.964	100	1e-09
0	0.7014905	0.7014771	0	8.801723e-19	-3.0809033e-20	0.7853982	0.964	100	1e-09
0	0.992151	3.4354815e-09	0	8.798229e-19	-3.0812245e-20	0	0.963	100	1e-09
0	0.70148754	0.7014735	0	8.801724e-19	-3.080889e-20	0.7853982	0.963	100	1e-09
0	0.99213547	1.890503e-09	0	8.790992e-19	-3.078001e-20	0	0.962	100	1e-09
0	0.70154124	0.7015265	0	8.802194e-19	-3.077949e-20	0.7853982	0.962	100	1e-09
0	0.9921356	-6.1479777e-10	0	8.790994e-19	-3.078001e-20	0	0.961	100	1e-09
0	0.7015405	0.7015271	0	8.802193e-19	-3.077949e-20	0.7853982	0.961	100	1e-09
0	0.9921356	3.1585237e-09	0	8.790993e-19	-3.0780017e-20	0	0.96	100	1e-09
0	0.70154184	0.7015273	0	8.802194e-19	-3.077952e-20	0.7853982	0.96	100	1e-09
0	0.9921356	1.7291188e-10	0	8.790992e-19	-3.0780014e-20	0	0.959	100	1e-09
0	0.7015417	0.70152664	0	8.802193e-19	-3.0779507e-20	0.7853982	0.959	100	1e-09
0	0.99213564	4.292057e-09	0	8.790995e-19	-3.0780014e-20	0	0.958	100	1e-09
0	0.701537	0.70152116	0	8.802195e-19	-3.0779284e-20	0.7853982	0.958	100	1e-09
0	0.992136	-2.301649e-09	0	8.790993e-19	-3.0780027e-20	0	0.957	100	1e-09
0	0.7015368	0.70152175	0	8.802194e-19	-3.0779294e-20	0.7853982	0.957	100	1e-09
0	0.99212915	-1.0943161e-09	0	8.784789e-19	-3.074807e-20	0	0.956	100	1e-09
0	0.701595	0.7015802	0	8.803393e-19	-3.0750097e-20	0.7853982	0.956	100	1e-09
0	0.9921278	1.21471e-08	0	8.784789e-19	-3.0748026e-20	0	0.955	100	1e-09
0	0.7015906	0.70157504	0	8.803393e-19	-3.0749884e-20	0.7853982	0.955	100	1e-09
0	0.99212915	3.788757e-09	0	8.78479e-19	-3.0748068e-20	0	0.954	100	1e-09
0	0.70159477	0.70158136	0	8.803394e-19	-3.075012e-20	0.7853982	0.954	100	1e-09
0	0.9922153	4.0585246e-09	0	8.785637e-19	-3.0703115e-20	0	0.953	100	1e-09
0	0.7016484	0.7016358	0	8.804754e-19	-3.0704854e-20	0.7853982	0.953	100	1e-09
0	0.99220985	-1.5306504e-09	0	8.774251e-19	-3.063944e-20	0	0.952	100	1e-09
0	0.7017077	0.7016953	0	8.801343e-19	-3.064395e-20	0.7853982	0.952	100	1e-09
0	0.9919838	2.4274347e-09	0	8.739679e-19	-3.0568973e-20	0	0.951	100	1e-09
0	0.7018272	0.7018116	0	8.799534e-19	-3.0585575e-20	0.7853982	0.951	100	1e-09
