# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.9914568	-1.3675032e-08	0	8.0260704e-19	-2.646e-20	0	0.69	100	1e-09
0	0.706373	0.7063652	0	8.557515e-19	-2.6660156e-20	0.7853982	0.69	100	1e-09
0	0.9915344	-1.0177061e-08	0	8.009973e-19	-2.6271696e-20	0	0.68	100	1e-09
0	0.70653695	0.70652896	0	8.54293e-19	-2.6474497e-20	0.7853982	0.68	100	1e-09
0	0.9915027	-9.286067e-09	0	7.977116e-19	-2.6112218e-20	0	0.67	100	1e-09
0	0.7066089	0.70660186	0	8.520596e-19	-2.6317325e-20	0.7853982	0.67	100	1e-09
0	0.9914572	-1.0791443e-08	0	7.928612e-19	-2.582548e-20	0	0.66	100	1e-09
0	0.70679444	0.7067882	0	8.4920316e-19	-2.6036377e-20	0.7853982	0.66	100	1e-09
0	0.99161285	-1.2514395e-08	0	7.9246534e-19	-2.5655005e-20	0	0.65	100	1e-09
0	0.7068743	0.7068683	0	8.476912e-19	-2.586338e-20	0.7853982	0.65	100	1e-09
0	0.99170196	-1.32714915e-08	0	7.918981e-19	-2.5498642e-20	0	0.64	100	1e-09
0	0.7069183	0.7069128	0	8.4624304e-19	-2.5705045e-20	0.7853982	0.64	100	1e-09
0	0.9919346	-6.9928316e-09	0	7.9054923e-19	-2.5218947e-20	0	0.63	100	1e-09
0	0.70692533	0.7069222	0	8.4275105e-19	-2.541742e-20	0.7853982	0.63	100	1e-09
0	0.9919588	-9.112051e-09	0	7.8691413e-19	-2.498149e-20	0	0.62	100	1e-09
0	0.70690924	0.70690376	0	8.394432e-19	-2.5176867e-20	0.7853982	0.62	100	1e-09
0	0.9920266	-1.2224206e-08	0	7.845306e-19	-2.4760988e-20	0	0.61	100	1e-09
0	0.70681965	0.7068121	0	8.359672e-19	-2.494973e-20	0.7853982	0.61	100	1e-09
0	0.99223787	-1.0105994e-08	0	7.8382477e-19	-2.4543995e-20	0	0.6	100	1e-09
0	0.70669377	0.70668256	0	8.326687e-19	-2.4721352e-20	0.7853982	0.6	100	1e-09
0	0.992355	-8.269218e-09	0	7.814071e-19	-2.4276972e-20	0	0.59	100	1e-09
0	0.7064259	0.7064136	0	8.285277e-19	-2.4440232e-20	0.7853982	0.59	100	1e-09
0	0.992272	-1.0367947e-08	0	7.7743387e-19	-2.4084428e-20	0	0.58	100	1e-09
0	0.7061903	0.70617425	0	8.249195e-19	-2.4240265e-20	0.7853982	0.58	100	1e-09
0	0.9923419	-3.931286e-08	0	7.7470365e-19	-2.3832085e-20	0	0.57	100	1e-09
0	0.70576036	0.7057425	0	8.2017744e-19	-2.3969967e-20	0.7853982	0.57	100	1e-09
0	0.9927335	-1.0101846e-08	0	7.7783645e-19	-2.3634998e-20	0	0.56	100	1e-09
0	0.7051037	0.7050824	0	8.1668074e-19	-2.37402e-20	0.7853982	0.56	100	1e-09
0	0.99272674	-1.2387224e-08	0	7.7322254e-19	-2.3348935e-20	0	0.55	100	1e-09
0	0.70443624	0.70441407	0	8.1057403e-19	-2.34308e-20	0.7853982	0.55	100	1e-09
0	0.99275905	-6.0632046e-09	0	7.6920807e-19	-2.3095545e-20	0	0.54	100	1e-09
0	0.7038273	0.7037959	0	8.0486395e-19	-2.3155587e-20	0.7853982	0.54	100	1e-09
0	0.9932072	-8.023503e-09	0	7.7181803e-19	-2.2835823e-20	0	0.53	100	1e-09
0	0.70270663	0.7026804	0	7.9886596e-19	-2.2848498e-20	0.7853982	0.53	100	1e-09
0	0.99322057	-1.4833096e-08	0	7.689816e-19	-2.2613648e-20	0	0.52	100	1e-09
0	0.7017356	0.7017063	0	7.929525e-19	-2.259458e-20	0.7853982	0.52	100	1e-09
0	0.99329597	-9.827013e-09	0	7.648514e-19	-2.229751e-20	0	0.51	100	1e-09
0	0.70046324	0.70042074	0	7.8475803e-19	-2.2236418e-20	0.7853982	0.51	100	1e-09
0	0.99362046	-1.2847682e-08	0	7.649215e-19	-2.203453e-20	0	0.5	100	1e-09
0	0.6989236	0.6988831	0	7.7747316e-19	-2.1918727e-20	0.7853982	0.5	100	1e-09
0	0.9937545	-8.538715e-09	0	7.6183913e-19	-2.17195e-20	0	0.49	100	1e-09
0	0.6974877	0.6974471	0	7.6849215e-19	-2.1558055e-20	0.7853982	0.49	100	1e-09
0	0.9940913	-1.358098e-08	0	7.6188235e-19	-2.140875e-20	0	0.48	100	1e-09
0	0.69542634	0.6953915	0	7.590718e-19	-2.1179725e-20	0.7853982	0.48	100	1e-09
0	0.9943403	-1.048735e-08	0	7.621529e-19	-2.117547e-20	0	0.47	100	1e-09
0	0.69365233	0.6936162	0	7.517255e-19	-2.0890244e-20	0.7853982	0.47	100	1e-09
0	0.9943414	-9.858806e-09	0	7.56178e-19	-2.0857307e-20	0	0.46	100	1e-09
0	0.69207215	0.6920408	0	7.415644e-19	-2.0529539e-20	0.7853982	0.46	100	1e-09
0	0.9946738	-7.931076e-09	0	7.5471173e-19	-2.0482323e-20	0	0.45	100	1e-09
0	0.6893648	0.6893339	0	7.287538e-19	-2.0074879e-20	0.7853982	0.45	100	1e-09
0	0.99490786	-1.2623454e-08	0	7.5422235e-19	-2.021653e-20	0	0.44	100	1e-09
