# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.9102167	0.38522592	0	7.045005e-19	-5.0752633e-19	0.3681554	0.99	128	1e-09	6.422e-23
0	0.9009247	0.40639997	0	7.0408177e-19	-5.0752726e-19	0.3926991	0.99	128	1e-09	6.422e-23
0	0.89090526	0.42784348	0	7.036789e-19	-5.075199e-19	0.41724277	0.99	128	1e-09	6.422e-23
0	0.8811967	0.44743896	0	7.032958e-19	-5.075421e-19	0.44178647	0.99	128	1e-09	6.422e-23
0	0.87075585	0.46737924	0	7.029332e-19	-5.075534e-19	0.46633017	0.99	128	1e-09	6.422e-23
0	0.8595346	0.48766032	0	7.025923e-19	-5.075555e-19	0.49087384	0.99	128	1e-09	6.422e-23
0	0.8482916	0.5069261	0	7.0227577e-19	-5.075694e-19	0.5154175	0.99	128	1e-09	6.422e-23
0	0.83667296	0.5258479	0	7.019847e-19	-5.0758377e-19	0.5399612	0.99	128	1e-09	6.422e-23
0	0.82466173	0.5444632	0	7.017198e-19	-5.0759737e-19	0.5645049	0.99	128	1e-09	6.422e-23
0	0.81227267	0.5627558	0	7.0148147e-19	-5.076105e-19	0.5890486	0.99	128	1e-09	6.422e-23
0	0.7994933	0.5807486	0	7.0127054e-19	-5.076223e-19	0.6135923	0.99	128	1e-09	6.422e-23
0	0.7863439	0.59841716	0	7.010873e-19	-5.076329e-19	0.638136	0.99	128	1e-09	6.422e-23
0	0.77281183	0.61578107	0	7.0093176e-19	-5.076418e-19	0.6626797	0.99	128	1e-09	6.422e-23
0	0.75890857	0.6328268	0	7.008048e-19	-5.07649e-19	0.6872234	0.99	128	1e-09	6.422e-23
0	0.7446261	0.64956504	0	7.0070604e-19	-5.0765434e-19	0.7117671	0.99	128	1e-09	6.422e-23
0	0.72997683	0.6659806	0	7.006354e-19	-5.0765775e-19	0.7363108	0.99	128	1e-09	6.422e-23
0	0.7149754	0.6820585	0	7.005934e-19	-5.076596e-19	0.7608545	0.99	128	1e-09	6.422e-23
0	0.6987266	0.69871	0	7.0057933e-19	-5.076652e-19	0.7853982	0.99	128	1e-09	6.422e-23
0	0.98882127	4.6300537e-09	0	7.06062e-19	-5.048526e-19	0	0.98	128	1e-09	6.382e-23
0	0.9884667	0.02616166	0	7.0604477e-19	-5.0484735e-19	0.024543693	0.98	128	1e-09	6.382e-23
0	0.9873858	0.052963153	0	7.0599447e-19	-5.048393e-19	0.049087387	0.98	128	1e-09	6.382e-23
0	0.9855819	0.07962258	0	7.0591123e-19	-5.0482585e-19	0.07363108	0.98	128	1e-09	6.382e-23
0	0.9830701	0.10607357	0	7.057977e-19	-5.048077e-19	0.09817477	0.98	128	1e-09	6.382e-23
0	0.97987497	0.13222209	0	7.0565604e-19	-5.0478625e-19	0.12271846	0.98	128	1e-09	6.382e-23
0	0.976009	0.15810442	0	7.0548947e-19	-5.047621e-19	0.14726216	0.98	128	1e-09	6.382e-23
0	0.97152305	0.18352643	0	7.0530124e-19	-5.047375e-19	0.17180584	0.98	128	1e-09	6.382e-23
0	0.96644264	0.20850118	0	7.050946e-19	-5.047137e-19	0.19634955	0.98	128	1e-09	6.382e-23
0	0.96079004	0.23304409	0	7.0487364e-19	-5.046912e-19	0.22089323	0.98	128	1e-09	6.382e-23
0	0.9546058	0.25709352	0	7.046422e-19	-5.0467116e-19	0.24543692	0.98	128	1e-09	6.382e-23
