# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.9963829	2.4573155e-09	0	4.8493877e-19	-1.8126196e-19	0	1	76	1e-09	2.274e-23
0	0.7040942	0.7040895	0	4.8100056e-19	-1.8114433e-19	0.7853982	1	76	1e-09	2.274e-23
0	0.99671686	5.469511e-09	0	4.7903275e-19	-1.7558162e-19	0	1	75	1e-09	2.202e-23
0	0.7041093	0.70410556	0	4.7305937e-19	-1.7541276e-19	0.7853982	1	75	1e-09	2.202e-23
0	0.9967262	3.4621657e-09	0	4.735825e-19	-1.7159636e-19	0	1	74	1e-09	2.152e-23
0	0.70425516	0.70425075	0	4.6893345e-19	-1.7146518e-19	0.7853982	1	74	1e-09	2.152e-23
0	0.99696314	5.2386895e-09	0	4.665161e-19	-1.6589466e-19	0	1	73	1e-09	2.08e-23
0	0.70428735	0.7042827	0	4.60624e-19	-1.6573595e-19	0.7853982	1	73	1e-09	2.08e-23
0	0.9968432	6.404563e-09	0	4.5981414e-19	-1.6188731e-19	0	1	72	1e-09	2.03e-23
0	0.7045207	0.7045157	0	4.569902e-19	-1.6180548e-19	0.7853982	1	72	1e-09	2.03e-23
0	0.9972275	-4.056217e-09	0	4.549743e-19	-1.5716306e-19	0	1	71	1e-09	1.97e-23
0	0.70444417	0.70442873	0	4.4886444e-19	-1.5700483e-19	0.7853982	1	71	1e-09	1.97e-23
0	0.9971286	-3.135356e-09	0	4.489289e-19	-1.5363758e-19	0	1	70	1e-09	1.926e-23
0	0.7046424	0.70463777	0	4.4537865e-19	-1.5354247e-19	0.7853982	1	70	1e-09	1.926e-23
0	0.9973607	-1.1416212e-09	0	4.419077e-19	-1.4840728e-19	0	1	69	1e-09	1.86e-23
0	0.7046627	0.70466036	0	4.37079e-19	-1.4828542e-19	0.7853982	1	69	1e-09	1.86e-23
0	0.99738795	1.4389445e-09	0	4.372265e-19	-1.4521967e-19	0	1	68	1e-09	1.82e-23
0	0.70483327	0.70483005	0	4.3385856e-19	-1.4513151e-19	0.7853982	1	68	1e-09	1.82e-23
0	0.99766135	2.5563638e-09	0	4.3038947e-19	-1.4015147e-19	0	1	67	1e-09	1.756e-23
0	0.7047877	0.7047844	0	4.2484526e-19	-1.4001894e-19	0.7853982	1	67	1e-09	1.756e-23
0	0.9975405	5.04367e-09	0	4.245807e-19	-1.3710196e-19	0	1	66	1e-09	1.718e-23
0	0.704996	0.70499235	0	4.2169027e-19	-1.3702938e-19	0.7853982	1	66	1e-09	1.718e-23
0	0.99778086	8.8955415e-10	0	4.167375e-19	-1.3170707e-19	0	1	65	1e-09	1.65e-23
0	0.70502436	0.7050217	0	4.1262698e-19	-1.3161099e-19	0.7853982	1	65	1e-09	1.65e-23
0	0.9978069	1.3987149e-09	0	4.1218338e-19	-1.2883683e-19	0	1	64	1e-09	1.614e-23
0	0.705167	0.70516396	0	4.0920423e-19	-1.2876549e-19	0.7853982	1	64	1e-09	1.614e-23
0	0.99800223	2.4420144e-09	0	4.0378493e-19	-1.235926e-19	0	1	63	1e-09	1.548e-23
0	0.7051741	0.7051712	0	3.996878e-19	-1.2350126e-19	0.7853982	1	63	1e-09	1.548e-23
0	0.9979029	-1.2466911e-09	0	3.9807522e-19	-1.2070634e-19	0	1	62	1e-09	1.512e-23
0	0.7053739	0.7053714	0	3.9631854e-19	-1.2066333e-19	0.7853982	1	62	1e-09	1.512e-23
0	0.9982452	4.0028962e-09	0	3.9189592e-19	-1.162756e-19	0	1	61	1e-09	1.456e-23
0	0.70530534	0.7053029	0	3.8753008e-19	-1.1618304e-19	0.7853982	1	61	1e-09	1.456e-23
0	0.99821675	4.2864547e-09	0	3.8552241e-19	-1.1291828e-19	0	1	60	1e-09	1.414e-23
0	0.7054642	0.70546204	0	3.826389e-19	-1.1285705e-19	0.7853982	1	60	1e-09	1.414e-23
0	0.9983547	2.5792575e-09	0	3.7816317e-19	-1.0878071e-19	0	1	59	1e-09	1.362e-23
0	0.7054876	0.7054856	0	3.7471145e-19	-1.0871034e-19	0.7853982	1	59	1e-09	1.362e-23
0	0.99840516	2.3811424e-09	0	3.7251994e-19	-1.0559132e-19	0	1	58	1e-09	1.322e-23
0	0.7056421	0.7056404	0	3.7008746e-19	-1.055408e-19	0.7853982	1	58	1e-09	1.322e-23
0	0.9986317	1.8028583e-08	0	3.6507934e-19	-1.0130121e-19	0	1	57	1e-09	1.268e-23
0	0.7055955	0.70559406	0	3.6095006e-19	-1.0122309e-19	0.7853982	1	57	1e-09	1.268e-23
0	0.99854285	2.720125e-09	0	3.5938196e-19	-9.873592e-20	0	1	56	1e-09	1.236e-23
0	0.7057614	0.70576006	0	3.5711315e-19	-9.869177e-20	0.7853982	1	56	1e-09	1.236e-23
0	0.99869245	8.519936e-10	0	3.4975225e-19	-9.37972e-20	0	1	55	1e-09	1.174e-23
0	0.7057965	0.70579576	0	3.469552e-19	-9.374591e-20	0.7853982	1	55	1e-09	1.174e-23
0	0.998722	4.128376e-09	0	3.4540436e-19	-9.156284e-20	0	1	54	1e-09	1.146e-23
0	0.70590794	0.7059074	0	3.4334553e-19	-9.152453e-20	0.7853982	1	54	1e-09	1.146e-23
0	0.99888486	3.3285844e-10	0	3.3710903e-19	-8.742242e-20	0	1	53	1e-09	1.094e-23
0	0.7059	0.70589894	0	3.3407615e-19	-8.737057e-20	0.7853982	1	53	1e-09	1.094e-23
0	0.9988127	6.0045796e-10	0	3.3147518e-19	-8.501893e-20	0	1	52	1e-09	1.064e-23
0	0.7060556	0.7060545	0	3.300642e-19	-8.49934e-20	0.7853982	1	52	1e-09	1.064e-23
0	0.99905986	1.1183204e-09	0	3.2418545e-19	-8.120358e-20	0	1	51	1e-09	1.016e-23
0	0.7060149	0.706014	0	3.211395e-19	-8.115443e-20	0.7853982	1	51	1e-09	1.016e-23
0	0.9989935	6.890656e-10	0	3.1867275e-19	-7.896044e-20	0	1	50	1e-09	9.88e-24
0	0.70614624	0.7061451	0	3.1699047e-19	-7.893256e-20	0.7853982	1	50	1e-09	9.88e-24
0	0.9991429	1.2609591e-10	0	3.099479e-19	-7.497568e-20	0	1	49	1e-09	9.38e-24
0	0.70614934	0.7061488	0	3.0749005e-19	-7.493836e-20	0.7853982	1	49	1e-09	9.38e-24
0	0.999066	1.2111323e-09	0	3.0272727e-19	-7.20926e-20	0	1	48	1e-09	9.02e-24
0	0.7063359	0.70633507	0	3.0210407e-19	-7.208129e-20	0.7853982	1	48	1e-09	9.02e-24
0	0.9992839	-2.1600605e-10	0	2.9515508e-19	-6.859084e-20	0	1	47	1e-09	8.58e-24
0	0.7062816	0.70628107	0	2.9298215e-19	-6.8559876e-20	0.7853982	1	47	1e-09	8.58e-24
0	0.99922645	1.2178833e-09	0	2.895653e-19	-6.6508514e-20	0	1	46	1e-09	8.32e-24
0	0.7063914	0.7063905	0	2.8849607e-19	-6.649262e-20	0.7853982	1	46	1e-09	8.32e-24
0	0.99935263	2.723055e-09	0	2.8102575e-19	-6.299919e-20	0	1	45	1e-09	7.88e-24
0	0.7063896	0.706389	0	2.792904e-19	-6.297603e-20	0.7853982	1	45	1e-09	7.88e-24
0	0.9993613	2.3051452e-09	0	2.7615634e-19	-6.1080955e-20	0	1	44	1e-09	7.64e-24
0	0.7064784	0.7064779	0	2.7504438e-19	-6.1065665e-20	0.7853982	1	44	1e-09	7.64e-24
0	0.9995032	6.213141e-10	0	2.6681928e-19	-5.7411466e-20	0	1	43	1e-09	7.18e-24
0	0.70646095	0.70646054	0	2.6484154e-19	-5.738752e-20	0.7853982	1	43	1e-09	7.18e-24
0	0.9994213	1.4463519e-09	0	2.6193243e-19	-5.580768e-20	0	1	42	1e-09	6.98e-24
0	0.7065735	0.706573	0	2.6118517e-19	-5.579786e-20	0.7853982	1	42	1e-09	6.98e-24
0	0.9995544	1.3112793e-09	0	2.521437e-19	-5.213675e-20	0	1	41	1e-09	6.52e-24
0	0.70657605	0.70657575	0	2.5074166e-19	-5.212084e-20	0.7853982	1	41	1e-09	6.52e-24
0	0.9995745	1.1656268e-09	0	2.4775918e-19	-5.0538487e-20	0	1	40	1e-09	6.32e-24
0	0.70663667	0.70663637	0	2.4668247e-19	-5.0526366e-20	0.7853982	1	40	1e-09	6.32e-24
0	0.9996606	1.1421287e-09	0	2.3849574e-19	-4.734393e-20	0	1	39	1e-09	5.92e-24
0	0.70663625	0.7066359	0	2.3699567e-19	-4.732847e-20	0.7853982	1	39	1e-09	5.92e-24
0	0.99959946	1.1169242e-09	0	2.308572e-19	-4.494199e-20	0	1	38	1e-09	5.62e-24
0	0.7067631	0.7067628	0	2.3053818e-19	-4.4938135e-20	0.7853982	1	38	1e-09	5.62e-24
0	0.99973524	1.0297264e-09	0	2.234508e-19	-4.238877e-20	0	1	37	1e-09	5.3e-24
0	0.706723	0.70672274	0	2.222097e-19	-4.2376977e-20	0.7853982	1	37	1e-09	5.3e-24
0	0.9997058	7.249707e-10	0	2.1810452e-19	-4.0787992e-20	0	1	36	1e-09	5.1e-24
0	0.7067887	0.70678854	0	2.1743704e-19	-4.0781642e-20	0.7853982	1	36	1e-09	5.1e-24
0	0.99977446	2.3498286e-09	0	2.0929312e-19	-3.8071414e-20	0	1	35	1e-09	4.76e-24
0	0.70678365	0.7067834	0	2.0826523e-19	-3.8062593e-20	0.7853982	1	35	1e-09	4.76e-24
0	0.9997777	1.305077e-09	0	2.0404586e-19	-3.647189e-20	0	1	34	1e-09	4.56e-24
0	0.7068505	0.7068503	0	2.0346576e-19	-3.6466774e-20	0.7853982	1	34	1e-09	4.56e-24
0	0.9998435	2.1416027e-09	0	1.9530247e-19	-3.3914696e-20	0	1	33	1e-09	4.24e-24
0	0.7068394	0.7068392	0	1.9432852e-19	-3.3907167e-20	0.7853982	1	33	1e-09	4.24e-24
0	0.9998093	-1.0666625e-10	0	1.8988372e-19	-3.2473805e-20	0	1	32	1e-09	4.06e-24
0	0.7068993	0.7068993	0	1.894645e-19	-3.2470468e-20	0.7853982	1	32	1e-09	4.06e-24
0	0.99987555	1.802235e-09	0	1.7948457e-19	-2.959632e-20	0	1	31	1e-09	3.7e-24
0	0.706903	0.7069029	0	1.7878089e-19	-2.9591466e-20	0.7853982	1	31	1e-09	3.7e-24
0	0.99986786	1.5777853e-09	0	1.7585219e-19	-2.8636217e-20	0	1	30	1e-09	3.58e-24
0	0.70694226	0.70694214	0	1.7544324e-19	-2.8633332e-20	0.7853982	1	30	1e-09	3.58e-24
0	0.99991846	5.202759e-10	0	1.6520761e-19	-2.5917885e-20	0	1	29	1e-09	3.24e-24
0	0.7069352	0.70693517	0	1.6451583e-19	-2.591371e-20	0.7853982	1	29	1e-09	3.24e-24
