# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.7049244	0.70491725	0	8.763192e-19	-2.7562527e-20	0.7853982	0.8	100	4e-09
0	0.9950125	-2.2179275e-08	0	8.6314627e-19	-2.7510105e-20	0	0.79	100	4e-09
0	0.7049244	0.70491725	0	8.763192e-19	-2.7562527e-20	0.7853982	0.79	100	4e-09
0	0.9950125	-2.2179275e-08	0	8.6314627e-19	-2.7510105e-20	0	0.78	100	4e-09
0	0.7049244	0.7049172	0	8.763192e-19	-2.7562524e-20	0.7853982	0.78	100	4e-09
0	0.9950125	-2.0489097e-08	0	8.6314627e-19	-2.7510105e-20	0	0.77	100	4e-09
0	0.7049243	0.7049174	0	8.763192e-19	-2.7562524e-20	0.7853982	0.77	100	4e-09
0	0.9950125	-2.0489097e-08	0	8.6314627e-19	-2.7510105e-20	0	0.76	100	4e-09
0	0.7049241	0.7049175	0	8.763192e-19	-2.756253e-20	0.7853982	0.76	100	4e-09
0	0.9957771	-2.4962926e-08	0	8.700821e-19	-2.7276326e-20	0	0.75	100	4e-09
0	0.7053562	0.7053522	0	8.79304e-19	-2.732411e-20	0.7853982	0.75	100	4e-09
0	0.9957771	-2.4962926e-08	0	8.700821e-19	-2.7276326e-20	0	0.74	100	4e-09
0	0.7053558	0.7053525	0	8.79304e-19	-2.7324105e-20	0.7853982	0.74	100	4e-09
0	0.9957771	-2.4962926e-08	0	8.700821e-19	-2.7276326e-20	0	0.73	100	4e-09
0	0.7053558	0.7053525	0	8.79304e-19	-2.7324105e-20	0.7853982	0.73	100	4e-09
0	0.9957771	-2.4962926e-08	0	8.700821e-19	-2.7276326e-20	0	0.72	100	4e-09
0	0.70535606	0.7053525	0	8.793041e-19	-2.732411e-20	0.7853982	0.72	100	4e-09
0	0.99587154	-1.4191582e-08	0	8.602728e-19	-2.6769027e-20	0	0.71	100	4e-09
