# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.9945174	6.0799904e-10	0	6.3327293e-19	-3.1442658e-19	0	1	100	2e-09	3.952e-23
0	0.7018672	0.7018558	0	6.1839557e-19	-3.1381472e-19	0.7853982	1	100	2e-09	3.952e-23
0	0.99447984	6.1376477e-09	0	6.2667984e-19	-3.0677715e-19	0	1	99	2e-09	3.856e-23
0	0.7023494	0.70233667	0	6.183549e-19	-3.0640174e-19	0.7853982	1	99	2e-09	3.856e-23
0	0.99513453	5.8301985e-09	0	6.2161155e-19	-2.986996e-19	0	1	98	2e-09	3.752e-23
0	0.7018654	0.7018565	0	6.0191364e-19	-2.979332e-19	0.7853982	1	98	2e-09	3.752e-23
0	0.9950962	6.0687486e-09	0	6.170061e-19	-2.9359318e-19	0	1	97	2e-09	3.688e-23
0	0.70206875	0.7020597	0	6.0028383e-19	-2.9293596e-19	0.7853982	1	97	2e-09	3.688e-23
0	0.99479705	4.6256377e-09	0	6.085324e-19	-2.8713822e-19	0	1	96	2e-09	3.608e-23
0	0.7025827	0.70257163	0	6.0031335e-19	-2.86791e-19	0.7853982	1	96	2e-09	3.608e-23
0	0.995081	6.253465e-09	0	6.076643e-19	-2.8339906e-19	0	1	95	2e-09	3.56e-23
0	0.7025742	0.7025653	0	5.96851e-19	-2.8297265e-19	0.7853982	1	95	2e-09	3.56e-23
0	0.995718	4.8715334e-09	0	6.0056683e-19	-2.733843e-19	0	1	94	2e-09	3.432e-23
0	0.702324	0.7023153	0	5.824014e-19	-2.7270123e-19	0.7853982	1	94	2e-09	3.432e-23
0	0.9953829	2.697321e-09	0	5.9406447e-19	-2.701071e-19	0	1	93	2e-09	3.392e-23
0	0.7025808	0.7025729	0	5.813303e-19	-2.6962154e-19	0.7853982	1	93	2e-09	3.392e-23
0	0.99541444	5.6148006e-09	0	5.897222e-19	-2.6501916e-19	0	1	92	2e-09	3.328e-23
0	0.70276445	0.70275366	0	5.789508e-19	-2.6460295e-19	0.7853982	1	92	2e-09	3.328e-23
0	0.99579656	9.495839e-10	0	5.883815e-19	-2.600224e-19	0	1	91	2e-09	3.264e-23
0	0.7029013	0.702892	0	5.76077e-19	-2.5956527e-19	0.7853982	1	91	2e-09	3.264e-23
0	0.9959954	1.07503935e-08	0	5.773245e-19	-2.511502e-19	0	1	90	2e-09	3.152e-23
0	0.7027542	0.7027481	0	5.622094e-19	-2.5060675e-19	0.7853982	1	90	2e-09	3.152e-23
0	0.996023	3.1139606e-09	0	5.7507876e-19	-2.4860732e-19	0	1	89	2e-09	3.12e-23
0	0.70287067	0.7028626	0	5.611195e-19	-2.4810329e-19	0.7853982	1	89	2e-09	3.12e-23
0	0.9960365	3.0694636e-09	0	5.701303e-19	-2.4351099e-19	0	1	88	2e-09	3.056e-23
0	0.70312554	0.70311797	0	5.5905653e-19	-2.431022e-19	0.7853982	1	88	2e-09	3.056e-23
0	0.99599075	2.8567253e-09	0	5.624166e-19	-2.3648804e-19	0	1	87	2e-09	2.968e-23
0	0.703555	0.70354646	0	5.5602734e-19	-2.3624586e-19	0.7853982	1	87	2e-09	2.968e-23
0	0.9966965	5.83698e-09	0	5.565987e-19	-2.2900097e-19	0	1	86	2e-09	2.872e-23
0	0.7030424	0.7030358	0	5.399269e-19	-2.2843823e-19	0.7853982	1	86	2e-09	2.872e-23
0	0.9965713	3.6830774e-09	0	5.5160875e-19	-2.251454e-19	0	1	85	2e-09	2.824e-23
0	0.7033859	0.7033791	0	5.39757e-19	-2.2473008e-19	0.7853982	1	85	2e-09	2.824e-23
0	0.9962891	1.3182617e-09	0	5.459487e-19	-2.225311e-19	0	1	84	2e-09	2.792e-23
0	0.7035519	0.7035453	0	5.3764455e-19	-2.2223603e-19	0.7853982	1	84	2e-09	2.792e-23
0	0.99657744	1.3186868e-10	0	5.4147114e-19	-2.1621744e-19	0	1	83	2e-09	2.712e-23
0	0.7037635	0.7037559	0	5.331658e-19	-2.15933e-19	0.7853982	1	83	2e-09	2.712e-23
0	0.9969417	3.2881973e-09	0	5.312961e-19	-2.080019e-19	0	1	82	2e-09	2.608e-23
0	0.70356166	0.70355684	0	5.1860585e-19	-2.0759327e-19	0.7853982	1	82	2e-09	2.608e-23
0	0.9969369	5.5588316e-09	0	5.267189e-19	-2.0417268e-19	0	1	81	2e-09	2.56e-23
0	0.70369136	0.7036852	0	5.1547347e-19	-2.038099e-19	0.7853982	1	81	2e-09	2.56e-23
0	0.997048	-5.617408e-09	0	5.248847e-19	-2.01643e-19	0	1	80	2e-09	2.528e-23
0	0.7038591	0.70385265	0	5.14595e-19	-2.013102e-19	0.7853982	1	80	2e-09	2.528e-23
0	0.9967401	5.088795e-09	0	5.1448344e-19	-1.952016e-19	0	1	79	2e-09	2.448e-23
0	0.70435613	0.704351	0	5.1110947e-19	-1.9507748e-19	0.7853982	1	79	2e-09	2.448e-23
0	0.9975042	1.04647935e-08	0	5.095102e-19	-1.889672e-19	0	1	78	2e-09	2.368e-23
