# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Length (nm)
0	0.54028827	0.84145194	0	-1.0206677e-16	-1.02877565e-16	1	44.9
0	0.45358363	0.89118695	0	-1.02066775e-16	-1.0287753e-16	1.1	44.9
0	0.36234707	0.93201727	0	-1.0206681e-16	-1.0287751e-16	1.2	44.9
0	0.26749042	0.96353495	0	-1.0206683e-16	-1.0287748e-16	1.3	44.9
0	0.16996159	0.9854256	0	-1.0206685e-16	-1.0287745e-16	1.4	44.9
0	0.07073482	0.99747	0	-1.0206686e-16	-1.0287743e-16	1.5	44.9
0	-0.029198535	0.9995486	0	-1.02066855e-16	-1.0287743e-16	1.6	44.9
0	-0.12884024	0.99164015	0	-1.0206684e-16	-1.0287743e-16	1.7	44.9
0	-0.22719483	0.9738241	0	-1.0206684e-16	-1.0287747e-16	1.8	44.9
0	-0.32327974	0.9462777	0	-1.0206682e-16	-1.028775e-16	1.9	44.9
0	-0.41613495	0.9092764	0	-1.02066795e-16	-1.0287753e-16	2	44.9
0	-0.5048327	0.8631898	0	-1.02066775e-16	-1.02877565e-16	2.1	44.9
0	-0.5884864	0.8084781	0	-1.0206676e-16	-1.02877584e-16	2.2	44.9
0	-0.6662601	0.7456881	0	-1.0206676e-16	-1.0287759e-16	2.3	44.9
0	-0.7373767	0.67544717	0	-1.0206676e-16	-1.02877604e-16	2.4	44.9
0	-0.80112547	0.5984573	0	-1.02066755e-16	-1.02877584e-16	2.5	44.9
0	-0.85686934	0.51548773	0	-1.0206676e-16	-1.02877545e-16	2.6	44.9
0	-0.9040513	0.42736784	0	-1.020668e-16	-1.02877545e-16	2.7	44.9
0	-0.94220006	0.3349781	0	-1.020668e-16	-1.0287749e-16	2.8	44.9
0	-0.97093475	0.23924172	0	-1.02066815e-16	-1.0287745e-16	2.9	44.9
0	-0.9899681	0.14111535	0	-1.02066835e-16	-1.0287743e-16	3	44.9
0	-0.9991103	0.04157926	0	-1.02066835e-16	-1.0287741e-16	3.1	44.9
0	-0.9982699	-0.058372177	0	-1.02066855e-16	-1.0287743e-16	3.2	44.9
0	-0.9874554	-0.1577405	0	-1.0206685e-16	-1.0287745e-16	3.3	44.9
0	-0.9667749	-0.25553307	0	-1.0206683e-16	-1.0287747e-16	3.4	44.9
0	-0.9364348	-0.3507728	0	-1.02066795e-16	-1.0287749e-16	3.5	44.9
0	-0.8967378	-0.44250807	0	-1.0206678e-16	-1.02877525e-16	3.6	44.9
0	-0.8480808	-0.5298223	0	-1.0206677e-16	-1.0287755e-16	3.7	44.9
0	-0.7909497	-0.6118428	0	-1.02066755e-16	-1.0287759e-16	3.8	44.9
0	-0.72591543	-0.6877499	0	-1.0206675e-16	-1.0287759e-16	3.9	44.9
0	-0.6536279	-0.75678515	0	-1.0206676e-16	-1.02877604e-16	4	44.9
0	-0.57480943	-0.8182586	0	-1.02066755e-16	-1.0287757e-16	4.1	44.9
0	-0.49024767	-0.8715558	0	-1.0206677e-16	-1.02877545e-16	4.2	44.9
0	-0.40078768	-0.9161447	0	-1.02066795e-16	-1.02877525e-16	4.3	44.9
0	-0.3073235	-0.95157945	0	-1.0206682e-16	-1.0287749e-16	4.4	44.9
0	-0.21078902	-0.97750634	0	-1.0206683e-16	-1.0287745e-16	4.5	44.9
0	-0.1121488	-0.9936663	0	-1.0206684e-16	-1.0287743e-16	4.6	44.9
0	-0.012388244	-0.99989825	0	-1.02066855e-16	-1.0287743e-16	4.7	44.9
0	0.08749606	-0.9961399	0	-1.0206686e-16	-1.0287744e-16	4.8	44.9
0	0.18650633	-0.9824285	0	-1.0206685e-16	-1.0287746e-16	4.9	44.9
0	0.2836534	-0.9589012	0	-1.0206682e-16	-1.0287747e-16	5	44.9
0	0.37796667	-0.9257931	0	-1.0206681e-16	-1.02877525e-16	5.1	44.9
0	0.46850392	-0.8834344	0	-1.02066775e-16	-1.02877545e-16	5.2	44.9
0	0.5543601	-0.8322486	0	-1.0206676e-16	-1.0287757e-16	5.3	44.9
0	0.6346774	-0.77274686	0	-1.0206675e-16	-1.02877584e-16	5.4	44.9
0	0.7086532	-0.70552385	0	-1.02066755e-16	-1.0287759e-16	5.5	44.9
0	0.7755481	-0.63125134	0	-1.0206675e-16	-1.02877584e-16	5.6	44.9
0	0.83469385	-0.5506714	0	-1.0206677e-16	-1.0287757e-16	5.7	44.9
0	0.8854992	-0.46458945	0	-1.0206677e-16	-1.0287753e-16	5.8	44.9
