# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)
0	0.70631546	0.70631176	0	8.855491e-19	-2.7313077e-20	0.7853982	0.71	100	3.125e-09
0	0.99386835	-9.646994e-09	0	8.494729e-19	-2.6865506e-20	0	0.7	100	3.125e-09
0	0.7066107	0.70661014	0	8.836626e-19	-2.7012278e-20	0.7853982	0.7	100	3.125e-09
0	0.9938684	-1.2790881e-08	0	8.4947313e-19	-2.6865506e-20	0	0.69	100	3.125e-09
0	0.7066112	0.70660967	0	8.836626e-19	-2.7012274e-20	0.7853982	0.69	100	3.125e-09
0	0.99386835	-9.646994e-09	0	8.494729e-19	-2.6865506e-20	0	0.68	100	3.125e-09
0	0.7066107	0.70661014	0	8.836626e-19	-2.7012278e-20	0.7853982	0.68	100	3.125e-09
0	0.9938403	-8.714129e-09	0	8.45256e-19	-2.6554168e-20	0	0.67	100	3.125e-09
0	0.706809	0.7068086	0	8.810584e-19	-2.6707489e-20	0.7853982	0.67	100	3.125e-09
0	0.9946585	-1.3027362e-08	0	8.4659294e-19	-2.595437e-20	0	0.66	100	3.125e-09
0	0.70693374	0.70693403	0	8.763109e-19	-2.6087372e-20	0.7853982	0.66	100	3.125e-09
0	0.9944421	-8.398836e-09	0	8.389418e-19	-2.5637964e-20	0	0.65	100	3.125e-09
0	0.7069548	0.7069557	0	8.721121e-19	-2.5775723e-20	0.7853982	0.65	100	3.125e-09
0	0.9936527	-8.913271e-09	0	8.2273204e-19	-2.5307092e-20	0	0.64	100	3.125e-09
0	0.70695394	0.7069551	0	8.6331476e-19	-2.5463262e-20	0.7853982	0.64	100	3.125e-09
0	0.9936527	-8.913271e-09	0	8.2273204e-19	-2.5307092e-20	0	0.63	100	3.125e-09
0	0.706954	0.706955	0	8.6331465e-19	-2.5463262e-20	0.7853982	0.63	100	3.125e-09
0	0.9944566	-1.4712539e-08	0	8.1957675e-19	-2.455065e-20	0	0.62	100	3.125e-09
0	0.70663625	0.7066364	0	8.511345e-19	-2.4671079e-20	0.7853982	0.62	100	3.125e-09
0	0.9944566	-1.5042628e-08	0	8.1957665e-19	-2.455065e-20	0	0.61	100	3.125e-09
0	0.7066363	0.7066364	0	8.511345e-19	-2.4671079e-20	0.7853982	0.61	100	3.125e-09
0	0.9944566	-1.4712539e-08	0	8.1957675e-19	-2.455065e-20	0	0.6	100	3.125e-09
0	0.70663625	0.7066364	0	8.511345e-19	-2.4671075e-20	0.7853982	0.6	100	3.125e-09
0	0.9944566	-1.7541874e-08	0	8.1957665e-19	-2.455065e-20	0	0.59	100	3.125e-09
0	0.7066363	0.7066364	0	8.5113457e-19	-2.4671075e-20	0.7853982	0.59	100	3.125e-09
0	0.99456024	-1.352232e-08	0	8.136081e-19	-2.3931607e-20	0	0.58	100	3.125e-09
0	0.70558435	0.7055794	0	8.4028646e-19	-2.4010607e-20	0.7853982	0.58	100	3.125e-09
0	0.99456024	-1.352232e-08	0	8.136081e-19	-2.3931607e-20	0	0.57	100	3.125e-09
0	0.7055842	0.7055794	0	8.4028646e-19	-2.4010607e-20	0.7853982	0.57	100	3.125e-09
0	0.9945601	-1.2699854e-08	0	8.1360813e-19	-2.3931603e-20	0	0.56	100	3.125e-09
0	0.7055833	0.7055797	0	8.4028657e-19	-2.4010594e-20	0.7853982	0.56	100	3.125e-09
0	0.9953544	-1.19706e-08	0	8.1739874e-19	-2.3328623e-20	0	0.55	100	3.125e-09
0	0.7036393	0.70362836	0	8.303917e-19	-2.3322386e-20	0.7853982	0.55	100	3.125e-09
0	0.9953544	-1.19706e-08	0	8.1739874e-19	-2.3328623e-20	0	0.54	100	3.125e-09
0	0.7036391	0.7036284	0	8.3039173e-19	-2.3322385e-20	0.7853982	0.54	100	3.125e-09
0	0.9958986	-2.1287374e-08	0	8.2063063e-19	-2.2874546e-20	0	0.53	100	3.125e-09
0	0.7010504	0.7010324	0	8.1909875e-19	-2.2771731e-20	0.7853982	0.53	100	3.125e-09
0	0.9957524	-1.38221115e-08	0	8.1238737e-19	-2.2560015e-20	0	0.52	100	3.125e-09
0	0.7004583	0.70044154	0	8.12364e-19	-2.2442958e-20	0.7853982	0.52	100	3.125e-09
0	0.9953967	-2.0632378e-08	0	7.9782144e-19	-2.2240893e-20	0	0.51	100	3.125e-09
0	0.7002928	0.70027447	0	8.016485e-19	-2.2128146e-20	0.7853982	0.51	100	3.125e-09
0	0.9955111	-1.46369565e-08	0	7.9564187e-19	-2.1932355e-20	0	0.5	100	3.125e-09
0	0.6985863	0.69856423	0	7.933585e-19	-2.1765432e-20	0.7853982	0.5	100	3.125e-09
0	0.9952759	-9.862639e-09	0	7.8748054e-19	-2.161615e-20	0	0.49	100	3.125e-09
0	0.6970718	0.69704324	0	7.8262996e-19	-2.1410087e-20	0.7853982	0.49	100	3.125e-09
0	0.9952759	-9.862639e-09	0	7.8748054e-19	-2.161615e-20	0	0.48	100	3.125e-09
0	0.69707066	0.6970446	0	7.826299e-19	-2.1410092e-20	0.7853982	0.48	100	3.125e-09
0	0.99566114	-7.940034e-09	0	7.9009356e-19	-2.1313375e-20	0	0.47	100	3.125e-09
0	0.6942735	0.69424814	0	7.7315977e-19	-2.1017364e-20	0.7853982	0.47	100	3.125e-09
0	0.99566114	-7.940034e-09	0	7.9009356e-19	-2.1313375e-20	0	0.46	100	3.125e-09
0	0.69427425	0.6942478	0	7.731597e-19	-2.1017369e-20	0.7853982	0.46	100	3.125e-09
0	0.9962804	-2.183987e-08	0	7.8711974e-19	-2.0392613e-20	0	0.45	100	3.125e-09
0	0.6867075	0.6866811	0	7.4120093e-19	-1.9877866e-20	0.7853982	0.45	100	3.125e-09
0	0.996937	-2.3784546e-08	0	7.9695776e-19	-2.0250285e-20	0	0.44	100	3.125e-09
0	0.68334043	0.68331945	0	7.350244e-19	-1.9629482e-20	0.7853982	0.44	100	3.125e-09
0	0.996937	-2.126281e-08	0	7.9695776e-19	-2.0250285e-20	0	0.43	100	3.125e-09
0	0.6833402	0.6833186	0	7.350244e-19	-1.9629468e-20	0.7853982	0.43	100	3.125e-09
0	0.99696314	-2.4680048e-08	0	7.930614e-19	-1.9939265e-20	0	0.42	100	3.125e-09
0	0.681079	0.6810583	0	7.2411556e-19	-1.9263529e-20	0.7853982	0.42	100	3.125e-09
0	0.99696314	-2.4680048e-08	0	7.930614e-19	-1.9939265e-20	0	0.41	100	3.125e-09
0	0.6810771	0.6810595	0	7.241155e-19	-1.9263521e-20	0.7853982	0.41	100	3.125e-09
0	0.99687093	-1.6305778e-08	0	7.7590994e-19	-1.9002854e-20	0	0.4	100	3.125e-09
0	0.6762348	0.676213	0	6.9094e-19	-1.8229946e-20	0.7853982	0.4	100	3.125e-09
0	0.99687093	-1.6305778e-08	0	7.7590994e-19	-1.9002854e-20	0	0.39	100	3.125e-09
0	0.67623425	0.67621315	0	6.9093993e-19	-1.8229938e-20	0.7853982	0.39	100	3.125e-09
0	0.9972554	-8.5681675e-09	0	7.7912235e-19	-1.869854e-20	0	0.38	100	3.125e-09
0	0.67162365	0.6716064	0	6.7787524e-19	-1.7808884e-20	0.7853982	0.38	100	3.125e-09
0	0.9980026	-1.215621e-08	0	7.718813e-19	-1.777692e-20	0	0.37	100	3.125e-09
0	0.6666594	0.6666476	0	6.506817e-19	-1.6793455e-20	0.7853982	0.37	100	3.125e-09
0	0.9983731	-9.799863e-09	0	7.657022e-19	-1.7315533e-20	0	0.36	100	3.125e-09
0	0.6633609	0.6633521	0	6.308856e-19	-1.6270652e-20	0.7853982	0.36	100	3.125e-09
0	0.9982503	-1.8216328e-08	0	7.564506e-19	-1.7001452e-20	0	0.35	100	3.125e-09
0	0.6632097	0.66319984	0	6.179185e-19	-1.5973833e-20	0.7853982	0.35	100	3.125e-09
0	0.9982133	-1.5214503e-08	0	7.510664e-19	-1.668888e-20	0	0.34	100	3.125e-09
0	0.66145855	0.66144824	0	6.057252e-19	-1.5639328e-20	0.7853982	0.34	100	3.125e-09
0	0.9982508	-1.4688287e-08	0	7.4755667e-19	-1.6377551e-20	0	0.33	100	3.125e-09
0	0.6589761	0.65896565	0	5.9430694e-19	-1.5289404e-20	0.7853982	0.33	100	3.125e-09
0	0.9982508	-1.4688287e-08	0	7.4755667e-19	-1.6377551e-20	0	0.32	100	3.125e-09
0	0.65897626	0.65896595	0	5.9430694e-19	-1.528941e-20	0.7853982	0.32	100	3.125e-09
0	0.9982788	-1.34626825e-08	0	7.387148e-19	-1.5754086e-20	0	0.31	100	3.125e-09
0	0.65529746	0.65528667	0	5.706921e-19	-1.4624846e-20	0.7853982	0.31	100	3.125e-09
0	0.99855655	-1.8852226e-08	0	7.411323e-19	-1.5446423e-20	0	0.3	100	3.125e-09
0	0.6495438	0.6495363	0	5.555511e-19	-1.4209415e-20	0.7853982	0.3	100	3.125e-09
0	0.99933493	-1.4821899e-08	0	7.4666146e-19	-1.4677732e-20	0	0.29	100	3.125e-09
0	0.6369901	0.63698786	0	5.1505285e-19	-1.3231064e-20	0.7853982	0.29	100	3.125e-09
0	0.999283	-2.0084174e-08	0	7.3958043e-19	-1.4364693e-20	0	0.28	100	3.125e-09
0	0.63712806	0.6371252	0	5.0369173e-19	-1.2952351e-20	0.7853982	0.28	100	3.125e-09
0	0.99924266	-1.7881394e-08	0	7.336909e-19	-1.4051849e-20	0	0.27	100	3.125e-09
0	0.636725	0.63672113	0	4.936682e-19	-1.2662753e-20	0.7853982	0.27	100	3.125e-09
0	0.99924266	-1.7881394e-08	0	7.336909e-19	-1.4051849e-20	0	0.26	100	3.125e-09
0	0.6367257	0.6367219	0	4.936682e-19	-1.2662765e-20	0.7853982	0.26	100	3.125e-09
0	0.99917567	-1.24753905e-08	0	7.193767e-19	-1.3426425e-20	0	0.25	100	3.125e-09
0	0.63740015	0.6373951	0	4.7441827e-19	-1.2112783e-20	0.7853982	0.25	100	3.125e-09
0	0.999174	-1.2018496e-08	0	7.153843e-19	-1.311416e-20	0	0.24	100	3.125e-09
0	0.6347625	0.634757	0	4.628772e-19	-1.1782128e-20	0.7853982	0.24	100	3.125e-09
0	0.9993626	-1.1385419e-08	0	7.142303e-19	-1.2492032e-20	0	0.23	100	3.125e-09
0	0.62360984	0.62360585	0	4.3308287e-19	-1.1023934e-20	0.7853982	0.23	100	3.125e-09
0	0.9997941	-6.429953e-09	0	7.023365e-19	-1.1403901e-20	0	0.22	100	3.125e-09
0	0.6123279	0.61232716	0	3.835691e-19	-9.8773774e-21	0.7853982	0.22	100	3.125e-09
0	0.9997941	-6.32789e-09	0	7.023364e-19	-1.1403903e-20	0	0.21	100	3.125e-09
0	0.61232936	0.61232865	0	3.8356908e-19	-9.877401e-21	0.7853982	0.21	100	3.125e-09
0	0.999777	-1.1490684e-08	0	6.9400707e-19	-1.1091278e-20	0	0.2	100	3.125e-09
0	0.61420226	0.6142015	0	3.759787e-19	-9.636171e-21	0.7853982	0.2	100	3.125e-09
0	0.99975765	-7.61255e-09	0	6.8642477e-19	-1.07786376e-20	0	0.19	100	3.125e-09
0	0.61557025	0.6155692	0	3.6883854e-19	-9.3855854e-21	0.7853982	0.19	100	3.125e-09
0	0.9997365	-6.838966e-09	0	6.7947805e-19	-1.04659916e-20	0	0.18	100	3.125e-09
0	0.6160189	0.6160172	0	3.611527e-19	-9.120178e-21	0.7853982	0.18	100	3.125e-09
0	0.9996921	-3.481009e-09	0	6.5340103e-19	-9.528316e-21	0	0.17	100	3.125e-09
0	0.61586374	0.61586034	0	3.3378666e-19	-8.301342e-21	0.7853982	0.17	100	3.125e-09
0	0.99988776	-3.7422234e-09	0	6.504206e-19	-8.592785e-21	0	0.16	100	3.125e-09
0	0.5911039	0.5911029	0	2.803206e-19	-7.183914e-21	0.7853982	0.16	100	3.125e-09
0	0.9999536	-5.9461365e-09	0	6.404123e-19	-8.124623e-21	0	0.15	100	3.125e-09
0	0.5866443	0.58664405	0	2.622866e-19	-6.7408257e-21	0.7853982	0.15	100	3.125e-09
0	0.9999536	-4.835713e-09	0	6.4041233e-19	-8.124623e-21	0	0.14	100	3.125e-09
0	0.58664423	0.5866439	0	2.6228662e-19	-6.740825e-21	0.7853982	0.14	100	3.125e-09
0	0.9999524	-3.6507846e-09	0	6.2737095e-19	-7.812128e-21	0	0.13	100	3.125e-09
0	0.5900905	0.5900903	0	2.5869722e-19	-6.5196397e-21	0.7853982	0.13	100	3.125e-09
0	0.9999494	-3.2798753e-09	0	5.8057796e-19	-7.1871365e-21	0	0.12	100	3.125e-09
0	0.59806997	0.59806967	0	2.5804726e-19	-6.0791765e-21	0.7853982	0.12	100	3.125e-09
0	0.9999469	-2.683096e-09	0	5.5605573e-19	-6.5621514e-21	0	0.11	100	3.125e-09
0	0.6052543	0.60525405	0	2.500044e-19	-5.617228e-21	0.7853982	0.11	100	3.125e-09
