# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Angle (rad)	Roundness ()	Size (nm)	Cell_size (m)	Volume (m^3)
0	0.9972533	-1.6933138e-08	0	6.5684717e-19	-3.0890915e-19	0	1	100	4e-09	3.872e-23
0	0.9614294	0.2565868	0	6.539187e-19	-2.9967322e-19	0.024543693	1	100	4e-09	3.872e-23
0	0.9529501	0.28533116	0	6.5212453e-19	-2.9916706e-19	0.049087387	1	100	4e-09	3.872e-23
0	0.94486856	0.3101714	0	6.5030453e-19	-2.9895745e-19	0.07363108	1	100	4e-09	3.872e-23
0	0.937035	0.33238882	0	6.4848246e-19	-2.989502e-19	0.09817477	1	100	4e-09	3.872e-23
0	0.9293532	0.35272256	0	6.4667434e-19	-2.99086e-19	0.12271846	1	100	4e-09	3.872e-23
0	0.92167586	0.3718338	0	6.4489125e-19	-2.9930856e-19	0.14726216	1	100	4e-09	3.872e-23
0	0.91417366	0.3895055	0	6.4314187e-19	-2.9963255e-19	0.17180584	1	100	4e-09	3.872e-23
0	0.9065949	0.406476	0	6.414329e-19	-2.9999468e-19	0.19634955	1	100	4e-09	3.872e-23
0	0.8990084	0.42267948	0	6.397701e-19	-3.003972e-19	0.22089323	1	100	4e-09	3.872e-23
0	0.8913982	0.43822852	0	6.3815754e-19	-3.008281e-19	0.24543692	1	100	4e-09	3.872e-23
0	0.88366574	0.45337576	0	6.3659954e-19	-3.0126543e-19	0.2699806	1	100	4e-09	3.872e-23
0	0.87600714	0.46779117	0	6.350992e-19	-3.0173078e-19	0.2945243	1	100	4e-09	3.872e-23
0	0.868213	0.48191348	0	6.336591e-19	-3.0218952e-19	0.319068	1	100	4e-09	3.872e-23
0	0.8602731	0.4957778	0	6.32282e-19	-3.0263783e-19	0.3436117	1	100	4e-09	3.872e-23
0	0.85240895	0.5090316	0	6.309699e-19	-3.0309686e-19	0.3681554	1	100	4e-09	3.872e-23
0	0.8443779	0.52211094	0	6.2972474e-19	-3.035359e-19	0.3926991	1	100	4e-09	3.872e-23
0	0.83625543	0.5349043	0	6.2854813e-19	-3.0396075e-19	0.41724277	1	100	4e-09	3.872e-23
0	0.82806003	0.5473991	0	6.2744157e-19	-3.0437039e-19	0.44178647	1	100	4e-09	3.872e-23
0	0.8197577	0.5596608	0	6.264064e-19	-3.0475968e-19	0.46633017	1	100	4e-09	3.872e-23
0	0.81133753	0.5717148	0	6.2544377e-19	-3.0512607e-19	0.49087384	1	100	4e-09	3.872e-23
0	0.8028475	0.5835029	0	6.245548e-19	-3.0547126e-19	0.5154175	1	100	4e-09	3.872e-23
0	0.794237	0.5951045	0	6.2374025e-19	-3.0579027e-19	0.5399612	1	100	4e-09	3.872e-23
0	0.7855107	0.6065188	0	6.230011e-19	-3.060824e-19	0.5645049	1	100	4e-09	3.872e-23
0	0.77668	0.61773705	0	6.223378e-19	-3.063471e-19	0.5890486	1	100	4e-09	3.872e-23
0	0.7677365	0.6287751	0	6.2175124e-19	-3.0658297e-19	0.6135923	1	100	4e-09	3.872e-23
0	0.7586783	0.6396396	0	6.212418e-19	-3.0678911e-19	0.638136	1	100	4e-09	3.872e-23
0	0.74949735	0.65034366	0	6.2081e-19	-3.0696458e-19	0.6626797	1	100	4e-09	3.872e-23
0	0.74017	0.66091627	0	6.2045634e-19	-3.0710843e-19	0.6872234	1	100	4e-09	3.872e-23
0	0.73075986	0.67128825	0	6.201809e-19	-3.0722152e-19	0.7117671	1	100	4e-09	3.872e-23
0	0.72120667	0.68152905	0	6.199839e-19	-3.0730228e-19	0.7363108	1	100	4e-09	3.872e-23
0	0.7115142	0.69163424	0	6.198658e-19	-3.073507e-19	0.7608545	1	100	4e-09	3.872e-23
0	0.70164555	0.70164174	0	6.1982644e-19	-3.0736677e-19	0.7853982	1	100	4e-09	3.872e-23
0	0.9972533	-1.6933138e-08	0	6.5684717e-19	-3.0890915e-19	0	0.99	100	4e-09	3.872e-23
0	0.96143085	0.25658184	0	6.5391864e-19	-2.9967363e-19	0.024543693	0.99	100	4e-09	3.872e-23
0	0.95294565	0.28534535	0	6.521245e-19	-2.9916597e-19	0.049087387	0.99	100	4e-09	3.872e-23
0	0.94486684	0.3101763	0	6.503044e-19	-2.9895703e-19	0.07363108	0.99	100	4e-09	3.872e-23
0	0.9370444	0.3323631	0	6.4848246e-19	-2.9895233e-19	0.09817477	0.99	100	4e-09	3.872e-23
0	0.9293542	0.3527199	0	6.4667424e-19	-2.990862e-19	0.12271846	0.99	100	4e-09	3.872e-23
0	0.92168117	0.37182108	0	6.448913e-19	-2.993096e-19	0.14726216	0.99	100	4e-09	3.872e-23
0	0.91417366	0.3895055	0	6.4314187e-19	-2.9963255e-19	0.17180584	0.99	100	4e-09	3.872e-23
0	0.9065949	0.4064761	0	6.414329e-19	-2.9999468e-19	0.19634955	0.99	100	4e-09	3.872e-23
0	0.8990095	0.42267713	0	6.397701e-19	-3.0039739e-19	0.22089323	0.99	100	4e-09	3.872e-23
0	0.8914006	0.43822378	0	6.381576e-19	-3.0082845e-19	0.24543692	0.99	100	4e-09	3.872e-23
0	0.8836641	0.45337898	0	6.365996e-19	-3.0126523e-19	0.2699806	0.99	100	4e-09	3.872e-23
0	0.87599283	0.4678176	0	6.3509904e-19	-3.017289e-19	0.2945243	0.99	100	4e-09	3.872e-23
0	0.8682019	0.4819331	0	6.336591e-19	-3.0218815e-19	0.319068	0.99	100	4e-09	3.872e-23
0	0.8602733	0.49577743	0	6.32282e-19	-3.0263783e-19	0.3436117	0.99	100	4e-09	3.872e-23
0	0.8524094	0.5090307	0	6.3096996e-19	-3.030969e-19	0.3681554	0.99	100	4e-09	3.872e-23
0	0.8443807	0.52210647	0	6.2972474e-19	-3.0353615e-19	0.3926991	0.99	100	4e-09	3.872e-23
0	0.8362594	0.53489804	0	6.285481e-19	-3.0396109e-19	0.41724277	0.99	100	4e-09	3.872e-23
0	0.82805836	0.5474016	0	6.2744167e-19	-3.0437023e-19	0.44178647	0.99	100	4e-09	3.872e-23
0	0.81975776	0.5596607	0	6.2640635e-19	-3.0475965e-19	0.46633017	0.99	100	4e-09	3.872e-23
0	0.8113541	0.57169145	0	6.254438e-19	-3.051272e-19	0.49087384	0.99	100	4e-09	3.872e-23
0	0.8028448	0.5835065	0	6.2455476e-19	-3.0547108e-19	0.5154175	0.99	100	4e-09	3.872e-23
0	0.7942297	0.5951141	0	6.2374025e-19	-3.0578993e-19	0.5399612	0.99	100	4e-09	3.872e-23
0	0.7855111	0.6065183	0	6.23001e-19	-3.060824e-19	0.5645049	0.99	100	4e-09	3.872e-23
0	0.77667576	0.61774236	0	6.2233776e-19	-3.063469e-19	0.5890486	0.99	100	4e-09	3.872e-23
0	0.76773715	0.6287743	0	6.217512e-19	-3.06583e-19	0.6135923	0.99	100	4e-09	3.872e-23
0	0.7586783	0.6396396	0	6.212418e-19	-3.0678911e-19	0.638136	0.99	100	4e-09	3.872e-23
0	0.7494953	0.6503461	0	6.208101e-19	-3.0696453e-19	0.6626797	0.99	100	4e-09	3.872e-23
0	0.7401915	0.66089225	0	6.204563e-19	-3.0710887e-19	0.6872234	0.99	100	4e-09	3.872e-23
0	0.73076534	0.6712823	0	6.2018094e-19	-3.072216e-19	0.7117671	0.99	100	4e-09	3.872e-23
0	0.72120255	0.68153334	0	6.1998397e-19	-3.0730225e-19	0.7363108	0.99	100	4e-09	3.872e-23
0	0.71152276	0.69162554	0	6.198658e-19	-3.0735072e-19	0.7608545	0.99	100	4e-09	3.872e-23
0	0.7016456	0.70164174	0	6.198265e-19	-3.073668e-19	0.7853982	0.99	100	4e-09	3.872e-23
0	0.9972533	-1.6933138e-08	0	6.5684717e-19	-3.0890915e-19	0	0.98	100	4e-09	3.872e-23
0	0.9614366	0.25656092	0	6.539186e-19	-2.9967526e-19	0.024543693	0.98	100	4e-09	3.872e-23
0	0.9529488	0.28533506	0	6.521245e-19	-2.9916675e-19	0.049087387	0.98	100	4e-09	3.872e-23
0	0.94479775	0.3103792	0	6.503045e-19	-2.989403e-19	0.07363108	0.98	100	4e-09	3.872e-23
0	0.9370298	0.33240312	0	6.484825e-19	-2.9894907e-19	0.09817477	0.98	100	4e-09	3.872e-23
0	0.92935413	0.35272	0	6.4667434e-19	-2.9908618e-19	0.12271846	0.98	100	4e-09	3.872e-23
