# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.9994509	0.0013691497	0	1.5374816e-20	-4.4069935e-22	-3.8239244e-19	0	0.1	0.00015	1.1780972
0	0.9991246	0.025594482	0	-3.6679104e-19	-4.6625946e-22	-7.6453605e-19	0.024543693	0.1	0.00015	1.1780972
0	0.9982124	0.049794868	0	-7.4826164e-19	-4.9153567e-22	-1.1459906e-18	0.049087387	0.1	0.00015	1.1780972
0	0.996713	0.07399412	0	-1.1285953e-18	-5.165525e-22	-1.5263145e-18	0.07363108	0.1	0.00015	1.1780972
0	0.9946283	0.09814506	0	-1.5073557e-18	-5.412609e-22	-1.9050712e-18	0.09817477	0.1	0.00015	1.1780972
0	0.99195755	0.12225334	0	-1.8841053e-18	-5.656664e-22	-2.2818226e-18	0.12271846	0.1	0.00015	1.1780972
0	0.9887022	0.14629613	0	-2.2584132e-18	-5.8974555e-22	-2.6561384e-18	0.14726216	0.1	0.00015	1.1780972
0	0.9848627	0.17026629	0	-2.6298491e-18	-6.134909e-22	-3.0275873e-18	0.17180584	0.1	0.00015	1.1780972
0	0.98043966	0.19415244	0	-2.997987e-18	-6.368907e-22	-3.3957437e-18	0.19634955	0.1	0.00015	1.1780972
0	0.9754344	0.21794082	0	-3.3624085e-18	-6.599308e-22	-3.760188e-18	0.22089323	0.1	0.00015	1.1780972
0	0.9698476	0.24162063	0	-3.7226966e-18	-6.8260015e-22	-4.120504e-18	0.24543692	0.1	0.00015	1.1780972
0	0.96368	0.2651817	0	-4.078441e-18	-7.0488834e-22	-4.476279e-18	0.2699806	0.1	0.00015	1.1780972
0	0.9569346	0.28860617	0	-4.4292436e-18	-7.267776e-22	-4.827117e-18	0.2945243	0.1	0.00015	1.1780972
0	0.9496125	0.31188214	0	-4.7747136e-18	-7.4825585e-22	-5.172625e-18	0.319068	0.1	0.00015	1.1780972
0	0.94171584	0.33499822	0	-5.114461e-18	-7.6931195e-22	-5.512413e-18	0.3436117	0.1	0.00015	1.1780972
0	0.93324655	0.35794145	0	-5.4481134e-18	-7.899329e-22	-5.8461077e-18	0.3681554	0.1	0.00015	1.1780972
0	0.92420936	0.38069284	0	-5.7753188e-18	-8.1010073e-22	-6.173357e-18	0.3926991	0.1	0.00015	1.1780972
0	0.91460544	0.40324414	0	-6.0957148e-18	-8.2980746e-22	-6.4937975e-18	0.41724277	0.1	0.00015	1.1780972
0	0.9044404	0.42557666	0	-6.40898e-18	-8.490353e-22	-6.807108e-18	0.44178647	0.1	0.00015	1.1780972
0	0.89371514	0.44768313	0	-6.7147685e-18	-8.677769e-22	-7.112941e-18	0.46633017	0.1	0.00015	1.1780972
0	0.88243693	0.4695426	0	-7.012801e-18	-8.860136e-22	-7.4110155e-18	0.49087384	0.1	0.00015	1.1780972
0	0.8706108	0.4911415	0	-7.302784e-18	-9.03733e-22	-7.701041e-18	0.5154175	0.1	0.00015	1.1780972
0	0.85823977	0.5124692	0	-7.584434e-18	-9.209251e-22	-7.98273e-18	0.5399612	0.1	0.00015	1.1780972
0	0.8453346	0.5335032	0	-7.8575375e-18	-9.375709e-22	-8.2558705e-18	0.5645049	0.1	0.00015	1.1780972
0	0.831898	0.5542354	0	-8.121839e-18	-9.536629e-22	-8.520204e-18	0.5890486	0.1	0.00015	1.1780972
0	0.81794226	0.57464343	0	-8.377178e-18	-9.691827e-22	-8.775572e-18	0.6135923	0.1	0.00015	1.1780972
0	0.803473	0.5947166	0	-8.623355e-18	-9.841218e-22	-9.021775e-18	0.638136	0.1	0.00015	1.1780972
0	0.7884967	0.6144431	0	-8.860198e-18	-9.984699e-22	-9.2586376e-18	0.6626797	0.1	0.00015	1.1780972
0	0.77303016	0.63379836	0	-9.087654e-18	-1.012209e-21	-9.48611e-18	0.6872234	0.1	0.00015	1.1780972
0	0.7570768	0.6527769	0	-9.305562e-18	-1.0253342e-21	-9.7040255e-18	0.7117671	0.1	0.00015	1.1780972
0	0.7406546	0.6713559	0	-9.513927e-18	-1.0378294e-21	-9.912396e-18	0.7363108	0.1	0.00015	1.1780972
0	0.7237893	0.689507	0	-9.712875e-18	-1.049676e-21	-1.0111341e-17	0.7608545	0.1	0.00015	1.1780972
0	0.7064554	0.70725715	0	-9.901985e-18	-1.0608911e-21	-1.0300443e-17	0.7853982	0.1	0.00015	1.1780972
0	0.6886904	0.72456634	0	-1.0081548e-17	-1.071449e-21	-1.0479992e-17	0.8099418	0.1	0.00015	1.1780972
0	0.6704983	0.74143094	0	-1.0251514e-17	-1.0813475e-21	-1.0649938e-17	0.83448553	0.1	0.00015	1.1780972
0	0.65189755	0.75783396	0	-1.0412011e-17	-1.0905765e-21	-1.0810409e-17	0.85902923	0.1	0.00015	1.1780972
0	0.63290846	0.7737587	0	-1.05632255e-17	-1.0991275e-21	-1.0961592e-17	0.88357294	0.1	0.00015	1.1780972
0	0.61353195	0.7892056	0	-1.0705123e-17	-1.1070013e-21	-1.1103453e-17	0.90811664	0.1	0.00015	1.1780972
0	0.59379935	0.80415094	0	-1.08380744e-17	-1.1141861e-21	-1.1236363e-17	0.93266034	0.1	0.00015	1.1780972
0	0.5737109	0.81859636	0	-1.0962077e-17	-1.1206844e-21	-1.1360319e-17	0.957204	0.1	0.00015	1.1780972
0	0.5532909	0.8325261	0	-1.1077457e-17	-1.1264899e-21	-1.1475648e-17	0.9817477	0.1	0.00015	1.1780972
0	0.5325523	0.8459336	0	-1.11844125e-17	-1.1316012e-21	-1.1582549e-17	1.0062914	0.1	0.00015	1.1780972
0	0.5115074	0.858813	0	-1.1283159e-17	-1.1360174e-21	-1.1681238e-17	1.030835	0.1	0.00015	1.1780972
0	0.49017364	0.87115574	0	-1.13739915e-17	-1.1397374e-21	-1.1772009e-17	1.0553788	0.1	0.00015	1.1780972
0	0.468569	0.88295406	0	-1.1457234e-17	-1.1427605e-21	-1.185519e-17	1.0799224	0.1	0.00015	1.1780972
0	0.44670114	0.894206	0	-1.1533088e-17	-1.1450884e-21	-1.1930979e-17	1.1044662	0.1	0.00015	1.1780972
0	0.4246	0.90489906	0	-1.1602079e-17	-1.1467207e-21	-1.1999906e-17	1.1290098	0.1	0.00015	1.1780972
0	0.4022625	0.91503733	0	-1.1664285e-17	-1.1476605e-21	-1.2062047e-17	1.1535536	0.1	0.00015	1.1780972
0	0.37971163	0.9246125	0	-1.1720162e-17	-1.1479093e-21	-1.2117859e-17	1.1780972	0.1	0.00015	1.1780972
0	0.3569604	0.9336219	0	-1.1770042e-17	-1.1474693e-21	-1.2167676e-17	1.2026409	0.1	0.00015	1.1780972
0	0.3340219	0.9420622	0	-1.1814271e-17	-1.1463435e-21	-1.2211843e-17	1.2271847	0.1	0.00015	1.1780972
0	0.3109116	0.9499305	0	-1.1853234e-17	-1.1445352e-21	-1.2250747e-17	1.2517283	0.1	0.00015	1.1780972
0	0.2876425	0.9572243	0	-1.1887296e-17	-1.1420477e-21	-1.2284751e-17	1.276272	0.1	0.00015	1.1780972
0	0.26422414	0.96394277	0	-1.19167775e-17	-1.138884e-21	-1.231418e-17	1.3008157	0.1	0.00015	1.1780972
0	0.24067314	0.97008294	0	-1.19421116e-17	-1.1350485e-21	-1.2339464e-17	1.3253593	0.1	0.00015	1.1780972
0	0.21700323	0.9756432	0	-1.1963699e-17	-1.1305453e-21	-1.23610066e-17	1.3499031	0.1	0.00015	1.1780972
0	0.19322419	0.9806229	0	-1.1981886e-17	-1.1253782e-21	-1.23791524e-17	1.3744467	0.1	0.00015	1.1780972
0	0.16935073	0.98502046	0	-1.1997099e-17	-1.1195519e-21	-1.23943295e-17	1.3989905	0.1	0.00015	1.1780972
0	0.14539301	0.98883533	0	-1.20097005e-17	-1.1130705e-21	-1.2406901e-17	1.4235342	0.1	0.00015	1.1780972
0	0.12136477	0.9920665	0	-1.2020111e-17	-1.1059387e-21	-1.2417287e-17	1.4480779	0.1	0.00015	1.1780972
0	0.097276025	0.9947136	0	-1.2028702e-17	-1.0981606e-21	-1.2425859e-17	1.4726216	0.1	0.00015	1.1780972
0	0.07314261	0.99677587	0	-1.2035932e-17	-1.0897424e-21	-1.2433077e-17	1.4971652	0.1	0.00015	1.1780972
0	0.048978668	0.99825287	0	-1.204224e-17	-1.0806899e-21	-1.24393795e-17	1.521709	0.1	0.00015	1.1780972
0	0.024768844	0.9991455	0	-1.2047606e-17	-1.0709968e-21	-1.2444746e-17	1.5462526	0.1	0.00015	1.1780972
0	0.0005660769	0.99945176	0	-1.2053073e-17	-1.0606851e-21	-1.24502205e-17	1.5707964	0.1	0.00015	1.1780972
0	-0.02364346	0.9991726	0	-1.2058647e-17	-1.0497489e-21	-1.2455809e-17	1.59534	0.1	0.00015	1.1780972
0	-0.04783874	0.998308	0	-1.2064876e-17	-1.0381983e-21	-1.24620574e-17	1.6198837	0.1	0.00015	1.1780972
0	-0.07201245	0.996858	0	-1.2072092e-17	-1.0260356e-21	-1.24693e-17	1.6444274	0.1	0.00015	1.1780972
0	-0.096152246	0.99482274	0	-1.2080704e-17	-1.013267e-21	-1.2477945e-17	1.6689711	0.1	0.00015	1.1780972
0	-0.120245464	0.9922026	0	-1.2091126e-17	-9.998983e-22	-1.24884064e-17	1.6935148	0.1	0.00015	1.1780972
0	-0.14428087	0.98899794	0	-1.2103742e-17	-9.859349e-22	-1.2501068e-17	1.7180585	0.1	0.00015	1.1780972
0	-0.16824576	0.9852094	0	-1.21189595e-17	-9.713829e-22	-1.2516337e-17	1.7426022	0.1	0.00015	1.1780972
0	-0.19212925	0.9808377	0	-1.2137153e-17	-9.56248e-22	-1.2534587e-17	1.7671459	0.1	0.00015	1.1780972
0	-0.21591681	0.9758838	0	-1.2158744e-17	-9.405374e-22	-1.2556239e-17	1.7916895	0.1	0.00015	1.1780972
0	-0.23959891	0.9703484	0	-1.2184078e-17	-9.242563e-22	-1.2581638e-17	1.8162333	0.1	0.00015	1.1780972
0	-0.26316106	0.96423316	0	-1.2213561e-17	-9.074125e-22	-1.2611192e-17	1.8407769	0.1	0.00015	1.1780972
0	-0.28659323	0.95753855	0	-1.2247532e-17	-8.900112e-22	-1.2645237e-17	1.8653207	0.1	0.00015	1.1780972
0	-0.3098792	0.95026726	0	-1.22864114e-17	-8.720624e-22	-1.26841935e-17	1.8898643	0.1	0.00015	1.1780972
0	-0.3330047	0.9424219	0	-1.2330578e-17	-8.53575e-22	-1.2728441e-17	1.914408	0.1	0.00015	1.1780972
0	-0.35596156	0.93400264	0	-1.2380318e-17	-8.345527e-22	-1.2778262e-17	1.9389517	0.1	0.00015	1.1780972
0	-0.37872916	0.9250149	0	-1.24360815e-17	-8.1501045e-22	-1.2834109e-17	1.9634954	0.1	0.00015	1.1780972
0	-0.40129805	0.91546017	0	-1.2498147e-17	-7.94954e-22	-1.28962594e-17	1.9880391	0.1	0.00015	1.1780972
0	-0.42365375	0.9053419	0	-1.2566855e-17	-7.7439337e-22	-1.2965052e-17	2.0125828	0.1	0.00015	1.1780972
0	-0.44578263	0.89466375	0	-1.2642516e-17	-7.533381e-22	-1.3040797e-17	2.0371265	0.1	0.00015	1.1780972
0	-0.467667	0.88343155	0	-1.2725489e-17	-7.318027e-22	-1.3123853e-17	2.06167	0.1	0.00015	1.1780972
0	-0.4892975	0.8716476	0	-1.2815993e-17	-7.0979326e-22	-1.32144394e-17	2.0862138	0.1	0.00015	1.1780972
0	-0.5106534	0.8593205	0	-1.2914394e-17	-6.8732847e-22	-1.33129186e-17	2.1107576	0.1	0.00015	1.1780972
0	-0.53171945	0.8464569	0	-1.3020958e-17	-6.644217e-22	-1.34195595e-17	2.1353014	0.1	0.00015	1.1780972
0	-0.5524874	0.8330592	0	-1.3135851e-17	-6.4107916e-22	-1.3534525e-17	2.1598449	0.1	0.00015	1.1780972
0	-0.5729314	0.8191418	0	-1.32594314e-17	-6.1732756e-22	-1.3658175e-17	2.1843886	0.1	0.00015	1.1780972
0	-0.59304667	0.80470574	0	-1.3391786e-17	-5.9317034e-22	-1.3790594e-17	2.2089324	0.1	0.00015	1.1780972
0	-0.61280876	0.7897669	0	-1.3533214e-17	-5.686347e-22	-1.393208e-17	2.233476	0.1	0.00015	1.1780972
0	-0.63221335	0.77432656	0	-1.3683751e-17	-5.437241e-22	-1.4082672e-17	2.2580197	0.1	0.00015	1.1780972
