# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.999075	0.0044211145	0	1.5816456e-20	-1.3886755e-21	-3.5871088e-19	0	0.1	0.0005	1.1780972
0	0.9986968	0.027907683	0	-3.4269253e-19	-1.4661352e-21	-7.17155e-19	0.024543693	0.1	0.0005	1.1780972
0	0.99776715	0.05141685	0	-7.0054035e-19	-1.5429118e-21	-1.0749569e-18	0.049087387	0.1	0.0005	1.1780972
0	0.9962868	0.074897096	0	-1.0573543e-18	-1.6188349e-21	-1.4317436e-18	0.07363108	0.1	0.0005	1.1780972
0	0.9942519	0.098384336	0	-1.4127547e-18	-1.6940183e-21	-1.787135e-18	0.09817477	0.1	0.0005	1.1780972
0	0.99166524	0.121821776	0	-1.7663722e-18	-1.7682777e-21	-2.1407618e-18	0.12271846	0.1	0.0005	1.1780972
0	0.9885227	0.1452321	0	-2.1178262e-18	-1.8416827e-21	-2.4922427e-18	0.14726216	0.1	0.0005	1.1780972
0	0.9848233	0.16860002	0	-2.4667413e-18	-1.9141812e-21	-2.841201e-18	0.17180584	0.1	0.0005	1.1780972
0	0.98056304	0.1919301	0	-2.8127323e-18	-1.9857824e-21	-3.1872512e-18	0.19634955	0.1	0.0005	1.1780972
0	0.97573894	0.21521303	0	-3.1554155e-18	-2.0564518e-21	-3.5300086e-18	0.22089323	0.1	0.0005	1.1780972
0	0.970349	0.23843624	0	-3.4944104e-18	-2.1261448e-21	-3.8690914e-18	0.24543692	0.1	0.0005	1.1780972
0	0.9643887	0.2615969	0	-3.829323e-18	-2.1948456e-21	-4.2041045e-18	0.2699806	0.1	0.0005	1.1780972
0	0.95785505	0.2846836	0	-4.159769e-18	-2.2625122e-21	-4.5346624e-18	0.2945243	0.1	0.0005	1.1780972
0	0.9507406	0.3076993	0	-4.4853372e-18	-2.3291443e-21	-4.860353e-18	0.319068	0.1	0.0005	1.1780972
0	0.94305	0.33060628	0	-4.805677e-18	-2.3946239e-21	-5.180823e-18	0.3436117	0.1	0.0005	1.1780972
