# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.198152	0.97598165	0	-3.994142e-17	-0	-4.077042e-17	1.3499031	0.1	0	1.5707964
0	0.17609148	0.9801006	0	-4.009167e-17	-0	-4.091929e-17	1.3744467	0.1	0	1.5707964
0	0.15402848	0.9837205	0	-4.023789e-17	-0	-4.1064283e-17	1.3989905	0.1	0	1.5707964
0	0.13202465	0.9868384	0	-4.0383814e-17	-0	-4.120914e-17	1.4235342	0.1	0	1.5707964
0	0.109992154	0.9894724	0	-4.052546e-17	-0	-4.134988e-17	1.4480779	0.1	0	1.5707964
0	0.087992705	0.991619	0	-4.0666578e-17	-0	-4.149025e-17	1.4726216	0.1	0	1.5707964
0	0.06599822	0.993285	0	-4.080625e-17	-0	-4.1629343e-17	1.4971652	0.1	0	1.5707964
0	0.04401134	0.99447334	0	-4.094515e-17	-0	-4.1767827e-17	1.521709	0.1	0	1.5707964
0	0.02202767	0.9951858	0	-4.10836e-17	-0	-4.1906025e-17	1.5462526	0.1	0	1.5707964
0	-1.5435649e-09	0.9954247	0	-4.1219654e-17	-0	-4.2042e-17	1.5707964	0.1	0	1.5707964
