# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	E_custom (J)	Angle_bias (rad)	Field_bias (T)	Field_ext (T)	Angle_ext (rad)
0	0.49922493	0.86469686	0	-3.6992427e-17	-2.5611236e-19	-3.75955e-17	1.0062914	0.1	0.01	1.1780972
0	0.47876972	0.8759621	0	-3.7333242e-17	-2.567798e-19	-3.7933375e-17	1.030835	0.1	0.01	1.1780972
0	0.45838326	0.8865784	0	-3.7665944e-17	-2.5729898e-19	-3.826326e-17	1.0553788	0.1	0.01	1.1780972
0	0.43805665	0.89658004	0	-3.7990884e-17	-2.5767705e-19	-3.8585524e-17	1.0799224	0.1	0.01	1.1780972
0	0.41762134	0.90606815	0	-3.8300653e-17	-2.5792174e-19	-3.889275e-17	1.1044662	0.1	0.01	1.1780972
0	0.3972556	0.91497815	0	-3.8604384e-17	-2.5803511e-19	-3.9194094e-17	1.1290098	0.1	0.01	1.1780972
0	0.3769727	0.9233271	0	-3.8903376e-17	-2.5802255e-19	-3.9490886e-17	1.1535536	0.1	0.01	1.1780972
0	0.35662794	0.9311909	0	-3.9191146e-17	-2.5788793e-19	-3.977663e-17	1.1780972	0.1	0.01	1.1780972
0	0.33625826	0.9385646	0	-3.947e-17	-2.5763365e-19	-4.0053644e-17	1.2026409	0.1	0.01	1.1780972
0	0.3160005	0.9454153	0	-3.974727e-17	-2.5726545e-19	-4.0329273e-17	1.2271847	0.1	0.01	1.1780972
0	0.29571095	0.9518042	0	-4.0016338e-17	-2.5678377e-19	-4.0596903e-17	1.2517283	0.1	0.01	1.1780972
0	0.27538908	0.95773953	0	-4.0277638e-17	-2.5619042e-19	-4.0856962e-17	1.276272	0.1	0.01	1.1780972
0	0.25511193	0.9632079	0	-4.0535526e-17	-2.5548993e-19	-4.111384e-17	1.3008157	0.1	0.01	1.1780972
0	0.23482601	0.9682328	0	-4.0787783e-17	-2.5468255e-19	-4.13653e-17	1.3253593	0.1	0.01	1.1780972
0	0.21455477	0.97281563	0	-4.1036053e-17	-2.5377097e-19	-4.1612988e-17	1.3499031	0.1	0.01	1.1780972
0	0.1942928	0.9769644	0	-4.1280518e-17	-2.5275654e-19	-4.1857103e-17	1.3744467	0.1	0.01	1.1780972
0	0.1740235	0.9806882	0	-4.1520774e-17	-2.516398e-19	-4.209723e-17	1.3989905	0.1	0.01	1.1780972
0	0.1536481	0.9840062	0	-4.175215e-17	-2.5041557e-19	-4.232871e-17	1.4235342	0.1	0.01	1.1780972
0	0.13339144	0.9868866	0	-4.1986682e-17	-2.490985e-19	-4.2563578e-17	1.4480779	0.1	0.01	1.1780972
0	0.11311786	0.9893553	0	-4.2217803e-17	-2.476813e-19	-4.2795264e-17	1.4726216	0.1	0.01	1.1780972
0	0.09288132	0.9914095	0	-4.2448735e-17	-2.4616872e-19	-4.3026994e-17	1.4971652	0.1	0.01	1.1780972
