# t (s)	mx ()	my ()	mz ()	E_total (J)	Angle (rad)
0	0.41759455	0.90863365	0	9.728271e-19	1.14
0	0.4084874	0.912764	0	9.72632e-19	1.15
0	0.39933953	0.91680306	0	9.724363e-19	1.16
0	0.39015165	0.92075056	0	9.722402e-19	1.17
0	0.38092482	0.9246061	0	9.720437e-19	1.18
0	0.3716599	0.9283689	0	9.718474e-19	1.19
0	0.3623578	0.9320391	0	9.716513e-19	1.2
0	0.3530194	0.9356161	0	9.714559e-19	1.21
0	0.34364572	0.9390993	0	9.712616e-19	1.22
0	0.33423775	0.94248885	0	9.710687e-19	1.23
0	0.3247963	0.945784	0	9.708771e-19	1.24
0	0.31532237	0.9489846	0	9.706875e-19	1.25
0	0.30581695	0.95209044	0	9.705005e-19	1.26
0	0.2962809	0.95510095	0	9.703158e-19	1.27
0	0.2867152	0.95801586	0	9.701338e-19	1.28
0	0.2771209	0.9608351	0	9.699551e-19	1.29
0	0.26749882	0.9635582	0	9.697795e-19	1.3
0	0.25785005	0.96618503	0	9.696079e-19	1.31
0	0.24817547	0.9687152	0	9.694403e-19	1.32
0	0.23847605	0.9711484	0	9.692764e-19	1.33
0	0.2287528	0.9734845	0	9.691175e-19	1.34
0	0.2190067	0.9757233	0	9.689632e-19	1.35
0	0.20923866	0.97786456	0	9.688138e-19	1.36
0	0.19944972	0.9799081	0	9.686696e-19	1.37
0	0.18964085	0.9818536	0	9.685312e-19	1.38
0	0.17981297	0.9837008	0	9.683981e-19	1.39
0	0.16996713	0.98544973	0	9.682712e-19	1.4
0	0.1601043	0.9871001	0	9.681502e-19	1.41
0	0.15022548	0.98865175	0	9.680354e-19	1.42
0	0.14033161	0.9901045	0	9.679272e-19	1.43
0	0.13042371	0.99145836	0	9.678258e-19	1.44
0	0.12050276	0.992713	0	9.677309e-19	1.45
0	0.110569775	0.99386835	0	9.676431e-19	1.46
0	0.10062573	0.9949244	0	9.675626e-19	1.47
0	0.09067162	0.9958809	0	9.674892e-19	1.48
0	0.08070846	0.9967378	0	9.67423e-19	1.49
0	0.0707372	0.997495	0	9.673643e-19	1.5
0	0.060758878	0.99815255	0	9.673132e-19	1.51
0	0.050774485	0.99871016	0	9.672696e-19	1.52
0	0.04078501	0.9991679	0	9.672338e-19	1.53
0	0.03079146	0.9995259	0	9.672057e-19	1.54
0	0.02079483	0.99978375	0	9.671856e-19	1.55
0	0.010796118	0.99994177	0	9.671732e-19	1.56
0	0.00079632667	0.99999964	0	9.671686e-19	1.57
0	-0.009203544	0.99995774	0	9.671722e-19	1.58
0	-0.019202493	0.99981564	0	9.67183e-19	1.59
0	-0.029199526	0.9995737	0	9.672022e-19	1.6
0	-0.039193634	0.9992317	0	9.672288e-19	1.61
0	-0.049183827	0.9987896	0	9.672634e-19	1.62
0	-0.059169095	0.998248	0	9.673057e-19	1.63
0	-0.06914845	0.99760646	0	9.673556e-19	1.64
0	-0.07912089	0.99686503	0	9.67413e-19	1.65
0	-0.08908542	0.99602395	0	9.67478e-19	1.66
0	-0.09904104	0.99508333	0	9.675504e-19	1.67
0	-0.10898676	0.99404323	0	9.676298e-19	1.68
0	-0.11892157	0.9929036	0	9.677166e-19	1.69
0	-0.1288445	0.99166477	0	9.678102e-19	1.7
0	-0.13875453	0.9903268	0	9.679106e-19	1.71
0	-0.1486507	0.98888975	0	9.680177e-19	1.72
0	-0.15853196	0.9873539	0	9.681315e-19	1.73
0	-0.16839746	0.9857192	0	9.682515e-19	1.74
0	-0.17824605	0.98398596	0	9.683776e-19	1.75
0	-0.18807684	0.9821543	0	9.685096e-19	1.76
0	-0.19788882	0.9802245	0	9.686473e-19	1.77
0	-0.207681	0.9781966	0	9.687905e-19	1.78
0	-0.21745244	0.9760709	0	9.689391e-19	1.79
0	-0.22720207	0.9738476	0	9.690926e-19	1.8
0	-0.23692904	0.9715269	0	9.69251e-19	1.81
0	-0.24663232	0.9691092	0	9.694138e-19	1.82
0	-0.2563109	0.96659434	0	9.695808e-19	1.83
0	-0.26596388	0.96398294	0	9.697519e-19	1.84
0	-0.27559024	0.9612753	0	9.699268e-19	1.85
0	-0.28518906	0.9584713	0	9.70105e-19	1.86
0	-0.29475936	0.9555716	0	9.702865e-19	1.87
0	-0.30430016	0.9525762	0	9.704708e-19	1.88
0	-0.3138106	0.9494857	0	9.706578e-19	1.89
0	-0.3232895	0.94630027	0	9.708468e-19	1.9
0	-0.33273625	0.94302	0	9.71038e-19	1.91
0	-0.34214967	0.9396455	0	9.712306e-19	1.92
0	-0.35152882	0.93617713	0	9.714251e-19	1.93
0	-0.3608729	0.9326151	0	9.716201e-19	1.94
0	-0.37018088	0.9289598	0	9.718161e-19	1.95
0	-0.37945175	0.92521155	0	9.720125e-19	1.96
0	-0.38868478	0.92137086	0	9.72209e-19	1.97
0	-0.3978789	0.9174379	0	9.724052e-19	1.98
0	-0.40703318	0.91341335	0	9.726009e-19	1.99
0	-0.41614693	0.9092975	0	9.72796e-19	2
0	-0.42521888	0.90509063	0	9.729898e-19	2.01
0	-0.43424833	0.9007932	0	9.73182e-19	2.02
0	-0.4432344	0.89640576	0	9.733726e-19	2.03
0	-0.45217618	0.8919287	0	9.735611e-19	2.04
0	-0.46107268	0.88736236	0	9.737472e-19	2.05
0	-0.4699231	0.8827074	0	9.739306e-19	2.06
0	-0.47872657	0.8779641	0	9.741113e-19	2.07
0	-0.48748207	0.873133	0	9.742885e-19	2.08
0	-0.4961889	0.86821455	0	9.744622e-19	2.09
0	-0.5048461	0.86320937	0	9.746322e-19	2.1
0	-0.5134528	0.85811776	0	9.747979e-19	2.11
0	-0.5220082	0.8529405	0	9.749595e-19	2.12
0	-0.5305113	0.8476779	0	9.751164e-19	2.13
0	-0.53896147	0.84233046	0	9.752685e-19	2.14
0	-0.5473577	0.8368988	0	9.754154e-19	2.15
0	-0.55569917	0.83138347	0	9.755571e-19	2.16
0	-0.5639851	0.82578504	0	9.756932e-19	2.17
0	-0.5722146	0.82010406	0	9.758234e-19	2.18
0	-0.5803869	0.81434095	0	9.759475e-19	2.19
0	-0.5885011	0.80849636	0	9.760655e-19	2.2
0	-0.59655654	0.802571	0	9.761773e-19	2.21
0	-0.6045522	0.79656553	0	9.762825e-19	2.22
0	-0.6124877	0.7904804	0	9.763812e-19	2.23
0	-0.6203616	0.7843159	0	9.764727e-19	2.24
0	-0.62817377	0.7780732	0	9.76557e-19	2.25
0	-0.63592285	0.7717527	0	9.766348e-19	2.26
0	-0.6436085	0.76535505	0	9.767047e-19	2.27
0	-0.6512298	0.75888073	0	9.767673e-19	2.28
0	-0.6587857	0.75233066	0	9.768227e-19	2.29
0	-0.6662761	0.7457052	0	9.7687e-19	2.3
0	-0.6736997	0.7390052	0	9.7691e-19	2.31
0	-0.6810559	0.7322314	0	9.769423e-19	2.32
0	-0.68834394	0.72538435	0	9.769668e-19	2.33
0	-0.6955634	0.7184648	0	9.769832e-19	2.34
0	-0.70271313	0.7114734	0	9.769923e-19	2.35
0	-0.7097926	0.7044108	0	9.769933e-19	2.36
0	-0.71680105	0.6972778	0	9.769864e-19	2.37
0	-0.72373784	0.6900751	0	9.769713e-19	2.38
0	-0.73060244	0.68280333	0	9.769489e-19	2.39
0	-0.7373936	0.67546326	0	9.769187e-19	2.4
0	-0.7441113	0.6680556	0	9.768805e-19	2.41
0	-0.7507547	0.66058123	0	9.768347e-19	2.42
0	-0.7573228	0.65304077	0	9.767812e-19	2.43
0	-0.76381516	0.6454349	0	9.767201e-19	2.44
0	-0.77023137	0.63776475	0	9.766521e-19	2.45
0	-0.7765704	0.63003075	0	9.765765e-19	2.46
0	-0.7828316	0.62223357	0	9.764934e-19	2.47
0	-0.78901476	0.6143742	0	9.764038e-19	2.48
0	-0.7951189	0.60645354	0	9.763067e-19	2.49
