# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-Msat (kA/m)
0	-0.45812938	0.7104711	0	-1.1091571e-17	-1.2927067e-17	1.5707964	4.712389	1.5707964	-0.4087871	0.90685755	0	-0.9663143	0.2246278	0	0.00071337156	0.9999279	0	0.66	100	2e-09	-100	400
0	-0.4418817	0.61084026	0	-1.1171109e-17	-1.2926908e-17	3.1415927	0	1.5707964	-0.98744875	-0.1033487	0	-0.33552563	0.93595386	0	-0.0026707298	0.99991554	0	0.66	100	2e-09	-100	400
0	-0.44189242	0.6108471	0	-1.1171108e-17	-1.29269065e-17	3.1415927	1.5707964	1.5707964	-0.9874519	-0.103318	0	-0.33555493	0.93594366	0	-0.0026706583	0.9999156	0	0.66	100	2e-09	-100	400
0	-0.6452875	0.4259844	0	-1.117896e-17	-1.2927054e-17	3.1415927	3.1415927	1.5707964	-0.9923563	-0.02716621	0	-0.94423896	0.30519256	0	0.0007325883	0.9999269	0	0.66	100	2e-09	-100	400
0	-0.64529324	0.42597106	0	-1.117896e-17	-1.2927054e-17	3.1415927	4.712389	1.5707964	-0.99235666	-0.02715585	0	-0.9442559	0.30514207	0	0.00073278934	0.99992687	0	0.66	100	2e-09	-100	400
0	-0.053000983	0.33194816	0	-1.1176624e-17	-1.2926913e-17	4.712389	0	1.5707964	-0.052274667	-0.99158984	0	-0.10444239	0.98751837	0	-0.0022858852	0.9999159	0	0.66	100	2e-09	-100	400
0	-0.05302093	0.33194822	0	-1.1176624e-17	-1.2926913e-17	4.712389	1.5707964	1.5707964	-0.052315414	-0.9915879	0	-0.10446153	0.9875166	0	-0.002285855	0.999916	0	0.66	100	2e-09	-100	400
0	-0.0536135	0.3319452	0	-1.11766246e-17	-1.2926913e-17	4.712389	3.1415927	1.5707964	-0.053433966	-0.99152976	0	-0.10512192	0.98744947	0	-0.0022846304	0.9999159	0	0.66	100	2e-09	-100	400
0	-0.053534396	0.33194554	0	-1.1176622e-17	-1.2926915e-17	4.712389	4.712389	1.5707964	-0.053283416	-0.99153763	0	-0.105035	0.9874584	0	-0.0022847862	0.99991584	0	0.66	100	2e-09	-100	400
0	0.35335004	0.6220807	0	-1.4269628e-17	-1.6157868e-17	0	0	1.5707964	0.9852842	-0.12237883	0	0.07753535	0.9887529	0	-0.002769387	0.9998681	0	0.66	100	2e-09	-100	500
