# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var1-d (nm)	var2-s (nm)
0	-0.020293051	0.33038905	0	-2.3453715e-17	-2.5847222e-17	1.5707964	4.712389	1.5707964	-0.16627932	0.97835404	0	0.110252135	-0.9868476	0	-0.004851965	0.99966055	0	0.66	100	2e-09	-100	-90
0	0.3020696	0.063383445	0	-2.3228856e-17	-2.5847009e-17	3.1415927	0	1.5707964	-0.07500492	-0.98710144	0	0.9770106	0.17759946	0	0.0042031603	0.99965227	0	0.66	100	2e-09	-100	-90
0	-0.35364655	0.75136536	0	-2.3415614e-17	-2.5847619e-17	3.1415927	1.5707964	1.5707964	-0.9571075	0.26718366	0	-0.10571423	0.9872368	0	0.0018819547	0.9996758	0	0.66	100	2e-09	-100	-90
0	-0.6472742	0.44219708	0	-2.343905e-17	-2.5847387e-17	3.1415927	3.1415927	1.5707964	-0.9494514	0.29431388	0	-0.99199355	0.032610312	0	-0.00037766396	0.99966687	0	0.66	100	2e-09	-100	-90
0	-0.020314578	0.33038613	0	-2.3453715e-17	-2.5847224e-17	3.1415927	4.712389	1.5707964	-0.16631098	0.978349	0	0.11021918	-0.98685116	0	-0.0048519303	0.9996606	0	0.66	100	2e-09	-100	-90
0	0.30240557	0.06332866	0	-2.3228856e-17	-2.5847012e-17	4.712389	0	1.5707964	-0.0740116	-0.9871808	0	0.9770257	0.17751442	0	0.0042026537	0.9996524	0	0.66	100	2e-09	-100	-90
0	-0.35366777	0.75137466	0	-2.3415617e-17	-2.5847616e-17	4.712389	1.5707964	1.5707964	-0.9570978	0.267219	0	-0.105787285	0.98722917	0	0.001881769	0.9996758	0	0.66	100	2e-09	-100	-90
0	-0.64727134	0.4422205	0	-2.3439048e-17	-2.5847387e-17	4.712389	3.1415927	1.5707964	-0.94944423	0.29433775	0	-0.9919922	0.032656893	0	-0.00037766772	0.99966687	0	0.66	100	2e-09	-100	-90
0	-0.029232446	0.98639745	0	-2.3427442e-17	-2.5848013e-17	4.712389	4.712389	1.5707964	-0.19830257	0.9729475	0	0.11180796	0.9865536	0	-0.0012027266	0.9996911	0	0.66	100	2e-09	-100	-90
0	0.6440179	0.45514318	0	-2.3382396e-17	-2.5848092e-17	0	0	1.5707964	0.9414129	0.3168769	0	0.991758	0.048858568	0	-0.0011171454	0.9996942	0	0.66	100	2e-09	-100	-80
0	0.6440215	0.45513237	0	-2.3382396e-17	-2.5848092e-17	0	1.5707964	1.5707964	0.9414235	0.31684428	0	0.9917579	0.04885852	0	-0.0011170479	0.9996942	0	0.66	100	2e-09	-100	-80
0	-0.6536816	0.42829597	0	-2.3420195e-17	-2.5847568e-17	0	3.1415927	1.5707964	-0.9711107	0.21054727	0	-0.9896579	0.07466686	0	-0.00027612795	0.9996739	0	0.66	100	2e-09	-100	-80
0	-0.653687	0.42827976	0	-2.3420195e-17	-2.5847568e-17	0	4.712389	1.5707964	-0.97113144	0.21044853	0	-0.98965424	0.074716926	0	-0.00027569442	0.99967384	0	0.66	100	2e-09	-100	-80
0	0.33426428	0.6607659	0	-2.3450628e-17	-2.584799e-17	1.5707964	0	1.5707964	0.012674799	0.99203074	0	0.9929536	-0.0094232205	0	-0.002835648	0.99969023	0	0.66	100	2e-09	-100	-80
0	-0.021949252	0.9854266	0	-2.3404584e-17	-2.584826e-17	1.5707964	1.5707964	1.5707964	-0.20004678	0.97280324	0	0.13500094	0.983776	0	-0.00080192444	0.99970067	0	0.66	100	2e-09	-100	-80
0	-0.6536868	0.42838365	0	-2.3420195e-17	-2.5847564e-17	1.5707964	3.1415927	1.5707964	-0.97116774	0.21027645	0	-0.9896187	0.075200774	0	-0.00027408387	0.9996739	0	0.66	100	2e-09	-100	-80
0	-0.010049543	0.33179173	0	-2.3409994e-17	-2.5847326e-17	1.5707964	4.712389	1.5707964	-0.1660193	0.97868854	0	0.14091821	-0.9829779	0	-0.005047532	0.9996646	0	0.66	100	2e-09	-100	-80
0	0.3342573	0.66074175	0	-2.3450632e-17	-2.584799e-17	3.1415927	0	1.5707964	0.012654672	0.99203116	0	0.99295294	-0.009496029	0	-0.0028357918	0.9996901	0	0.66	100	2e-09	-100	-80
0	-0.35384345	0.7184933	0	-2.3414138e-17	-2.5847784e-17	3.1415927	1.5707964	1.5707964	-0.97945434	0.16656515	0	-0.084220774	0.9892326	0	0.0021446934	0.99968237	0	0.66	100	2e-09	-100	-80
0	-0.6537013	0.4282437	0	-2.3420196e-17	-2.5847568e-17	3.1415927	3.1415927	1.5707964	-0.9711866	0.21018517	0	-0.9896429	0.07487212	0	-0.0002744919	0.99967384	0	0.66	100	2e-09	-100	-80
0	-0.31612334	0.15079096	0	-2.3372873e-17	-2.5847217e-17	3.1415927	4.712389	1.5707964	-0.8888529	0.44367015	0	-0.0564426	-0.99095756	0	-0.0030744956	0.9996603	0	0.66	100	2e-09	-100	-80
0	0.31874642	0.07166835	0	-2.3269128e-17	-2.5847088e-17	4.712389	0	1.5707964	-0.01914784	-0.990988	0	0.97146165	0.20633775	0	0.0039253714	0.99965537	0	0.66	100	2e-09	-100	-80
0	-0.3538999	0.71846724	0	-2.3414138e-17	-2.5847788e-17	4.712389	1.5707964	1.5707964	-0.9794651	0.16650014	0	-0.084379375	0.9892193	0	0.002144817	0.99968237	0	0.66	100	2e-09	-100	-80
0	-0.6536857	0.42839277	0	-2.3420196e-17	-2.5847564e-17	4.712389	3.1415927	1.5707964	-0.9711655	0.21028677	0	-0.9896175	0.07521779	0	-0.00027408166	0.99967384	0	0.66	100	2e-09	-100	-80
0	-0.3160992	0.1508214	0	-2.3372873e-17	-2.5847219e-17	4.712389	4.712389	1.5707964	-0.88880634	0.443763	0	-0.05641633	-0.9909591	0	-0.0030748527	0.9996603	0	0.66	100	2e-09	-100	-80
0	0.6527925	0.4337305	0	-2.3388997e-17	-2.5847928e-17	0	0	1.5707964	0.9697461	0.2119926	0	0.9890547	0.08951108	0	-0.0004233156	0.99968785	0	0.66	100	2e-09	-100	-70
0	0.6527918	0.43373668	0	-2.3388997e-17	-2.5847932e-17	0	1.5707964	1.5707964	0.9697454	0.21199603	0	0.9890533	0.089526035	0	-0.00042328855	0.99968773	0	0.66	100	2e-09	-100	-70
0	-0.65552074	0.42508212	0	-2.340409e-17	-2.5847732e-17	0	3.1415927	1.5707964	-0.98225635	0.1480901	0	-0.98423713	0.12747613	0	-6.870311e-05	0.9996801	0	0.66	100	2e-09	-100	-70
0	0.6527508	0.43389842	0	-2.3388998e-17	-2.5847928e-17	0	4.712389	1.5707964	0.96961105	0.21263315	0	0.9890666	0.08937428	0	-0.00042542134	0.99968785	0	0.66	100	2e-09	-100	-70
0	0.34003687	0.674362	0	-2.3431992e-17	-2.5848003e-17	1.5707964	0	1.5707964	0.030153586	0.991992	0	0.99259526	0.031403296	0	-0.0026381183	0.9996908	0	0.66	100	2e-09	-100	-70
0	-0.009086	0.98500127	0	-2.339294e-17	-2.5848373e-17	1.5707964	1.5707964	1.5707964	-0.18779434	0.97529066	0	0.1608501	0.98000795	0	-0.0003137728	0.999705	0	0.66	100	2e-09	-100	-70
0	-0.34838173	0.69543296	0	-2.341871e-17	-2.5847915e-17	1.5707964	3.1415927	1.5707964	-0.988665	0.095665954	0	-0.058851063	0.9909456	0	0.0023708737	0.9996874	0	0.66	100	2e-09	-100	-70
0	0.008727253	0.33492413	0	-2.3370486e-17	-2.5847316e-17	1.5707964	4.712389	1.5707964	-0.15207975	0.98113227	0	0.18343346	-0.97602415	0	-0.0051719383	0.99966425	0	0.66	100	2e-09	-100	-70
0	0.010520289	0.4761495	0	-2.3358224e-17	-2.5847755e-17	3.1415927	0	1.5707964	-0.9510371	0.2858223	0	0.9827441	0.14294517	0	-0.00014630087	0.99968106	0	0.66	100	2e-09	-100	-70
0	-0.34834117	0.6954328	0	-2.341871e-17	-2.5847915e-17	3.1415927	1.5707964	1.5707964	-0.98866576	0.09565827	0	-0.058728766	0.99095273	0	0.0023709356	0.99968725	0	0.66	100	2e-09	-100	-70
0	-0.655521	0.4250803	0	-2.3404086e-17	-2.5847732e-17	3.1415927	3.1415927	1.5707964	-0.98225695	0.1480859	0	-0.9842373	0.12747493	0	-6.869408e-05	0.9996801	0	0.66	100	2e-09	-100	-70
0	-0.33071363	0.109364524	0	-2.334273e-17	-2.5847212e-17	3.1415927	4.712389	1.5707964	-0.9407532	0.3195645	0	-0.048174486	-0.991131	0	-0.0032132177	0.9996601	0	0.66	100	2e-09	-100	-70
0	0.32754	0.084863104	0	-2.3304608e-17	-2.5847152e-17	4.712389	0	1.5707964	0.016816936	-0.9916805	0	0.962194	0.2466117	0	0.0036091462	0.99965805	0	0.66	100	2e-09	-100	-70
0	-0.045085486	0.34220338	0	-2.3325807e-17	-2.5847227e-17	4.712389	1.5707964	1.5707964	-0.25947663	-0.9588381	0	0.11898649	0.98578763	0	0.0052336846	0.99966073	0	0.66	100	2e-09	-100	-70
0	-0.6555041	0.42521837	0	-2.340409e-17	-2.5847732e-17	4.712389	3.1415927	1.5707964	-0.9822766	0.14795238	0	-0.9841687	0.12802254	0	-6.696224e-05	0.9996801	0	0.66	100	2e-09	-100	-70
0	-0.33070913	0.10936923	0	-2.334273e-17	-2.5847212e-17	4.712389	4.712389	1.5707964	-0.94074833	0.31957904	0	-0.04816576	-0.9911314	0	-0.003213261	0.9996601	0	0.66	100	2e-09	-100	-70
0	0.6554551	0.42555755	0	-2.3401198e-17	-2.5847765e-17	0	0	1.5707964	0.98258907	0.13968134	0	0.9837687	0.13730994	0	7.473006e-06	0.99968135	0	0.66	100	2e-09	-100	-60
0	0.6554546	0.42556137	0	-2.3401198e-17	-2.5847761e-17	0	1.5707964	1.5707964	0.9825884	0.13968663	0	0.983768	0.13731618	0	7.477543e-06	0.99968135	0	0.66	100	2e-09	-100	-60
0	0.6554525	0.4255767	0	-2.3401194e-17	-2.5847761e-17	0	3.1415927	1.5707964	0.98258525	0.13970861	0	0.98376465	0.1373401	0	7.4900095e-06	0.99968135	0	0.66	100	2e-09	-100	-60
0	0.6554349	0.4256991	0	-2.3401194e-17	-2.5847761e-17	0	4.712389	1.5707964	0.9825102	0.14025551	0	0.983789	0.13716047	0	5.6092636e-06	0.99968135	0	0.66	100	2e-09	-100	-60
0	0.34698537	0.69150627	0	-2.342031e-17	-2.5847937e-17	1.5707964	0	1.5707964	0.053654548	0.99120915	0	0.98971754	0.08362155	0	-0.0024160016	0.9996881	0	0.66	100	2e-09	-100	-60
0	0.006109173	0.98496693	0	-2.339189e-17	-2.5848383e-17	1.5707964	1.5707964	1.5707964	-0.1658901	0.97918904	0	0.18400759	0.9760064	0	0.00021001753	0.9997054	0	0.66	100	2e-09	-100	-60
0	-0.6536716	0.4312831	0	-2.339108e-17	-2.5847895e-17	1.5707964	3.1415927	1.5707964	-0.9882481	0.09837309	0	-0.97308606	0.1957896	0	0.0003192234	0.9996866	0	0.66	100	2e-09	-100	-60
0	0.03759931	0.34056827	0	-2.3333136e-17	-2.5847245e-17	1.5707964	4.712389	1.5707964	-0.12575606	0.98493934	0	0.24378446	-0.96289575	0	-0.005230477	0.99966145	0	0.66	100	2e-09	-100	-60
0	-0.0065493453	0.47254345	0	-2.3357663e-17	-2.5847755e-17	3.1415927	0	1.5707964	-0.97960925	0.16316451	0	0.95987684	0.25478473	0	8.4369305e-05	0.999681	0	0.66	100	2e-09	-100	-60
0	-0.34139162	0.67748624	0	-2.342914e-17	-2.5847995e-17	3.1415927	1.5707964	1.5707964	-0.9922757	0.04086733	0	-0.034493957	0.991901	0	0.0025947406	0.9996904	0	0.66	100	2e-09	-100	-60
0	-0.6536724	0.43127522	0	-2.3391081e-17	-2.5847895e-17	3.1415927	3.1415927	1.5707964	-0.98825026	0.0983503	0	-0.97308624	0.19578876	0	0.0003192786	0.99968654	0	0.66	100	2e-09	-100	-60
0	-0.32873112	0.088140965	0	-2.331125e-17	-2.584717e-17	3.1415927	4.712389	1.5707964	-0.9596674	0.2564178	0	-0.022984026	-0.9916534	0	-0.0035421005	0.99965835	0	0.66	100	2e-09	-100	-60
0	0.33094007	0.10433461	0	-2.333663e-17	-2.5847207e-17	4.712389	0	1.5707964	0.043887563	-0.9912649	0	0.9456569	0.30460882	0	0.003275677	0.9996599	0	0.66	100	2e-09	-100	-60
0	-0.013601401	0.33580902	0	-2.3362893e-17	-2.5847306e-17	4.712389	1.5707964	1.5707964	-0.193764	-0.9740513	0	0.14777087	0.98181486	0	0.005188923	0.9996637	0	0.66	100	2e-09	-100	-60
0	-0.65363646	0.43143308	0	-2.339108e-17	-2.5847897e-17	4.712389	3.1415927	1.5707964	-0.98826396	0.09820882	0	-0.97296673	0.1964039	0	0.00032130769	0.99968654	0	0.66	100	2e-09	-100	-60
0	0.04842573	-0.3034919	0	-2.316976e-17	-2.5847091e-17	4.712389	4.712389	1.5707964	-0.1853751	-0.97441125	0	0.33080918	-0.9357199	0	-0.00015687871	0.9996555	0	0.66	100	2e-09	-100	-60
