# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	a1 (rad)	a2 (rad)	a3 (rad)	m.region1x ()	m.region1y ()	m.region1z ()	m.region2x ()	m.region2y ()	m.region2z ()	m.region3x ()	m.region3y ()	m.region3z ()	roundness ()	size (m)	Cell_size (m)	var2-s (nm)	var1-d (nm)
0	-0.092537634	0.98819834	0	-2.3473811e-17	-2.5846979e-17	1.5707964	4.712389	1.5707964	-0.113463335	0.9861647	0	-0.16113095	0.9787793	0	-0.0030186214	0.9996511	0	0.66	100	2e-09	20	-102
0	-0.55730134	0.54063433	0	-2.3543415e-17	-2.5847004e-17	3.1415927	0	1.5707964	-0.9906495	-0.064938664	0	-0.6800055	0.6871898	0	-0.001248957	0.9996521	0	0.66	100	2e-09	20	-102
0	-0.44186443	0.6119675	0	-2.354528e-17	-2.5846987e-17	3.1415927	1.5707964	1.5707964	-0.98785627	-0.09952398	0	-0.33544853	0.935775	0	-0.0022883883	0.9996514	0	0.66	100	2e-09	20	-102
0	-0.55729973	0.540636	0	-2.3543415e-17	-2.5847004e-17	3.1415927	3.1415927	1.5707964	-0.99064946	-0.06493939	0	-0.68000066	0.6871953	0	-0.0012489811	0.9996521	0	0.66	100	2e-09	20	-102
0	-0.5573007	0.5406367	0	-2.3543415e-17	-2.5847002e-17	3.1415927	4.712389	1.5707964	-0.99064994	-0.06493425	0	-0.68000317	0.6871924	0	-0.0012489717	0.99965197	0	0.66	100	2e-09	20	-102
0	-0.079079874	0.33093432	0	-2.3540928e-17	-2.5847002e-17	4.712389	0	1.5707964	-0.089484155	-0.9889849	0	-0.14597513	0.982136	0	-0.0017803555	0.9996519	0	0.66	100	2e-09	20	-102
0	-0.07905699	0.33093366	0	-2.3540928e-17	-2.5847002e-17	4.712389	1.5707964	1.5707964	-0.08943377	-0.9889894	0	-0.14595684	0.9821385	0	-0.0017803753	0.9996519	0	0.66	100	2e-09	20	-102
0	-0.07930363	0.33093902	0	-2.354093e-17	-2.5847002e-17	4.712389	3.1415927	1.5707964	-0.089958474	-0.9889431	0	-0.14617233	0.98210824	0	-0.0017800997	0.9996519	0	0.66	100	2e-09	20	-102
0	-0.07931184	0.33093917	0	-2.3540928e-17	-2.5847002e-17	4.712389	4.712389	1.5707964	-0.08997558	-0.98894155	0	-0.14617985	0.9821071	0	-0.0017800898	0.9996519	0	0.66	100	2e-09	20	-102
0	0.34481174	0.6218645	0	-2.3468586e-17	-2.5847167e-17	0	0	1.5707964	0.985036	-0.12437556	0	0.05136024	0.9903106	0	-0.0019610715	0.99965835	0	0.66	100	2e-09	20	-104
0	0.34480843	0.6218643	0	-2.3468583e-17	-2.5847167e-17	0	1.5707964	1.5707964	0.98503596	-0.124376416	0	0.051350318	0.99031115	0	-0.0019610482	0.9996583	0	0.66	100	2e-09	20	-104
0	-0.074138425	0.3313892	0	-2.3520853e-17	-2.5847133e-17	0	3.1415927	1.5707964	-0.08606915	-0.98928183	0	-0.13485356	0.98379225	0	-0.0014925549	0.99965703	0	0.66	100	2e-09	20	-104
0	0.34657758	0.049051255	0	-2.3109555e-17	-2.5847536e-17	0	4.712389	1.5707964	0.98347294	0.13589215	0	0.053292792	-0.9884111	0	0.0029670938	0.9996727	0	0.66	100	2e-09	20	-104
0	-0.08717702	0.9889982	0	-2.3454071e-17	-2.584712e-17	1.5707964	0	1.5707964	-0.10911065	0.98664045	0	-0.14969987	0.9806976	0	-0.0027205567	0.9996565	0	0.66	100	2e-09	20	-104
0	-0.08717462	0.9889985	0	-2.3454071e-17	-2.584712e-17	1.5707964	1.5707964	1.5707964	-0.10910575	0.986641	0	-0.1496975	0.98069793	0	-0.0027205604	0.9996566	0	0.66	100	2e-09	20	-104
0	-0.08751393	0.98895836	0	-2.3454071e-17	-2.584712e-17	1.5707964	3.1415927	1.5707964	-0.109825194	0.9865637	0	-0.14999652	0.980655	0	-0.0027201036	0.9996565	0	0.66	100	2e-09	20	-104
0	-0.43976712	0.612841	0	-2.3524512e-17	-2.584712e-17	1.5707964	4.712389	1.5707964	-0.9879063	-0.09901207	0	-0.32940122	0.93787855	0	-0.0019938417	0.9996566	0	0.66	100	2e-09	20	-104
0	-0.439563	0.6128111	0	-2.3524512e-17	-2.5847123e-17	3.1415927	0	1.5707964	-0.98787796	-0.09930366	0	-0.32881585	0.9380802	0	-0.0019951886	0.9996566	0	0.66	100	2e-09	20	-104
0	-0.43952277	0.6128363	0	-2.3524512e-17	-2.584712e-17	3.1415927	1.5707964	1.5707964	-0.9878812	-0.09927072	0	-0.3286916	0.93812287	0	-0.0019955395	0.9996567	0	0.66	100	2e-09	20	-104
0	-0.5586478	0.5396561	0	-2.3522611e-17	-2.5847123e-17	3.1415927	3.1415927	1.5707964	-0.9907324	-0.06363898	0	-0.6842364	0.6829506	0	-0.0009747303	0.9996567	0	0.66	100	2e-09	20	-104
0	-0.55864847	0.5396545	0	-2.352261e-17	-2.5847123e-17	3.1415927	4.712389	1.5707964	-0.9907323	-0.06364178	0	-0.6842383	0.68294847	0	-0.0009747189	0.9996566	0	0.66	100	2e-09	20	-104
0	-0.07418239	0.33139	0	-2.3520853e-17	-2.5847133e-17	4.712389	0	1.5707964	-0.086161	-0.989274	0	-0.13489366	0.983787	0	-0.0014925041	0.99965703	0	0.66	100	2e-09	20	-104
0	-0.07416936	0.33138967	0	-2.3520853e-17	-2.5847133e-17	4.712389	1.5707964	1.5707964	-0.086132765	-0.9892764	0	-0.13488281	0.9837885	0	-0.0014925157	0.99965703	0	0.66	100	2e-09	20	-104
0	-0.55860114	0.5396865	0	-2.352261e-17	-2.5847123e-17	4.712389	3.1415927	1.5707964	-0.9907285	-0.06370293	0	-0.6840995	0.6831057	0	-0.00097535504	0.9996566	0	0.66	100	2e-09	20	-104
0	-0.07444226	0.3313951	0	-2.3520853e-17	-2.5847133e-17	4.712389	4.712389	1.5707964	-0.08670376	-0.9892279	0	-0.13513081	0.98375595	0	-0.0014922052	0.99965703	0	0.66	100	2e-09	20	-104
0	0.34975845	0.62199837	0	-2.3453212e-17	-2.5847265e-17	0	0	1.5707964	0.98515826	-0.12338239	0	0.06584817	0.9897152	0	-0.0017311003	0.9996621	0	0.66	100	2e-09	20	-106
0	0.34979948	0.6221639	0	-2.3453212e-17	-2.5847263e-17	0	1.5707964	1.5707964	0.98521894	-0.12288124	0	0.06591098	0.98971075	0	-0.001731533	0.9996622	0	0.66	100	2e-09	20	-106
0	0.3497278	0.622036	0	-2.3453212e-17	-2.5847263e-17	0	3.1415927	1.5707964	0.98517096	-0.1232766	0	0.065743305	0.9897223	0	-0.0017309339	0.9996621	0	0.66	100	2e-09	20	-106
0	0.37090436	0.049432326	0	-2.3124418e-17	-2.5847723e-17	0	4.712389	1.5707964	0.98404676	0.13164224	0	0.12621157	-0.98302513	0	0.0024546885	0.9996798	0	0.66	100	2e-09	20	-106
0	-0.08228036	0.9896767	0	-2.343757e-17	-2.5847224e-17	1.5707964	0	1.5707964	-0.104974315	0.98707515	0	-0.1393901	0.9822944	0	-0.0024766743	0.9996606	0	0.66	100	2e-09	20	-106
0	-0.08231831	0.9896725	0	-2.3437574e-17	-2.5847224e-17	1.5707964	1.5707964	1.5707964	-0.1050602	0.9870662	0	-0.13941813	0.9822907	0	-0.0024766426	0.9996606	0	0.66	100	2e-09	20	-106
0	-0.08265749	0.9896341	0	-2.3437574e-17	-2.5847224e-17	1.5707964	3.1415927	1.5707964	-0.10576382	0.9869934	0	-0.13973248	0.9822486	0	-0.0024761737	0.9996606	0	0.66	100	2e-09	20	-106
0	-0.43753555	0.613645	0	-2.3507042e-17	-2.5847222e-17	1.5707964	4.712389	1.5707964	-0.9879264	-0.09880605	0	-0.32292244	0.9400808	0	-0.0017577983	0.9996604	0	0.66	100	2e-09	20	-106
