# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)
0	0.3303991	-0.46332106	0	-3.3413008e-18	-5.1169616e-18	0	4.3196898	0.66	1e-07	1.28e-07	0
0	0.3761911	-0.47691107	0	-3.3533811e-18	-5.1161613e-18	0	4.417865	0.66	1e-07	1.28e-07	0
0	0.4220998	-0.48602375	0	-3.3646188e-18	-5.1158987e-18	0	4.5160394	0.66	1e-07	1.28e-07	0
0	0.4680348	-0.49087343	0	-3.3746181e-18	-5.1160654e-18	0	4.6142144	0.66	1e-07	1.28e-07	0
0	0.5139127	-0.49158123	0	-3.383149e-18	-5.116558e-18	0	4.712389	0.66	1e-07	1.28e-07	0
0	0.5596559	-0.48818645	0	-3.3901309e-18	-5.1173074e-18	0	4.8105636	0.66	1e-07	1.28e-07	0
0	0.60517645	-0.4806597	0	-3.3956304e-18	-5.11828e-18	0	4.9087386	0.66	1e-07	1.28e-07	0
0	0.6503888	-0.46888772	0	-3.3998641e-18	-5.119456e-18	0	5.006913	0.66	1e-07	1.28e-07	0
0	0.69516706	-0.45266804	0	-3.4032117e-18	-5.1207927e-18	0	5.105088	0.66	1e-07	1.28e-07	0
0	0.7392613	-0.4317385	0	-3.406213e-18	-5.1221704e-18	0	5.203263	0.66	1e-07	1.28e-07	0
0	0.7821829	-0.40586615	0	-3.4095198e-18	-5.123345e-18	0	5.3014374	0.66	1e-07	1.28e-07	0
0	0.823085	-0.37506008	0	-3.4137746e-18	-5.1239815e-18	0	5.3996124	0.66	1e-07	1.28e-07	0
0	0.8608281	-0.33980605	0	-3.4194096e-18	-5.123826e-18	0	5.497787	0.66	1e-07	1.28e-07	0
0	0.89431	-0.30109513	0	-3.4264542e-18	-5.122926e-18	0	5.595962	0.66	1e-07	1.28e-07	0
0	0.9228716	-0.26010334	0	-3.4345056e-18	-5.121629e-18	0	5.6941366	0.66	1e-07	1.28e-07	0
0	0.9463949	-0.21779406	0	-3.4428804e-18	-5.1203406e-18	0	5.7923117	0.66	1e-07	1.28e-07	0
0	0.96509475	-0.1747813	0	-3.4508255e-18	-5.1193166e-18	0	5.8904862	0.66	1e-07	1.28e-07	0
0	0.9792882	-0.13136733	0	-3.4576758e-18	-5.118624e-18	0	5.988661	0.66	1e-07	1.28e-07	0
0	0.989245	-0.08770794	0	-3.4629155e-18	-5.1182177e-18	0	6.086836	0.66	1e-07	1.28e-07	0
0	0.99515104	-0.04389342	0	-3.4661949e-18	-5.118019e-18	0	6.1850104	0.66	1e-07	1.28e-07	0
0	0.997109	1.959029e-09	0	-3.4673095e-18	-5.117961e-18	0	6.2831855	0.66	1e-07	1.28e-07	0
0	0.99515104	0.043893486	0	-3.4661949e-18	-5.1180196e-18	0.09817477	0	0.66	1e-07	1.28e-07	0
0	0.9932955	0.08780207	0	-3.464782e-18	-5.11801e-18	0.09817477	0.09817477	0.66	1e-07	1.28e-07	0
0	0.98748994	0.1316467	0	-3.461208e-18	-5.118146e-18	0.09817477	0.19634955	0.66	1e-07	1.28e-07	0
0	0.9776311	0.17535263	0	-3.4556763e-18	-5.118494e-18	0.09817477	0.2945243	0.66	1e-07	1.28e-07	0
0	0.96353287	0.21883036	0	-3.448539e-18	-5.119138e-18	0.09817477	0.3926991	0.66	1e-07	1.28e-07	0
0	0.9449221	0.26193002	0	-3.4403116e-18	-5.120127e-18	0.09817477	0.49087384	0.66	1e-07	1.28e-07	0
0	0.92148316	0.3043412	0	-3.4316642e-18	-5.121394e-18	0.09817477	0.5890486	0.66	1e-07	1.28e-07	0
0	0.89299047	0.3454668	0	-3.4233507e-18	-5.1226865e-18	0.09817477	0.6872234	0.66	1e-07	1.28e-07	0
0	0.8595565	0.38433647	0	-3.4160638e-18	-5.1235948e-18	0.09817477	0.7853982	0.66	1e-07	1.28e-07	0
0	0.8218357	0.41976863	0	-3.4102142e-18	-5.1237627e-18	0.09817477	0.88357294	0.66	1e-07	1.28e-07	0
0	0.78093076	0.45075786	0	-3.4057766e-18	-5.123135e-18	0.09817477	0.9817477	0.66	1e-07	1.28e-07	0
0	0.73799056	0.4768098	0	-3.4023217e-18	-5.121963e-18	0.09817477	1.0799224	0.66	1e-07	1.28e-07	0
0	0.6938644	0.49790773	0	-3.3992053e-18	-5.1205847e-18	0.09817477	1.1780972	0.66	1e-07	1.28e-07	0
0	0.64904845	0.5142869	0	-3.3957741e-18	-5.1192504e-18	0.09817477	1.276272	0.66	1e-07	1.28e-07	0
0	0.60379183	0.5262093	0	-3.391484e-18	-5.118079e-18	0.09817477	1.3744467	0.66	1e-07	1.28e-07	0
0	0.55822253	0.5338767	0	-3.385957e-18	-5.117119e-18	0.09817477	1.4726216	0.66	1e-07	1.28e-07	0
0	0.51242626	0.5374044	0	-3.3789726e-18	-5.1163888e-18	0.09817477	1.5707964	0.66	1e-07	1.28e-07	0
0	0.46648598	0.5368234	0	-3.3704655e-18	-5.1159227e-18	0.09817477	1.6689711	0.66	1e-07	1.28e-07	0
0	0.4204873	0.53209054	0	-3.3605166e-18	-5.1157887e-18	0.09817477	1.7671459	0.66	1e-07	1.28e-07	0
0	0.37450844	0.5230864	0	-3.3493567e-18	-5.1160893e-18	0.09817477	1.8653207	0.66	1e-07	1.28e-07	0
0	0.32864052	0.50959456	0	-3.3373849e-18	-5.1169347e-18	0.09817477	1.9634954	0.66	1e-07	1.28e-07	0
0	0.28303158	0.49129352	0	-3.3251848e-18	-5.1183777e-18	0.09817477	2.06167	0.66	1e-07	1.28e-07	0
0	0.23799479	0.4677897	0	-3.3135288e-18	-5.1203175e-18	0.09817477	2.1598449	0.66	1e-07	1.28e-07	0
0	0.19419084	0.4387662	0	-3.3033106e-18	-5.12238e-18	0.09817477	2.2580197	0.66	1e-07	1.28e-07	0
0	0.15275699	0.4042941	0	-3.2953713e-18	-5.1239525e-18	0.09817477	2.3561945	0.66	1e-07	1.28e-07	0
0	0.11514542	0.36512753	0	-3.2902176e-18	-5.1244956e-18	0.09817477	2.4543693	0.66	1e-07	1.28e-07	0
0	0.082586825	0.32260033	0	-3.287811e-18	-5.1239447e-18	0.09817477	2.552544	0.66	1e-07	1.28e-07	0
0	0.055634648	0.27806666	0	-3.2876095e-18	-5.122708e-18	0.09817477	2.6507187	0.66	1e-07	1.28e-07	0
0	0.03422632	0.23248619	0	-3.2888234e-18	-5.1213055e-18	0.09817477	2.7488935	0.66	1e-07	1.28e-07	0
0	0.018030012	0.18637262	0	-3.290673e-18	-5.120089e-18	0.09817477	2.8470683	0.66	1e-07	1.28e-07	0
0	0.006703568	0.13996057	0	-3.292527e-18	-5.119211e-18	0.09817477	2.9452431	0.66	1e-07	1.28e-07	0
0	-2.0066402e-09	0.09337036	0	-3.2939502e-18	-5.1187053e-18	0.09817477	3.043418	0.66	1e-07	1.28e-07	0
0	-0.0022198511	0.046688713	0	-3.2946893e-18	-5.1185585e-18	0.09817477	3.1415927	0.66	1e-07	1.28e-07	0
0	1.4864002e-10	-2.2760502e-10	0	-3.294662e-18	-5.118761e-18	0.09817477	3.2397673	0.66	1e-07	1.28e-07	0
0	0.006702453	-0.046609078	0	-3.2939474e-18	-5.1193182e-18	0.09817477	3.3379421	0.66	1e-07	1.28e-07	0
0	0.018025035	-0.0930514	0	-3.292794e-18	-5.120235e-18	0.09817477	3.436117	0.66	1e-07	1.28e-07	0
0	0.03421249	-0.13920693	0	-3.2916346e-18	-5.1214747e-18	0.09817477	3.5342917	0.66	1e-07	1.28e-07	0
0	0.055601154	-0.18483451	0	-3.2910907e-18	-5.122879e-18	0.09817477	3.6324666	0.66	1e-07	1.28e-07	0
0	0.08251097	-0.2294139	0	-3.2919317e-18	-5.124099e-18	0.09817477	3.7306414	0.66	1e-07	1.28e-07	0
0	0.11499584	-0.27199602	0	-3.2949298e-18	-5.1246316e-18	0.09817477	3.828816	0.66	1e-07	1.28e-07	0
0	0.15249385	-0.3112251	0	-3.3006074e-18	-5.124088e-18	0.09817477	3.9269907	0.66	1e-07	1.28e-07	0
0	0.19378376	-0.3457841	0	-3.3089896e-18	-5.12255e-18	0.09817477	4.0251656	0.66	1e-07	1.28e-07	0
0	0.23743185	-0.37492868	0	-3.3195672e-18	-5.120552e-18	0.09817477	4.12334	0.66	1e-07	1.28e-07	0
0	0.2823174	-0.39858928	0	-3.331505e-18	-5.118692e-18	0.09817477	4.221515	0.66	1e-07	1.28e-07	0
0	0.32778618	-0.41707575	0	-3.3439155e-18	-5.117329e-18	0.09817477	4.3196898	0.66	1e-07	1.28e-07	0
0	0.3735257	-0.4307771	0	-3.3560357e-18	-5.1165588e-18	0.09817477	4.417865	0.66	1e-07	1.28e-07	0
0	0.4193878	-0.44001037	0	-3.3672852e-18	-5.1163205e-18	0.09817477	4.5160394	0.66	1e-07	1.28e-07	0
0	0.4652821	-0.44498864	0	-3.377268e-18	-5.1165033e-18	0.09817477	4.6142144	0.66	1e-07	1.28e-07	0
0	0.511127	-0.4458317	0	-3.385757e-18	-5.1170046e-18	0.09817477	4.712389	0.66	1e-07	1.28e-07	0
0	0.5568392	-0.44258088	0	-3.3926718e-18	-5.1177565e-18	0.09817477	4.8105636	0.66	1e-07	1.28e-07	0
0	0.6023366	-0.43520457	0	-3.3980788e-18	-5.118725e-18	0.09817477	4.9087386	0.66	1e-07	1.28e-07	0
0	0.64753217	-0.42358962	0	-3.4021939e-18	-5.1198915e-18	0.09817477	5.006913	0.66	1e-07	1.28e-07	0
0	0.69229996	-0.40753633	0	-3.4053946e-18	-5.121215e-18	0.09817477	5.105088	0.66	1e-07	1.28e-07	0
0	0.7363936	-0.38678074	0	-3.4082205e-18	-5.1225806e-18	0.09817477	5.203263	0.66	1e-07	1.28e-07	0
0	0.77932626	-0.36109057	0	-3.4113208e-18	-5.123748e-18	0.09817477	5.3014374	0.66	1e-07	1.28e-07	0
0	0.8202588	-0.33046845	0	-3.415337e-18	-5.1243843e-18	0.09817477	5.3996124	0.66	1e-07	1.28e-07	0
0	0.85805863	-0.29538554	0	-3.4207051e-18	-5.1242325e-18	0.09817477	5.497787	0.66	1e-07	1.28e-07	0
0	0.8916177	-0.25682604	0	-3.4274632e-18	-5.1233317e-18	0.09817477	5.595962	0.66	1e-07	1.28e-07	0
0	0.9202762	-0.21595411	0	-3.435216e-18	-5.12202e-18	0.09817477	5.6941366	0.66	1e-07	1.28e-07	0
0	0.9439035	-0.17374064	0	-3.4432849e-18	-5.1207e-18	0.09817477	5.7923117	0.66	1e-07	1.28e-07	0
0	0.9627121	-0.13079357	0	-3.4509239e-18	-5.1196297e-18	0.09817477	5.8904862	0.66	1e-07	1.28e-07	0
0	0.9770136	-0.08742801	0	-3.4574683e-18	-5.118881e-18	0.09817477	5.988661	0.66	1e-07	1.28e-07	0
0	0.9870774	-0.043799527	0	-3.4624045e-18	-5.1184117e-18	0.09817477	6.086836	0.66	1e-07	1.28e-07	0
0	0.993089	1.0962201e-09	0	-3.4653801e-18	-5.1181453e-18	0.09817477	6.1850104	0.66	1e-07	1.28e-07	0
0	0.99515104	0.04389343	0	-3.4661949e-18	-5.1180196e-18	0.09817477	6.2831855	0.66	1e-07	1.28e-07	0
0	0.9892452	0.08770725	0	-3.4629155e-18	-5.118218e-18	0.19634955	0	0.66	1e-07	1.28e-07	0
0	0.98748994	0.13164663	0	-3.4612082e-18	-5.118146e-18	0.19634955	0.09817477	0.66	1e-07	1.28e-07	0
0	0.98177916	0.17553753	0	-3.457348e-18	-5.118224e-18	0.19634955	0.19634955	0.66	1e-07	1.28e-07	0
0	0.972009	0.21930549	0	-3.4515385e-18	-5.1185233e-18	0.19634955	0.2945243	0.66	1e-07	1.28e-07	0
0	0.957993	0.2628588	0	-3.4441332e-18	-5.1191284e-18	0.19634955	0.3926991	0.66	1e-07	1.28e-07	0
0	0.93945473	0.30605862	0	-3.4356494e-18	-5.120093e-18	0.19634955	0.49087384	0.66	1e-07	1.28e-07	0
0	0.9160748	0.34859318	0	-3.4267584e-18	-5.121352e-18	0.19634955	0.5890486	0.66	1e-07	1.28e-07	0
0	0.8876239	0.38986167	0	-3.4182234e-18	-5.1226526e-18	0.19634955	0.6872234	0.66	1e-07	1.28e-07	0
0	0.8542054	0.42890128	0	-3.4107403e-18	-5.1235803e-18	0.19634955	0.7853982	0.66	1e-07	1.28e-07	0
0	0.8164729	0.46451572	0	-3.4047275e-18	-5.123771e-18	0.19634955	0.88357294	0.66	1e-07	1.28e-07	0
0	0.7755322	0.49569026	0	-3.4001648e-18	-5.123161e-18	0.19634955	0.9817477	0.66	1e-07	1.28e-07	0
0	0.73253965	0.5219158	0	-3.3966222e-18	-5.122003e-18	0.19634955	1.0799224	0.66	1e-07	1.28e-07	0
0	0.6883525	0.543178	0	-3.393453e-18	-5.120637e-18	0.19634955	1.1780972	0.66	1e-07	1.28e-07	0
0	0.64346963	0.5597083	0	-3.3900006e-18	-5.1193182e-18	0.19634955	1.276272	0.66	1e-07	1.28e-07	0
0	0.59814143	0.57177204	0	-3.3857201e-18	-5.1181697e-18	0.19634955	1.3744467	0.66	1e-07	1.28e-07	0
0	0.5524951	0.57957226	0	-3.3802291e-18	-5.117238e-18	0.19634955	1.4726216	0.66	1e-07	1.28e-07	0
0	0.5066185	0.58322287	0	-3.3733085e-18	-5.1165426e-18	0.19634955	1.5707964	0.66	1e-07	1.28e-07	0
0	0.46059355	0.5827563	0	-3.364893e-18	-5.1161187e-18	0.19634955	1.6689711	0.66	1e-07	1.28e-07	0
0	0.41450498	0.5781297	0	-3.355062e-18	-5.116033e-18	0.19634955	1.7671459	0.66	1e-07	1.28e-07	0
0	0.36843216	0.56922096	0	-3.3440489e-18	-5.116387e-18	0.19634955	1.8653207	0.66	1e-07	1.28e-07	0
0	0.32246608	0.55581397	0	-3.3322533e-18	-5.1172875e-18	0.19634955	1.9634954	0.66	1e-07	1.28e-07	0
0	0.27675444	0.53758454	0	-3.3202622e-18	-5.1187855e-18	0.19634955	2.06167	0.66	1e-07	1.28e-07	0
0	0.23161355	0.51413625	0	-3.308851e-18	-5.120772e-18	0.19634955	2.1598449	0.66	1e-07	1.28e-07	0
0	0.18770868	0.4851531	0	-3.2989166e-18	-5.1228664e-18	0.19634955	2.2580197	0.66	1e-07	1.28e-07	0
0	0.14618768	0.4507076	0	-3.2913e-18	-5.124447e-18	0.19634955	2.3561945	0.66	1e-07	1.28e-07	0
0	0.10851174	0.41156143	0	-3.2865009e-18	-5.124979e-18	0.19634955	2.4543693	0.66	1e-07	1.28e-07	0
0	0.07591552	0.36905926	0	-3.2844724e-18	-5.124408e-18	0.19634955	2.552544	0.66	1e-07	1.28e-07	0
