# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	island1_angle (rad)	island2_angle (rad)	Cell_size (m)
0	0.9953375	-3.1578012e-10	0	-3.628071e-18	-5.1853103e-18	0	0	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.99354136	0.042152755	0	-3.6265e-18	-5.1853314e-18	0	0.09817477	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.988115	0.08431403	0	-3.6218707e-18	-5.1854476e-18	0	0.19634955	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.97891533	0.12656455	0	-3.6144426e-18	-5.1858058e-18	0	0.2945243	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.96567535	0.16896418	0	-3.6046823e-18	-5.186622e-18	0	0.3926991	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.94793004	0.21163183	0	-3.5933247e-18	-5.1881426e-18	0	0.49087384	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.924964	0.25462434	0	-3.5814274e-18	-5.190483e-18	0	0.5890486	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.89601827	0.29747614	0	-3.570375e-18	-5.1932632e-18	0	0.6872234	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.86078715	0.3388756	0	-3.5616486e-18	-5.195428e-18	0	0.7853982	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.8202886	0.3766113	0	-3.556212e-18	-5.195838e-18	0	0.88357294	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.7769289	0.40861252	0	-3.5538942e-18	-5.1944382e-18	0	0.9817477	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.7326301	0.43444234	0	-3.5535543e-18	-5.1921895e-18	0	1.0799224	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.6883269	0.4546452	0	-3.5537855e-18	-5.1899313e-18	0	1.1780972	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.6442045	0.46995646	0	-3.5533917e-18	-5.1879986e-18	0	1.276272	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.6001987	0.48090458	0	-3.5515095e-18	-5.1864195e-18	0	1.3744467	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.556272	0.48780245	0	-3.547578e-18	-5.18512e-18	0	1.4726216	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.5123313	0.4908931	0	-3.541283e-18	-5.1840414e-18	0	1.5707964	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.46830735	0.4902293	0	-3.5325153e-18	-5.1831902e-18	0	1.6689711	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.42416802	0.48576322	0	-3.5213525e-18	-5.1826613e-18	0	1.7671459	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.37984762	0.47734734	0	-3.508061e-18	-5.182643e-18	0	1.8653207	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.33528134	0.46469358	0	-3.4931353e-18	-5.1833912e-18	0	1.9634954	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.2903184	0.44730532	0	-3.4773635e-18	-5.1851982e-18	0	2.06167	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.24484695	0.4243847	0	-3.4618958e-18	-5.1882063e-18	0	2.1598449	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.1993271	0.39503047	0	-3.4482918e-18	-5.1919224e-18	0	2.2580197	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.15505023	0.3586639	0	-3.438289e-18	-5.195004e-18	0	2.3561945	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.114829	0.3165198	0	-3.433066e-18	-5.195799e-18	0	2.4543693	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.08114492	0.27142653	0	-3.4324327e-18	-5.1942583e-18	0	2.552544	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.054392535	0.22556973	0	-3.435021e-18	-5.191747e-18	0	2.6507187	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.033870175	0.17995365	0	-3.4392007e-18	-5.1894036e-18	0	2.7488935	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.01868974	0.13471922	0	-3.443636e-18	-5.187659e-18	0	2.8470683	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.008201746	0.08971096	0	-3.4473844e-18	-5.1865275e-18	0	2.9452431	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.002035735	0.04482885	0	-3.449851e-18	-5.1859125e-18	0	3.043418	0.66	1e-07	1.28e-07	0	0	1e-09
0	-8.0089163e-10	-6.2676634e-08	0	-3.4507084e-18	-5.1857235e-18	0	3.1415927	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.002035716	-0.0448285	0	-3.4498513e-18	-5.1859133e-18	0	3.2397673	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.008201936	-0.089711696	0	-3.4473848e-18	-5.1865275e-18	0	3.3379421	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.01869518	-0.13474025	0	-3.4436354e-18	-5.1876616e-18	0	3.436117	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.03388369	-0.17999214	0	-3.4392013e-18	-5.18941e-18	0	3.5342917	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.054391827	-0.22556892	0	-3.435021e-18	-5.1917474e-18	0	3.6324666	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.081145406	-0.27142715	0	-3.4324325e-18	-5.194258e-18	0	3.7306414	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.11482962	-0.31652048	0	-3.4330667e-18	-5.195799e-18	0	3.828816	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.15504864	-0.3586591	0	-3.438289e-18	-5.195004e-18	0	3.9269907	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.19932637	-0.3950301	0	-3.4482918e-18	-5.1919224e-18	0	4.0251656	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.24484538	-0.42438313	0	-3.4618956e-18	-5.1882063e-18	0	4.12334	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.29032093	-0.44730547	0	-3.477363e-18	-5.185197e-18	0	4.221515	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.33528167	-0.4646928	0	-3.493136e-18	-5.1833912e-18	0	4.3196898	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.3798475	-0.47734708	0	-3.508061e-18	-5.1826435e-18	0	4.417865	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.4241669	-0.48576352	0	-3.521353e-18	-5.1826625e-18	0	4.5160394	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.4683102	-0.49022865	0	-3.532516e-18	-5.1831902e-18	0	4.6142144	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.51232165	-0.49089772	0	-3.5412826e-18	-5.1840426e-18	0	4.712389	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.5562714	-0.48780304	0	-3.5475775e-18	-5.1851205e-18	0	4.8105636	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.60019904	-0.48090294	0	-3.5515095e-18	-5.1864195e-18	0	4.9087386	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.64420533	-0.46995714	0	-3.5533917e-18	-5.187999e-18	0	5.006913	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.6883288	-0.45464495	0	-3.5537846e-18	-5.18993e-18	0	5.105088	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.7326297	-0.43444255	0	-3.5535543e-18	-5.1921895e-18	0	5.203263	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.7769293	-0.4086129	0	-3.553895e-18	-5.1944382e-18	0	5.3014374	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.8202882	-0.37661138	0	-3.556212e-18	-5.1958382e-18	0	5.3996124	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.86078745	-0.33887595	0	-3.5616486e-18	-5.1954288e-18	0	5.497787	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.89605033	-0.29743177	0	-3.570375e-18	-5.193249e-18	0	5.595962	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9249652	-0.2546218	0	-3.581428e-18	-5.190483e-18	0	5.6941366	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9479297	-0.21163271	0	-3.5933247e-18	-5.1881426e-18	0	5.7923117	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9656633	-0.16899697	0	-3.6046823e-18	-5.186632e-18	0	5.8904862	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.97891635	-0.12656072	0	-3.6144426e-18	-5.185805e-18	0	5.988661	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9881147	-0.084315404	0	-3.6218715e-18	-5.185448e-18	0	6.086836	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.99354106	-0.04215667	0	-3.6265e-18	-5.185332e-18	0	6.1850104	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9953376	6.2240724e-10	0	-3.6280704e-18	-5.1853115e-18	0	6.2831855	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.99354196	0.042144522	0	-3.6265e-18	-5.1853306e-18	0.09817477	0	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.99184215	0.08430091	0	-3.624637e-18	-5.185266e-18	0.09817477	0.09817477	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.98650885	0.12649484	0	-3.6197188e-18	-5.1853e-18	0.09817477	0.19634955	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9774014	0.16878316	0	-3.612002e-18	-5.185581e-18	0.09817477	0.2945243	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.96425486	0.21122493	0	-3.601955e-18	-5.186328e-18	0.09817477	0.3926991	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9465991	0.25396386	0	-3.5903154e-18	-5.1877972e-18	0.09817477	0.49087384	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.9237195	0.29705435	0	-3.5781377e-18	-5.1901096e-18	0.09817477	0.5890486	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.8948863	0.33997893	0	-3.566811e-18	-5.192871e-18	0.09817477	0.6872234	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.8596756	0.38158903	0	-3.5578283e-18	-5.1950747e-18	0.09817477	0.7853982	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.8191871	0.41953054	0	-3.5521687e-18	-5.1955144e-18	0.09817477	0.88357294	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.7758036	0.45173734	0	-3.54967e-18	-5.1941243e-18	0.09817477	0.9817477	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.73149264	0.47776005	0	-3.549191e-18	-5.1918752e-18	0.09817477	1.0799224	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.6871299	0.49811703	0	-3.549319e-18	-5.189601e-18	0.09817477	1.1780972	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.642965	0.5135636	0	-3.5488534e-18	-5.1876616e-18	0.09817477	1.276272	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.59894055	0.52462214	0	-3.546923e-18	-5.1860804e-18	0.09817477	1.3744467	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.55497235	0.53166074	0	-3.542967e-18	-5.184787e-18	0.09817477	1.4726216	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.5109794	0.5348742	0	-3.5366715e-18	-5.1837254e-18	0.09817477	1.5707964	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.4669067	0.5343217	0	-3.527927e-18	-5.1829007e-18	0.09817477	1.6689711	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.42271405	0.52996194	0	-3.516809e-18	-5.182407e-18	0.09817477	1.7671459	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.3783303	0.52164763	0	-3.5035864e-18	-5.1824338e-18	0.09817477	1.8653207	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.3336588	0.5090791	0	-3.488757e-18	-5.183249e-18	0.09817477	1.9634954	0.66	1e-07	1.28e-07	0	0	1e-09
0	0.28863084	0.49176872	0	-3.4731093e-18	-5.185111e-18	0.09817477	2.06167	0.66	1e-07	1.28e-07	0	0	1e-09
