# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)
0	0.99752825	2.0517774e-09	0	-2.7777827e-18	-4.3540116e-18	0	0	0.49	1e-07	1.28e-07	0
0	0.9953144	0.046302825	0	-2.777332e-18	-4.353938e-18	0	0.09817477	0.49	1e-07	1.28e-07	0
0	0.98866564	0.09233475	0	-2.7760142e-18	-4.353727e-18	0	0.19634955	0.49	1e-07	1.28e-07	0
0	0.97756296	0.13780588	0	-2.773924e-18	-4.3533966e-18	0	0.2945243	0.49	1e-07	1.28e-07	0
0	0.961996	0.18236518	0	-2.7712079e-18	-4.3529672e-18	0	0.3926991	0.49	1e-07	1.28e-07	0
0	0.9420118	0.22556195	0	-2.7680303e-18	-4.3524623e-18	0	0.49087384	0.49	1e-07	1.28e-07	0
0	0.9177708	0.26685867	0	-2.7645334e-18	-4.3519304e-18	0	0.5890486	0.49	1e-07	1.28e-07	0
0	0.88954544	0.30572835	0	-2.7607986e-18	-4.3514655e-18	0	0.6872234	0.49	1e-07	1.28e-07	0
0	0.85765135	0.34174612	0	-2.7568542e-18	-4.3511797e-18	0	0.7853982	0.49	1e-07	1.28e-07	0
0	0.8223749	0.37459838	0	-2.7527169e-18	-4.3511475e-18	0	0.88357294	0.49	1e-07	1.28e-07	0
0	0.78399056	0.40399784	0	-2.7484155e-18	-4.3513605e-18	0	0.9817477	0.49	1e-07	1.28e-07	0
0	0.7428441	0.42962593	0	-2.7439889e-18	-4.35173e-18	0	1.0799224	0.49	1e-07	1.28e-07	0
0	0.69940627	0.45115575	0	-2.739444e-18	-4.3521363e-18	0	1.1780972	0.49	1e-07	1.28e-07	0
0	0.65421087	0.46834382	0	-2.734729e-18	-4.3524904e-18	0	1.276272	0.49	1e-07	1.28e-07	0
0	0.6077636	0.48104894	0	-2.7297504e-18	-4.352748e-18	0	1.3744467	0.49	1e-07	1.28e-07	0
0	0.5604692	0.4892215	0	-2.7244128e-18	-4.3528986e-18	0	1.4726216	0.49	1e-07	1.28e-07	0
0	0.5126586	0.492838	0	-2.7186592e-18	-4.3529433e-18	0	1.5707964	0.49	1e-07	1.28e-07	0
0	0.46462968	0.49187127	0	-2.7124923e-18	-4.3528936e-18	0	1.6689711	0.49	1e-07	1.28e-07	0
0	0.41667825	0.48627967	0	-2.7059843e-18	-4.3527745e-18	0	1.7671459	0.49	1e-07	1.28e-07	0
0	0.36911097	0.4760079	0	-2.699274e-18	-4.352617e-18	0	1.8653207	0.49	1e-07	1.28e-07	0
0	0.32229722	0.4609989	0	-2.6925637e-18	-4.3524407e-18	0	1.9634954	0.49	1e-07	1.28e-07	0
0	0.2767189	0.4412433	0	-2.6860939e-18	-4.352253e-18	0	2.06167	0.49	1e-07	1.28e-07	0
0	0.23298468	0.4168519	0	-2.6800857e-18	-4.3520636e-18	0	2.1598449	0.49	1e-07	1.28e-07	0
0	0.19174093	0.3880852	0	-2.6746968e-18	-4.3519254e-18	0	2.2580197	0.49	1e-07	1.28e-07	0
0	0.1535417	0.35528797	0	-2.6700094e-18	-4.3519275e-18	0	2.3561945	0.49	1e-07	1.28e-07	0
0	0.11881264	0.3188047	0	-2.666065e-18	-4.3521347e-18	0	2.4543693	0.49	1e-07	1.28e-07	0
0	0.08793182	0.27898967	0	-2.6628995e-18	-4.3525226e-18	0	2.552544	0.49	1e-07	1.28e-07	0
0	0.061293617	0.23629911	0	-2.6605278e-18	-4.352982e-18	0	2.6507187	0.49	1e-07	1.28e-07	0
0	0.039260577	0.19132991	0	-2.6589047e-18	-4.353404e-18	0	2.7488935	0.49	1e-07	1.28e-07	0
0	0.022066373	0.14472179	0	-2.6579034e-18	-4.353732e-18	0	2.8470683	0.49	1e-07	1.28e-07	0
0	0.009795805	0.097027585	0	-2.6573543e-18	-4.3539623e-18	0	2.9452431	0.49	1e-07	1.28e-07	0
0	0.0024468636	0.048671957	0	-2.6570958e-18	-4.3541013e-18	0	3.043418	0.49	1e-07	1.28e-07	0
0	-4.1076516e-09	3.6597428e-10	0	-2.6570224e-18	-4.354149e-18	0	3.1415927	0.49	1e-07	1.28e-07	0
0	0.0024468643	-0.04867197	0	-2.6570962e-18	-4.3541013e-18	0	3.2397673	0.49	1e-07	1.28e-07	0
0	0.009795847	-0.097027674	0	-2.657355e-18	-4.3539628e-18	0	3.3379421	0.49	1e-07	1.28e-07	0
0	0.022066804	-0.1447226	0	-2.6579038e-18	-4.353732e-18	0	3.436117	0.49	1e-07	1.28e-07	0
0	0.039260633	-0.19133	0	-2.6589036e-18	-4.353403e-18	0	3.5342917	0.49	1e-07	1.28e-07	0
0	0.06129371	-0.23629925	0	-2.6605276e-18	-4.3529826e-18	0	3.6324666	0.49	1e-07	1.28e-07	0
0	0.087931775	-0.2789896	0	-2.6628991e-18	-4.3525222e-18	0	3.7306414	0.49	1e-07	1.28e-07	0
0	0.118812755	-0.3188048	0	-2.6660645e-18	-4.3521347e-18	0	3.828816	0.49	1e-07	1.28e-07	0
0	0.15354203	-0.3552881	0	-2.670009e-18	-4.3519275e-18	0	3.9269907	0.49	1e-07	1.28e-07	0
0	0.19174083	-0.38808516	0	-2.6746964e-18	-4.351925e-18	0	4.0251656	0.49	1e-07	1.28e-07	0
0	0.23298632	-0.4168522	0	-2.6800855e-18	-4.3520636e-18	0	4.12334	0.49	1e-07	1.28e-07	0
0	0.27671915	-0.44124323	0	-2.6860943e-18	-4.352253e-18	0	4.221515	0.49	1e-07	1.28e-07	0
0	0.32229775	-0.4609989	0	-2.6925643e-18	-4.352441e-18	0	4.3196898	0.49	1e-07	1.28e-07	0
0	0.36911115	-0.47600794	0	-2.699274e-18	-4.3526165e-18	0	4.417865	0.49	1e-07	1.28e-07	0
0	0.41667816	-0.48627967	0	-2.7059834e-18	-4.3527745e-18	0	4.5160394	0.49	1e-07	1.28e-07	0
0	0.46463063	-0.491871	0	-2.7124921e-18	-4.3528936e-18	0	4.6142144	0.49	1e-07	1.28e-07	0
0	0.5126591	-0.49283776	0	-2.7186592e-18	-4.3529433e-18	0	4.712389	0.49	1e-07	1.28e-07	0
0	0.5604691	-0.48922157	0	-2.7244126e-18	-4.3528986e-18	0	4.8105636	0.49	1e-07	1.28e-07	0
0	0.60776377	-0.481049	0	-2.7297508e-18	-4.352748e-18	0	4.9087386	0.49	1e-07	1.28e-07	0
0	0.65421146	-0.46834344	0	-2.7347292e-18	-4.3524904e-18	0	5.006913	0.49	1e-07	1.28e-07	0
0	0.6994058	-0.45115635	0	-2.739444e-18	-4.3521368e-18	0	5.105088	0.49	1e-07	1.28e-07	0
0	0.7428443	-0.42962575	0	-2.7439889e-18	-4.3517298e-18	0	5.203263	0.49	1e-07	1.28e-07	0
0	0.78399056	-0.40399787	0	-2.7484153e-18	-4.3513605e-18	0	5.3014374	0.49	1e-07	1.28e-07	0
0	0.8223749	-0.37459818	0	-2.752716e-18	-4.351147e-18	0	5.3996124	0.49	1e-07	1.28e-07	0
0	0.85765153	-0.34174603	0	-2.7568546e-18	-4.351179e-18	0	5.497787	0.49	1e-07	1.28e-07	0
0	0.8895453	-0.3057283	0	-2.7607984e-18	-4.351466e-18	0	5.595962	0.49	1e-07	1.28e-07	0
0	0.9177708	-0.26685873	0	-2.7645327e-18	-4.3519304e-18	0	5.6941366	0.49	1e-07	1.28e-07	0
0	0.94201195	-0.22556154	0	-2.7680303e-18	-4.3524614e-18	0	5.7923117	0.49	1e-07	1.28e-07	0
0	0.96199596	-0.18236518	0	-2.7712075e-18	-4.3529672e-18	0	5.8904862	0.49	1e-07	1.28e-07	0
0	0.97756314	-0.13780499	0	-2.7739243e-18	-4.353397e-18	0	5.988661	0.49	1e-07	1.28e-07	0
0	0.9886657	-0.092334546	0	-2.7760148e-18	-4.3537274e-18	0	6.086836	0.49	1e-07	1.28e-07	0
0	0.9953144	-0.046302397	0	-2.777332e-18	-4.353938e-18	0	6.1850104	0.49	1e-07	1.28e-07	0
0	0.9975282	2.1617061e-09	0	-2.7777827e-18	-4.3540116e-18	0	6.2831855	0.49	1e-07	1.28e-07	0
0	0.99531454	0.046302542	0	-2.777332e-18	-4.353938e-18	0.09817477	0	0.49	1e-07	1.28e-07	0
0	0.9931928	0.09261997	0	-2.7766664e-18	-4.3538387e-18	0.09817477	0.09817477	0.49	1e-07	1.28e-07	0
0	0.9866336	0.13868281	0	-2.775135e-18	-4.3536025e-18	0.09817477	0.19634955	0.49	1e-07	1.28e-07	0
0	0.97561634	0.18420139	0	-2.7728364e-18	-4.3532493e-18	0.09817477	0.2945243	0.49	1e-07	1.28e-07	0
0	0.9601294	0.22882304	0	-2.7699156e-18	-4.3527993e-18	0.09817477	0.3926991	0.49	1e-07	1.28e-07	0
0	0.940218	0.2720999	0	-2.7665407e-18	-4.352277e-18	0.09817477	0.49087384	0.49	1e-07	1.28e-07	0
0	0.9160399	0.31349176	0	-2.7628554e-18	-4.3517323e-18	0.09817477	0.5890486	0.49	1e-07	1.28e-07	0
0	0.8878659	0.3524714	0	-2.7589433e-18	-4.3512562e-18	0.09817477	0.6872234	0.49	1e-07	1.28e-07	0
0	0.8560113	0.38861048	0	-2.7548357e-18	-4.3509626e-18	0.09817477	0.7853982	0.49	1e-07	1.28e-07	0
0	0.8207619	0.42159247	0	-2.750548e-18	-4.350927e-18	0.09817477	0.88357294	0.49	1e-07	1.28e-07	0
0	0.78238964	0.45113137	0	-2.746114e-18	-4.3511425e-18	0.09817477	0.9817477	0.49	1e-07	1.28e-07	0
0	0.74124	0.47690442	0	-2.7415733e-18	-4.351518e-18	0.09817477	1.0799224	0.49	1e-07	1.28e-07	0
0	0.69778156	0.49858412	0	-2.7369345e-18	-4.3519337e-18	0.09817477	1.1780972	0.49	1e-07	1.28e-07	0
0	0.65255535	0.5159155	0	-2.7321492e-18	-4.352298e-18	0.09817477	1.276272	0.49	1e-07	1.28e-07	0
0	0.6060652	0.52876055	0	-2.7271225e-18	-4.352567e-18	0.09817477	1.3744467	0.49	1e-07	1.28e-07	0
0	0.5587195	0.5370653	0	-2.721761e-18	-4.3527307e-18	0.09817477	1.4726216	0.49	1e-07	1.28e-07	0
0	0.51085097	0.5408055	0	-2.7160064e-18	-4.352789e-18	0.09817477	1.5707964	0.49	1e-07	1.28e-07	0
0	0.46275926	0.5399528	0	-2.709862e-18	-4.3527543e-18	0.09817477	1.6689711	0.49	1e-07	1.28e-07	0
0	0.4147388	0.53446543	0	-2.7033995e-18	-4.3526504e-18	0.09817477	1.7671459	0.49	1e-07	1.28e-07	0
0	0.3671003	0.52428645	0	-2.6967591e-18	-4.3525073e-18	0.09817477	1.8653207	0.49	1e-07	1.28e-07	0
0	0.3202134	0.509358	0	-2.6901446e-18	-4.3523465e-18	0.09817477	1.9634954	0.49	1e-07	1.28e-07	0
0	0.27456293	0.48967013	0	-2.6837943e-18	-4.3521707e-18	0.09817477	2.06167	0.49	1e-07	1.28e-07	0
0	0.23076102	0.46533427	0	-2.6779292e-18	-4.35199e-18	0.09817477	2.1598449	0.49	1e-07	1.28e-07	0
0	0.1894584	0.43661195	0	-2.6727068e-18	-4.351857e-18	0.09817477	2.2580197	0.49	1e-07	1.28e-07	0
0	0.1512099	0.4038501	0	-2.6682057e-18	-4.351864e-18	0.09817477	2.3561945	0.49	1e-07	1.28e-07	0
0	0.11644149	0.36739457	0	-2.6644654e-18	-4.352075e-18	0.09817477	2.4543693	0.49	1e-07	1.28e-07	0
0	0.08553192	0.32760182	0	-2.6615183e-18	-4.352464e-18	0.09817477	2.552544	0.49	1e-07	1.28e-07	0
0	0.058871344	0.2849266	0	-2.6593772e-18	-4.3529246e-18	0.09817477	2.6507187	0.49	1e-07	1.28e-07	0
0	0.036824916	0.23997073	0	-2.6579925e-18	-4.353346e-18	0.09817477	2.7488935	0.49	1e-07	1.28e-07	0
0	0.01962384	0.19337471	0	-2.657236e-18	-4.3536745e-18	0.09817477	2.8470683	0.49	1e-07	1.28e-07	0
0	0.0073499037	0.14568958	0	-2.6569337e-18	-4.3539073e-18	0.09817477	2.9452431	0.49	1e-07	1.28e-07	0
0	2.7966989e-09	0.09733939	0	-2.6569232e-18	-4.3540504e-18	0.09817477	3.043418	0.49	1e-07	1.28e-07	0
0	-0.0024468496	0.0486719	0	-2.657096e-18	-4.3541013e-18	0.09817477	3.1415927	0.49	1e-07	1.28e-07	0
0	1.2235558e-09	4.369842e-11	0	-2.6574133e-18	-4.354058e-18	0.09817477	3.2397673	0.49	1e-07	1.28e-07	0
0	0.0073479377	-0.048359036	0	-2.6579112e-18	-4.3539226e-18	0.09817477	3.3379421	0.49	1e-07	1.28e-07	0
0	0.019615496	-0.09606034	0	-2.6586944e-18	-4.353695e-18	0.09817477	3.436117	0.49	1e-07	1.28e-07	0
0	0.036802787	-0.14267832	0	-2.6599202e-18	-4.3533684e-18	0.09817477	3.5342917	0.49	1e-07	1.28e-07	0
0	0.0588234	-0.18766083	0	-2.6617586e-18	-4.3529482e-18	0.09817477	3.6324666	0.49	1e-07	1.28e-07	0
0	0.08544207	-0.23036905	0	-2.6643314e-18	-4.35249e-18	0.09817477	3.7306414	0.49	1e-07	1.28e-07	0
0	0.11629493	-0.27020788	0	-2.667681e-18	-4.3521066e-18	0.09817477	3.828816	0.49	1e-07	1.28e-07	0
0	0.15098831	-0.30672342	0	-2.6717911e-18	-4.3519047e-18	0.09817477	3.9269907	0.49	1e-07	1.28e-07	0
0	0.18914464	-0.33956307	0	-2.6766227e-18	-4.351909e-18	0.09817477	4.0251656	0.49	1e-07	1.28e-07	0
