# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	island1_angle (rad)	island2_angle (rad)	Cell_size (m)
0	0.030697709	-0.16517359	0	-3.3903286e-18	-5.1854273e-18	0	3.436117	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.04998805	-0.20948434	0	-3.4032535e-18	-5.182766e-18	0	3.5342917	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.072262615	-0.24980073	0	-3.4156128e-18	-5.181382e-18	0	3.6324666	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.09733448	-0.2867567	0	-3.4264563e-18	-5.1808725e-18	0	3.7306414	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.12505466	-0.32080325	0	-3.4352114e-18	-5.1809535e-18	0	3.828816	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.1553977	-0.35203442	0	-3.44157e-18	-5.1813928e-18	0	3.9269907	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.18836373	-0.38067207	0	-3.4454389e-18	-5.1821132e-18	0	4.0251656	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.22405939	-0.4066099	0	-3.4469208e-18	-5.1831203e-18	0	4.12334	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.26271066	-0.42991665	0	-3.4463421e-18	-5.1845435e-18	0	4.221515	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.30472392	-0.45033413	0	-3.4443046e-18	-5.1865416e-18	0	4.3196898	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.35077628	-0.46758544	0	-3.441794e-18	-5.189219e-18	0	4.417865	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.401754	-0.48104772	0	-3.4402996e-18	-5.1922818e-18	0	4.5160394	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.45806298	-0.48940548	0	-3.4418046e-18	-5.1944453e-18	0	4.6142144	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.51767576	-0.49097	0	-3.4481845e-18	-5.1936946e-18	0	4.712389	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.5756179	-0.48533908	0	-3.4597956e-18	-5.1900037e-18	0	4.8105636	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.6283947	-0.47400224	0	-3.475071e-18	-5.185821e-18	0	4.9087386	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.67582387	-0.45854458	0	-3.4918354e-18	-5.1828143e-18	0	5.006913	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7187711	-0.43984023	0	-3.508294e-18	-5.1812497e-18	0	5.105088	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7580258	-0.41841254	0	-3.5231963e-18	-5.1808183e-18	0	5.203263	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7941983	-0.39446646	0	-3.5357244e-18	-5.1810747e-18	0	5.3014374	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.8275518	-0.3679909	0	-3.5453706e-18	-5.181688e-18	0	5.3996124	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.8582974	-0.3391494	0	-3.5518623e-18	-5.182441e-18	0	5.497787	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.88651055	-0.30785286	0	-3.5551147e-18	-5.183237e-18	0	5.595962	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9121892	-0.27405998	0	-3.5552227e-18	-5.184108e-18	0	5.6941366	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9352746	-0.23752905	0	-3.552474e-18	-5.185184e-18	0	5.7923117	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.95567477	-0.19800876	0	-3.547399e-18	-5.1866987e-18	0	5.8904862	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.97308964	-0.15494439	0	-3.5408446e-18	-5.1888585e-18	0	5.988661	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9870091	-0.107647546	0	-3.5340713e-18	-5.1916916e-18	0	6.086836	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9964093	-0.05563948	0	-3.528775e-18	-5.194553e-18	0	6.1850104	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9998194	1.3202659e-07	0	-3.5267313e-18	-5.195861e-18	0	6.2831855	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.99641013	0.05563684	0	-3.528775e-18	-5.1945553e-18	0.09817477	0	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9932222	0.1113884	0	-3.5303308e-18	-5.193461e-18	0.09817477	0.09817477	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.98400474	0.16356911	0	-3.5351784e-18	-5.190751e-18	0.09817477	0.19634955	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9702197	0.21106027	0	-3.541552e-18	-5.188002e-18	0.09817477	0.2945243	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.952912	0.25428826	0	-3.5477487e-18	-5.1858955e-18	0.09817477	0.3926991	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9326137	0.29398614	0	-3.5525037e-18	-5.184425e-18	0.09817477	0.49087384	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.9096013	0.3306683	0	-3.5549613e-18	-5.1833755e-18	0.09817477	0.5890486	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.88398474	0.36471686	0	-3.554589e-18	-5.1825297e-18	0.09817477	0.6872234	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.8558248	0.39619595	0	-3.5510963e-18	-5.181765e-18	0.09817477	0.7853982	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.8251077	0.42529538	0	-3.5443895e-18	-5.1810458e-18	0.09817477	0.88357294	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.79176366	0.45197695	0	-3.53455e-18	-5.1804696e-18	0.09817477	0.9817477	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.7555911	0.47623214	0	-3.521854e-18	-5.1802633e-18	0.09817477	1.0799224	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.71635413	0.4979304	0	-3.506808e-18	-5.1807306e-18	0.09817477	1.1780972	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.6733747	0.5169168	0	-3.490234e-18	-5.1823486e-18	0.09817477	1.276272	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.62590635	0.53269416	0	-3.4733864e-18	-5.185412e-18	0.09817477	1.3744467	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.57302165	0.54435724	0	-3.458067e-18	-5.1896604e-18	0.09817477	1.4726216	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.51496595	0.55028975	0	-3.4464637e-18	-5.193377e-18	0.09817477	1.5707964	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.45521083	0.54895824	0	-3.4401484e-18	-5.1941103e-18	0.09817477	1.6689711	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.39881375	0.5408213	0	-3.4387567e-18	-5.1918984e-18	0.09817477	1.7671459	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.34772453	0.5275325	0	-3.4404042e-18	-5.1887803e-18	0.09817477	1.8653207	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.3015722	0.5104102	0	-3.4430975e-18	-5.1860444e-18	0.09817477	1.9634954	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.25947008	0.49012148	0	-3.4453466e-18	-5.1839934e-18	0.09817477	2.06167	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.22072442	0.466979	0	-3.446165e-18	-5.182522e-18	0.09817477	2.1598449	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.18493192	0.44113433	0	-3.4449477e-18	-5.1814556e-18	0.09817477	2.2580197	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.1518683	0.41259947	0	-3.4413702e-18	-5.1806793e-18	0.09817477	2.3561945	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.12144299	0.38138956	0	-3.4353297e-18	-5.1801698e-18	0.09817477	2.4543693	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.0936356	0.3474947	0	-3.4269218e-18	-5.1800072e-18	0.09817477	2.552544	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.068493396	0.31053993	0	-3.4164547e-18	-5.180424e-18	0.09817477	2.6507187	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.046109445	0.27027515	0	-3.4045075e-18	-5.1817166e-18	0.09817477	2.7488935	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.026749007	0.22597624	0	-3.3920373e-18	-5.1842226e-18	0.09817477	2.8470683	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.010965243	0.17659716	0	-3.3805323e-18	-5.1880197e-18	0.09817477	2.9452431	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-1.4540927e-06	0.12112438	0	-3.3721536e-18	-5.1921486e-18	0.09817477	3.043418	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-0.0040817168	0.06052096	0	-3.3693697e-18	-5.1938695e-18	0.09817477	3.1415927	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	-3.5001947e-06	6.10214e-06	0	-3.3733794e-18	-5.1912594e-18	0.09817477	3.2397673	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.010885139	-0.055339277	0	-3.3828591e-18	-5.1865548e-18	0.09817477	3.3379421	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.02654146	-0.10469038	0	-3.395318e-18	-5.1824334e-18	0.09817477	3.436117	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.045762442	-0.14905755	0	-3.4086242e-18	-5.1797277e-18	0.09817477	3.5342917	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.06799322	-0.18944238	0	-3.421313e-18	-5.1783057e-18	0.09817477	3.6324666	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.09299574	-0.22647657	0	-3.4324449e-18	-5.1777805e-18	0.09817477	3.7306414	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.12065265	-0.26060987	0	-3.4414514e-18	-5.177861e-18	0.09817477	3.828816	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.15093173	-0.29203704	0	-3.4480273e-18	-5.17832e-18	0.09817477	3.9269907	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.18383943	-0.3207811	0	-3.4520807e-18	-5.179047e-18	0.09817477	4.0251656	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.21947572	-0.34688905	0	-3.4537169e-18	-5.180072e-18	0.09817477	4.12334	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.2580621	-0.37031683	0	-3.4532584e-18	-5.1815102e-18	0.09817477	4.221515	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.30001315	-0.39093095	0	-3.4513094e-18	-5.183534e-18	0.09817477	4.3196898	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.34601435	-0.40843225	0	-3.4488524e-18	-5.186249e-18	0.09817477	4.417865	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.39694571	-0.42216218	0	-3.4473705e-18	-5.189362e-18	0.09817477	4.5160394	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.45319006	-0.43077806	0	-3.4488427e-18	-5.1915927e-18	0.09817477	4.6142144	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.51273596	-0.43262738	0	-3.4551363e-18	-5.190951e-18	0.09817477	4.712389	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.57064843	-0.42729545	0	-3.4666108e-18	-5.1874e-18	0.09817477	4.8105636	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.62346494	-0.41622955	0	-3.481714e-18	-5.1833416e-18	0.09817477	4.9087386	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
0	0.6709243	-0.40101418	0	-3.49828e-18	-5.1804485e-18	0.09817477	5.006913	0.66	1e-07	1.28e-07	0.7853982	0.7853982	1e-09
