# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_magAngle (rad)	island2_magAngle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.15648465	-0.35641795	0	-3.8424653e-18	-5.786469e-18	0	3.9269907	0.81	1e-07	1.28e-07	0	4e-09
0	0.19481783	-0.38860905	0	-3.8510907e-18	-5.7860453e-18	0	4.0251656	0.81	1e-07	1.28e-07	0	4e-09
0	0.23602837	-0.4167102	0	-3.860439e-18	-5.7856437e-18	0	4.12334	0.81	1e-07	1.28e-07	0	4e-09
0	0.27961934	-0.44048208	0	-3.870349e-18	-5.7853024e-18	0	4.221515	0.81	1e-07	1.28e-07	0	4e-09
0	0.32510126	-0.45975867	0	-3.8806467e-18	-5.7850535e-18	0	4.3196898	0.81	1e-07	1.28e-07	0	4e-09
0	0.37200028	-0.4744364	0	-3.8911573e-18	-5.784924e-18	0	4.417865	0.81	1e-07	1.28e-07	0	4e-09
0	0.41986895	-0.4844612	0	-3.901718e-18	-5.7849273e-18	0	4.5160394	0.81	1e-07	1.28e-07	0	4e-09
0	0.46828464	-0.489815	0	-3.9121933e-18	-5.7850626e-18	0	4.6142144	0.81	1e-07	1.28e-07	0	4e-09
0	0.51684356	-0.49050543	0	-3.9224756e-18	-5.7853128e-18	0	4.712389	0.81	1e-07	1.28e-07	0	4e-09
0	0.565151	-0.4865598	0	-3.9324977e-18	-5.7856552e-18	0	4.8105636	0.81	1e-07	1.28e-07	0	4e-09
0	0.6128104	-0.478025	0	-3.9422224e-18	-5.786054e-18	0	4.9087386	0.81	1e-07	1.28e-07	0	4e-09
0	0.6594118	-0.46497488	0	-3.9516424e-18	-5.7864704e-18	0	5.006913	0.81	1e-07	1.28e-07	0	4e-09
0	0.7045326	-0.44751832	0	-3.960766e-18	-5.7868666e-18	0	5.105088	0.81	1e-07	1.28e-07	0	4e-09
0	0.74773306	-0.42581588	0	-3.969605e-18	-5.787209e-18	0	5.203263	0.81	1e-07	1.28e-07	0	4e-09
0	0.78857374	-0.4000851	0	-3.9781585e-18	-5.7874726e-18	0	5.3014374	0.81	1e-07	1.28e-07	0	4e-09
0	0.82663083	-0.37060228	0	-3.986409e-18	-5.787648e-18	0	5.3996124	0.81	1e-07	1.28e-07	0	4e-09
0	0.861509	-0.33771244	0	-3.9943e-18	-5.787733e-18	0	5.497787	0.81	1e-07	1.28e-07	0	4e-09
0	0.89286953	-0.3017952	0	-4.0017464e-18	-5.7877435e-18	0	5.595962	0.81	1e-07	1.28e-07	0	4e-09
0	0.9204343	-0.26326466	0	-4.0086314e-18	-5.787697e-18	0	5.6941366	0.81	1e-07	1.28e-07	0	4e-09
0	0.94399244	-0.22254497	0	-4.0148137e-18	-5.7876177e-18	0	5.7923117	0.81	1e-07	1.28e-07	0	4e-09
0	0.9633953	-0.18005575	0	-4.0201437e-18	-5.787527e-18	0	5.8904862	0.81	1e-07	1.28e-07	0	4e-09
0	0.97854877	-0.13619417	0	-4.0244727e-18	-5.7874424e-18	0	5.988661	0.81	1e-07	1.28e-07	0	4e-09
0	0.98939806	-0.09133542	0	-4.0276698e-18	-5.7873754e-18	0	6.086836	0.81	1e-07	1.28e-07	0	4e-09
0	0.99591523	-0.045827597	0	-4.02963e-18	-5.787332e-18	0	6.1850104	0.81	1e-07	1.28e-07	0	4e-09
0	0.99808866	-3.99487e-09	0	-4.030292e-18	-5.787317e-18	0	6.2831855	0.81	1e-07	1.28e-07	0	4e-09
0	0.99591523	0.045827564	0	-4.02963e-18	-5.787331e-18	0.09817477	0	0.81	1e-07	1.28e-07	0	4e-09
0	0.993886	0.09168535	0	-4.028527e-18	-5.7873084e-18	0.09817477	0.09817477	0.81	1e-07	1.28e-07	0	4e-09
0	0.98750776	0.13724907	0	-4.0261304e-18	-5.7873133e-18	0.09817477	0.19634955	0.81	1e-07	1.28e-07	0	4e-09
0	0.9767886	0.1821946	0	-4.0225115e-18	-5.7873505e-18	0.09817477	0.2945243	0.81	1e-07	1.28e-07	0	4e-09
