# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	island1_angle (rad)	island2_angle (rad)	roundness ()	size (m)	islands_distance (m)	islands_angle (rad)	Cell_size (m)
0	0.50212216	0.49721092	0	-2.7174374e-18	-4.354032e-18	1.5707964	0	0.49	1e-07	1.92e-07	0	4e-09
0	0.9975504	-5.023953e-09	0	-2.731186e-18	-4.3541083e-18	0	0	0.49	1e-07	1.96e-07	0	4e-09
0	0.5019056	0.49730802	0	-2.717429e-18	-4.35404e-18	1.5707964	0	0.49	1e-07	1.96e-07	0	4e-09
0	0.9975504	-4.268192e-09	0	-2.7303168e-18	-4.354108e-18	0	0	0.49	1e-07	2e-07	0	4e-09
0	0.50170743	0.4973971	0	-2.7174215e-18	-4.3540467e-18	1.5707964	0	0.49	1e-07	2e-07	0	4e-09
0	0.99755037	-4.1404253e-09	0	-2.7295217e-18	-4.354108e-18	0	0	0.49	1e-07	2.04e-07	0	4e-09
0	0.5015262	0.497479	0	-2.7174157e-18	-4.354052e-18	1.5707964	0	0.49	1e-07	2.04e-07	0	4e-09
0	0.99755037	-2.9302691e-09	0	-2.7287913e-18	-4.354108e-18	0	0	0.49	1e-07	2.08e-07	0	4e-09
0	0.5013588	0.49755493	0	-2.7174101e-18	-4.3540575e-18	1.5707964	0	0.49	1e-07	2.08e-07	0	4e-09
0	0.99755025	-4.8969544e-09	0	-2.7281194e-18	-4.354108e-18	0	0	0.49	1e-07	2.12e-07	0	4e-09
0	0.5012072	0.49762398	0	-2.7174058e-18	-4.3540616e-18	1.5707964	0	0.49	1e-07	2.12e-07	0	4e-09
0	0.99755025	-3.5144796e-09	0	-2.7274994e-18	-4.354107e-18	0	0	0.49	1e-07	2.16e-07	0	4e-09
0	0.5010663	0.49768823	0	-2.717402e-18	-4.3540657e-18	1.5707964	0	0.49	1e-07	2.16e-07	0	4e-09
0	0.99755025	-4.9283626e-09	0	-2.7269283e-18	-4.354107e-18	0	0	0.49	1e-07	2.2e-07	0	4e-09
0	0.50093555	0.4977482	0	-2.7173981e-18	-4.3540682e-18	1.5707964	0	0.49	1e-07	2.2e-07	0	4e-09
0	0.9975502	-4.4537396e-09	0	-2.726399e-18	-4.3541067e-18	0	0	0.49	1e-07	2.24e-07	0	4e-09
0	0.5008158	0.49780318	0	-2.7173954e-18	-4.3540715e-18	1.5707964	0	0.49	1e-07	2.24e-07	0	4e-09
0	0.99755	-4.2100696e-09	0	-2.7259094e-18	-4.3541067e-18	0	0	0.49	1e-07	2.28e-07	0	4e-09
0	0.50070333	0.497855	0	-2.717393e-18	-4.354074e-18	1.5707964	0	0.49	1e-07	2.28e-07	0	4e-09
0	0.99755	-3.5313785e-09	0	-2.7254547e-18	-4.3541063e-18	0	0	0.49	1e-07	2.32e-07	0	4e-09
0	0.5006015	0.49790213	0	-2.7173907e-18	-4.354076e-18	1.5707964	0	0.49	1e-07	2.32e-07	0	4e-09
0	0.99755	-4.06805e-09	0	-2.7250324e-18	-4.354106e-18	0	0	0.49	1e-07	2.36e-07	0	4e-09
0	0.50050557	0.4979465	0	-2.7173888e-18	-4.3540777e-18	1.5707964	0	0.49	1e-07	2.36e-07	0	4e-09
0	0.9975499	-2.8015636e-09	0	-2.7246395e-18	-4.354106e-18	0	0	0.49	1e-07	2.4e-07	0	4e-09
0	0.50041634	0.49798796	0	-2.717387e-18	-4.35408e-18	1.5707964	0	0.49	1e-07	2.4e-07	0	4e-09
0	0.9975497	-2.7857743e-09	0	-2.724273e-18	-4.3541055e-18	0	0	0.49	1e-07	2.44e-07	0	4e-09
0	0.5003332	0.49802664	0	-2.7173857e-18	-4.3540815e-18	1.5707964	0	0.49	1e-07	2.44e-07	0	4e-09
0	0.9975497	-4.048505e-09	0	-2.723931e-18	-4.3541055e-18	0	0	0.49	1e-07	2.48e-07	0	4e-09
0	0.5002556	0.49806285	0	-2.7173843e-18	-4.3540827e-18	1.5707964	0	0.49	1e-07	2.48e-07	0	4e-09
0	0.9975497	-2.5631854e-09	0	-2.723612e-18	-4.354105e-18	0	0	0.49	1e-07	2.52e-07	0	4e-09
0	0.50018334	0.49809664	0	-2.7173822e-18	-4.354083e-18	1.5707964	0	0.49	1e-07	2.52e-07	0	4e-09
0	0.99754965	-3.8889034e-09	0	-2.723313e-18	-4.3541046e-18	0	0	0.49	1e-07	2.56e-07	0	4e-09
0	0.50011533	0.4981285	0	-2.7173816e-18	-4.3540844e-18	1.5707964	0	0.49	1e-07	2.56e-07	0	4e-09
0	0.99754953	-5.6043223e-09	0	-2.7230329e-18	-4.354104e-18	0	0	0.49	1e-07	2.6e-07	0	4e-09
0	0.50005215	0.49815816	0	-2.7173805e-18	-4.3540856e-18	1.5707964	0	0.49	1e-07	2.6e-07	0	4e-09
0	0.9975495	-3.231208e-09	0	-2.7227709e-18	-4.354104e-18	0	0	0.49	1e-07	2.64e-07	0	4e-09
0	0.4999927	0.49818608	0	-2.7173803e-18	-4.354087e-18	1.5707964	0	0.49	1e-07	2.64e-07	0	4e-09
