# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Length (nm)
6.201361810259873e-10	0.98205566	-0.054540522	0.012988713	2.806858e-18	-0	65
6.300200877745315e-10	0.9827846	-0.060503587	-0.005827413	2.9534153e-18	-0	65
6.401651946320661e-10	0.9795758	-0.07329873	0.002311468	3.6261083e-18	-0	65
6.500518866254657e-10	0.97416836	-0.09663348	0.0078668995	2.2860466e-18	-0	65
6.601861862690357e-10	0.9692521	-0.10764569	0.0014681183	4.402328e-18	-0	65
6.701466178654519e-10	0.9660017	-0.11462053	-0.009841527	1.9114587e-18	-0	65
6.800693017884204e-10	0.9700677	-0.10111716	-0.012028238	1.722544e-18	-0	65
6.901540575735502e-10	0.9729949	-0.059892155	-0.021845521	3.0770525e-18	-0	65
7.001884676758593e-10	0.9755922	-0.036068648	-0.017388102	3.1246632e-18	-0	65
7.101409131814756e-10	0.9803709	-0.017639646	-0.010795441	1.0483764e-18	-0	65
7.201536276429838e-10	0.9827976	0.00064938865	-0.008649596	4.146916e-18	-0	65
7.301428009781031e-10	0.98202586	0.013564113	-0.023977637	1.8366059e-18	-0	65
7.400315988781769e-10	0.98185587	0.037485078	-0.014695263	1.95643e-18	-0	65
7.501513992658054e-10	0.97763467	0.054325007	-0.008137403	2.9324035e-18	-0	65
7.601762526138923e-10	0.97129875	0.08032432	-0.0072695226	2.958652e-19	-0	65
7.700590824706678e-10	0.9692755	0.07902077	-0.00084271433	1.9747566e-18	-0	65
7.801961078798026e-10	0.9716282	0.07529002	0.0022190625	3.3932022e-18	-0	65
7.900162461991015e-10	0.97648066	0.06990649	-0.010146591	3.1480513e-18	-0	65
8.001591523482441e-10	0.97714204	0.080589555	-0.0031087045	1.3488256e-18	-0	65
8.101378166236217e-10	0.97626	0.09158445	-0.009820358	3.489079e-18	-0	65
8.200717186438831e-10	0.97662336	0.112949	-0.0176695	2.1587681e-18	-0	65
8.30119422623946e-10	0.96813685	0.14075755	-0.019943267	2.7840823e-18	-0	65
8.401177470929957e-10	0.9642079	0.14852624	0.0017100845	3.2132962e-18	-0	65
8.500362319575357e-10	0.9631426	0.14171374	0.0126985675	3.7144632e-18	-0	65
8.601085511800809e-10	0.96601814	0.121296085	0.003292374	3.4491184e-18	-0	65
8.701762673069404e-10	0.9623225	0.123329565	0.009095523	3.2810622e-18	-0	65
8.801279650523047e-10	0.9674317	0.1015136	0.014540974	1.9167754e-18	-0	65
8.901924736826927e-10	0.9753393	0.084251426	0.012365177	2.7541136e-18	-0	65
9.002028014086432e-10	0.98088026	0.0685839	0.0150409285	1.1838905e-18	-0	65
9.101478730971878e-10	0.9824754	0.03306551	0.02010421	3.0379403e-18	-0	65
9.200660675655015e-10	0.9810489	0.01948779	0.011149516	2.189826e-18	-0	65
9.301877441266517e-10	0.97878546	0.010700118	0.0037161924	2.6415783e-18	-0	65
9.400231852480575e-10	0.9763631	-0.0007692077	0.0012635952	2.6470146e-18	-0	65
9.501801724796369e-10	0.9712922	-0.008827358	-2.6783118e-06	2.686999e-18	-0	65
9.601893895586335e-10	0.9742456	0.0027927319	-0.01717573	1.445525e-18	-0	65
9.700942136854567e-10	0.9770282	0.006089751	-0.016189856	3.3761428e-18	-0	65
