# t (s)	mx ()	my ()	mz ()	E_total (J)	E_Zeeman (J)	Roundness ()	Size (nm)	Temp (K)	alpha ()	Cell_size (m)
4.400245737882395e-10	0.97435325	-0.113890305	0.0053114505	7.257985e-18	-0	0.49	100	300	0.009999999	2e-09
4.500036052954329e-10	0.97324646	-0.12403359	0.008191258	7.014898e-18	-0	0.49	100	300	0.009999999	2e-09
4.600335481433645e-10	0.9691059	-0.1391967	0.010132265	7.207668e-18	-0	0.49	100	300	0.009999999	2e-09
4.700170303635362e-10	0.9646812	-0.14321391	0.0049226596	6.666543e-18	-0	0.49	100	300	0.009999999	2e-09
4.800026401933464e-10	0.95928514	-0.14209498	0.00091436814	5.683145e-18	-0	0.49	100	300	0.009999999	2e-09
4.90025738112219e-10	0.9590019	-0.14518818	-0.00022159207	6.7704593e-18	-0	0.49	100	300	0.009999999	2e-09
5.0002576573693e-10	0.96409047	-0.14542803	0.0031506557	6.3106027e-18	-0	0.49	100	300	0.009999999	2e-09
5.100215354109529e-10	0.96689016	-0.15241833	0.008433938	6.1762855e-18	-0	0.49	100	300	0.009999999	2e-09
5.200211827711222e-10	0.96581405	-0.17004038	0.013346073	6.0109296e-18	-0	0.49	100	300	0.009999999	2e-09
5.300397858252216e-10	0.9610257	-0.18407424	0.011522731	6.254514e-18	-0	0.49	100	300	0.009999999	2e-09
5.400228903516178e-10	0.95490915	-0.19839968	0.011412471	7.223862e-18	-0	0.49	100	300	0.009999999	2e-09
5.500397296734502e-10	0.94982356	-0.21697918	0.005882973	6.916216e-18	-0	0.49	100	300	0.009999999	2e-09
5.600298244158751e-10	0.9500147	-0.22491467	-0.0033492295	6.499628e-18	-0	0.49	100	300	0.009999999	2e-09
5.700491702713999e-10	0.95532197	-0.21703865	-0.0103055015	6.820874e-18	-0	0.49	100	300	0.009999999	2e-09
5.800052951249643e-10	0.9579356	-0.20508465	-0.014446774	6.4779806e-18	-0	0.49	100	300	0.009999999	2e-09
5.900365449233414e-10	0.95909184	-0.18696779	-0.013076733	6.010256e-18	-0	0.49	100	300	0.009999999	2e-09
6.000385691135508e-10	0.95854396	-0.1688581	-0.009489524	5.944997e-18	-0	0.49	100	300	0.009999999	2e-09
6.10032073889034e-10	0.9573038	-0.15467343	-0.0064090355	6.572076e-18	-0	0.49	100	300	0.009999999	2e-09
6.200498315245286e-10	0.95970523	-0.14768125	-0.004990068	6.33535e-18	-0	0.49	100	300	0.009999999	2e-09
6.300247404552353e-10	0.96469223	-0.14512435	-0.005267249	6.6173816e-18	-0	0.49	100	300	0.009999999	2e-09
6.400214527410618e-10	0.9677847	-0.14175862	-0.008965533	6.631572e-18	-0	0.49	100	300	0.009999999	2e-09
6.500379330198904e-10	0.96923167	-0.13016436	-0.010163219	6.4752265e-18	-0	0.49	100	300	0.009999999	2e-09
6.600489771282694e-10	0.9710233	-0.119639106	-0.010545738	6.645934e-18	-0	0.49	100	300	0.009999999	2e-09
6.700227323795313e-10	0.97238815	-0.105152555	-0.009116703	5.7291232e-18	-0	0.49	100	300	0.009999999	2e-09
6.800141212194286e-10	0.97303635	-0.09198892	-0.014299724	6.6843804e-18	-0	0.49	100	300	0.009999999	2e-09
6.900164444636618e-10	0.97410446	-0.071676016	-0.01125362	6.4391043e-18	-0	0.49	100	300	0.009999999	2e-09
7.000082532652373e-10	0.9765673	-0.05659082	-0.012082448	6.495439e-18	-0	0.49	100	300	0.009999999	2e-09
7.100249227883601e-10	0.97627944	-0.041254513	-0.009224592	6.581862e-18	-0	0.49	100	300	0.009999999	2e-09
7.200268218608853e-10	0.9751408	-0.032135922	-0.008514442	5.9862197e-18	-0	0.49	100	300	0.009999999	2e-09
7.30038706207795e-10	0.9737777	-0.02100141	-0.006460286	6.0460095e-18	-0	0.49	100	300	0.009999999	2e-09
7.400143477417986e-10	0.9726269	-0.011966084	-0.0067351605	6.438703e-18	-0	0.49	100	300	0.009999999	2e-09
7.500413982179558e-10	0.973762	-0.0005732883	-0.0078016147	7.223373e-18	-0	0.49	100	300	0.009999999	2e-09
7.600386139423756e-10	0.97547066	0.013121817	-0.010027009	6.2514547e-18	-0	0.49	100	300	0.009999999	2e-09
7.700109140936838e-10	0.97577703	0.02958454	-0.009532922	6.320262e-18	-0	0.49	100	300	0.009999999	2e-09
7.800114211547344e-10	0.9742041	0.043083712	-0.012681273	6.5984177e-18	-0	0.49	100	300	0.009999999	2e-09
7.900097431772497e-10	0.9727044	0.05304822	-0.013489624	5.8634607e-18	-0	0.49	100	300	0.009999999	2e-09
